Electorate Candidate and Party Votes Recorded at Each Polling Place
"Aoraki 1","Candidate Vote Details"
,,"ELSEN, Kathryn Ann","GOODHEW, Joanne Gay","LUNDY, Bryan Kerry","MAIN, Claire Victoria","MURRAY, Kevin John","ROGERS, Mark Francis","SULLIVAN, Edward John","SUTTON, James Robert","Total Valid Candidate Votes","Informal Candidate Votes"
"Albury","Albury School",6,135,2,1,1,1,0,29,175,4
"Arowhenua","Arowhenua Maori School, Huirapa Street",3,22,1,1,0,0,0,14,41,0
"Barton","Barton Rural School",15,226,6,4,2,3,0,44,300,1
"Burke Pass","Burke Pass Alpine Cafe",0,49,1,1,1,2,0,7,61,0
"Cannington","Cannington School",3,59,0,1,0,0,0,2,65,0
"Cattle Creek","Cattle Creek Playcentre",0,35,1,0,0,0,0,0,36,0
"Cave","Cave Hall",3,122,2,1,1,2,0,18,149,1
"Fairlie","Fairlie Primary School",18,507,22,4,3,7,0,177,738,6
"Geraldine","Geraldine High School",49,551,30,8,8,8,1,244,899,7
,"Primary School, Wilson Street",70,665,43,15,6,12,3,322,1136,7
"Glenavy","Glenavy School",7,121,7,2,4,3,3,54,201,0
"Hakataramea Valley","Hakataramea Valley Mobile Kindergarten",3,48,1,0,1,1,0,10,64,0
"Hook","Hook Soldiers Memorial Hall, Hook School Road",4,51,1,0,0,0,0,10,66,0
"Hunter","Hunter Hall, Pakihi Road",6,56,0,0,0,0,1,15,78,0
"Ikawai","Ikawai Memorial Hall, State Highway 82",0,59,0,0,0,0,0,15,74,1
"Kingsdown","Kingsdown Hall, Daniels Road",8,83,3,0,1,1,0,40,136,0
"Kurow","Kurow Memorial Hall",10,156,12,2,1,6,1,86,274,2
"Lake Tekapo","Lake Tekapo School",16,161,4,2,0,3,0,56,242,0
"Makikihi","Makikihi School",2,58,5,1,0,1,8,37,112,1
"Maungati","St James Church Hall, Timaunga Rd",6,57,0,1,0,0,0,10,74,0
"Milford","Milford Hall",12,181,4,2,4,1,0,50,254,1
"Morven","Morven School",1,89,4,2,1,2,1,24,124,0
"Mt Cook","Mt Cook School",7,14,0,1,0,1,0,42,65,3
"Omarama","Omarama School",6,150,11,1,2,2,1,48,221,2
"Orari","Orari Hall, MacDonald Street",11,133,3,5,3,1,0,55,211,1
"Otaio","Otaio Community Centre",4,59,0,0,0,0,3,7,73,0
"Otematata","Otematata Community Centre",2,73,10,2,2,1,1,52,143,0
"Otipua","Otipua Hall",12,111,4,0,3,0,2,25,157,0
"Pareora East","Timaru South School, Paeroa Campus",24,106,15,2,4,3,0,89,243,1
"Peel Forest","Peel Forest Hall, Coopers Creek Peel Forest Road",9,89,0,1,0,1,0,22,122,1
"Pleasant Point","Pleasant Point Hall, Halstead Rd",83,749,35,13,5,12,4,164,1065,7
