Electorate Candidate and Party Votes Recorded at Each Polling Place
"East Coast 12","Candidate Vote Details"
,,"DELAHUNTY, Catherine","GLEN, Matua Joe","HARRÉ, John","MACKEY, Moana Lynore","SADLER, William Stanley","TOLLEY, Anne Merrilyn","TURNER, Judith Anne","Total Valid Candidate Votes","Informal Candidate Votes"
"Awakeri","Awakeri School, Room 2, 976 SH 30",5,5,3,23,0,40,4,80,2
"Cape Runaway","Whangaparaoa School",1,0,3,17,0,13,1,35,0
"Frasertown","Frasertown School, Russell Parade, Wairoa",4,9,9,80,3,166,4,275,1
"Gisborne","Awapuni School, 129 Awapuni Road",6,9,3,165,4,142,7,336,1
,"Central School, 7 Central Street",33,19,4,392,15,585,14,1062,7
,"Church of Christ Hall, 39 Roebuck Road",17,20,6,268,18,243,5,577,8
,"Cobham School, Lytton Road",8,9,14,162,4,55,3,255,1
,"Elgin School, 2 Knox Street",16,16,10,316,10,170,14,552,7
,"Girls High School, 555 Gladstone Road",9,10,10,347,7,255,9,647,5
,"Gisborne District Council Chambers, Fitzherbert Street",35,17,16,424,9,556,27,1084,9
,"Gisborne District Hospital, 421 Ormond Road",7,5,5,64,2,80,5,168,1
,"Ilminster Intermediate, De Lautour Road",29,29,21,415,26,285,17,822,8
,"Kaiti School, Wainui Road",16,16,20,376,22,120,13,583,11
,"Mangapapa Residents Hall, 350 Ormond Road",18,28,13,368,8,278,23,736,12
,"Mangapapa School, Rua Street",46,20,9,430,13,348,25,891,0
,"Riverdale School, 320 Stout Street",16,16,8,270,12,307,8,637,3
,"Rutene Road Kindergarten, 128 Rutene Road",21,6,7,208,10,171,4,427,8
,"St Marys School, Childers Road",23,22,11,307,8,197,21,589,3
,"Te Hapara School, 31 Mill Road",17,21,7,416,16,351,13,841,2
,"Waikirikiri School, 7 Pickering Street",3,2,12,105,7,5,2,136,4
"Hicks Bay","Te Kura O Kawakawa Mai Tawhiti, Wharf Road",2,3,4,18,0,9,0,36,0
"Kotemaori","Kotemaori School, State Highway 2, Wairoa",2,0,0,7,7,49,2,67,0
"Kutarere","Kutarere School, 461 State Highway 2, RD2, Opotiki",17,20,6,69,1,78,5,196,0
"Mahia","Mahia School, 457 Eastcoast Road",7,9,8,64,2,92,3,185,0
"Makaraka","Makaraka School, 137 Main Road South, Gisborne",7,13,2,129,1,322,7,481,3
"Makauri","Makauri School, 120 Kings Road, Gisborne",12,4,2,89,2,290,5,404,3
"Manutuke","Manutuke School, 59 Waingake Road",9,6,8,74,1,144,2,244,1
"Maraenui","Te Kura mana Maori o Maraenui, RD 3, Opotiki",0,0,1,5,0,4,0,10,0
"Matawai","Matawai School, 29 Raumati Street",8,7,2,30,1,124,3,175,1
"Muriwai","Muriwai School, 1684 Wharerata Road, RD 2, Gisborne",3,1,3,16,1,51,0,75,2
"Nuhaka","Nuhaka School, Tamakahu St",6,5,4,39,4,81,0,139,2
"Nukuhou North","Nukuhou North School, State Highway 2, RD, Waimana ",2,2,2,30,1,66,6,109,0
"Ohope","Ohope Beach School, 170 Pohutukawa Avenue",46,11,3,189,5,365,75,694,3
,"Ohope Community Hall, Bluett Rd",27,28,7,232,5,432,62,793,3
