Electorate Candidate and Party Votes Recorded at Each Polling Place
"Invercargill 20","Candidate Vote Details"
,,"BEKER, Ian Alexander","CARSON, Craig William","GUY, Craig Douglas","HAREMATE-CRAWFORD, Georgina Kopare Huia ","HARPUR, Thomas Wayne","HEKER, Heka","KENNARD, Ralph James","ROY, Eric Wilbur","STIRLING, Bruce Amelius","Total Valid Candidate Votes","Informal Candidate Votes"
"Bluff","Bluff Community School, Onslow Street",2,15,1,5,296,4,5,140,2,470,6
,"St Teresa's School, 181 Foyle Street",2,14,1,4,218,3,5,67,2,316,2
"Dacre","Dacre School, State Highway 1",0,1,0,0,7,0,2,71,2,83,2
"Gorge Road","Gorge Road School, Gorge Road",0,2,0,2,32,4,1,100,1,142,1
"Grove Bush","Grove Bush Public Hall",6,1,0,0,14,1,3,110,4,139,1
"Invercargill","Ascot Community School, 580 Tay Street",9,22,0,3,381,5,6,397,6,829,6
,"Aurora College, Regent St",3,13,0,7,222,3,15,137,1,401,5
,"CCS Southland, 142 Don St",5,14,0,0,129,0,6,123,1,278,4
,"Clifton Salvation Army Hall, Wicklow St",5,24,0,6,336,12,7,180,4,574,7
,"Donovan School, Drury Lane",9,18,0,3,349,5,14,377,6,781,5
,"Eastside Baptist Church, cnr Glengarry Cres and Yarrow Street",5,14,0,0,296,6,6,194,2,523,15
,"Elles Road Bible Chapel, 198 Earn St",8,39,1,8,447,5,23,221,5,757,8
,"Fernworth School, Pomona St",10,33,0,4,687,15,23,333,6,1111,14
,"Gladstone Scout Hall, cnr Holywood Terrace and Russell Street",7,13,0,0,135,1,3,292,3,454,3
,"Glengarry Church of Christ, cnr Yarrow St and Adamson Crescent",3,13,1,3,237,3,12,184,3,459,5
,"Grasmere Church Hall, Heywood Street",15,8,1,4,344,6,13,328,6,725,8
,"Holy Trinity Anglican Church Hall, King St",6,24,3,2,336,6,9,388,3,777,13
,"James Hargest High School, 288 Layard Street",5,9,1,1,168,2,7,293,1,487,5
,"James Hargest Junior Campus, 6 Layard St",4,12,2,1,204,2,4,456,2,687,5
,"Kew Kindergarten, 51 Selwyn Street",1,16,2,1,185,5,4,99,3,316,5
,"Knox Church Hall, 107 Pomona Street",9,20,0,3,360,4,24,198,0,618,8
,"Lindisfarne Kindergarten, 34 Mitchell Street",6,19,1,4,268,3,12,262,5,580,3
,"Middle School Hall, Jed Street",6,17,3,2,260,6,12,174,3,483,6
,"New River School, 117 Elizabeth St",7,21,7,6,294,2,7,146,4,494,3
,"Newfield Park School, Totara St",5,5,3,6,242,3,7,188,3,462,4
,"Newfield Public Hall, Tweed Street",10,25,2,10,674,14,11,478,3,1227,14
,"North Invercargill Presbyterian Church Jubilee Hall, Windsor Street",9,16,1,2,357,8,12,579,9,993,7
,"Rawhiti Scout Hall, Exmouth Street",1,6,0,0,122,0,2,91,1,223,0
,"Rosedale Bible Chapel, Bourke Street",0,4,0,0,158,2,6,227,2,399,4
,"Salford School Hall, Lamond Street",1,9,2,2,160,1,3,338,2,518,6
,"Southland Girls' High School Hall, 328 Tweed St",8,36,3,7,390,8,6,269,5,732,9
,"St Andrew's Youth Centre, Elles Road",4,31,0,4,508,7,11,277,4,846,17
,"St John's Girls' School, 349 Dee Street",6,14,2,2,205,3,4,251,3,490,5
,"St John's Parish Hall, 108 Tay Street",5,9,1,3,130,4,3,105,0,260,1
,"St Joseph's School, Tyne Street",3,16,1,0,122,2,7,51,3,205,2
,"St Paul's Hardie Hall, Dee St",4,15,1,2,105,3,4,152,7,293,1
,"St Stephen's Church Hall, 290 North Rd",20,22,4,4,440,7,22,652,2,1173,12
,"Waihopai School (Room 3), Herbert Street",15,19,0,5,265,4,5,477,3,793,3
,"Waverley Park School, Eden Crescent",5,13,2,1,118,2,10,154,1,306,3
,"Windsor North School Hall, Windsor Street",5,8,1,1,189,4,2,371,5,586,4
"Kennington","Kennington Public Hall, Kennington-Mataura Island Road",2,3,1,3,56,0,6,134,2,207,0
"Lochiel","Lochiel School",2,1,0,0,14,0,0,117,0,134,0
"Makarewa","Makarewa School, 56 Flora Road East",5,3,0,1,153,7,6,400,3,578,2
"Mokotua","Mokotua Public Hall",3,1,0,1,19,0,2,149,0,175,1
"Myross Bush","Myross Bush School, Mill Road North",5,7,0,0,89,4,2,355,2,464,3
"Otatara","Otatara Community Centre, Dunns Road",8,51,3,6,485,8,14,716,15,1306,6
"Rimu","Rimu School, Rimu Rd",1,2,0,0,29,0,5,129,0,166,1
"Roslyn Bush","Roslyn Bush Playcentre, Lorneville-Dacre Highway",3,0,0,0,11,0,0,99,0,113,0
"Ryal Bush","Ryal Bush Community Centre",0,6,0,0,18,0,2,120,2,148,1
"Seaward Downs","Seaward Downs Public Hall, Invercargill Mataura Highway",0,0,0,0,2,0,0,32,0,34,1
"Stewart Island","Halfmoon Bay School, Ayr Street",4,11,0,3,81,1,2,111,2,215,3
"Te Anau","Te Anau School Hall",0,3,0,0,24,0,0,42,0,69,0
"Tisbury","Tisbury School, Boundary Road",3,5,0,1,99,4,5,157,1,275,2
"Waianiwa","Waianiwa School",0,2,0,1,24,1,2,175,1,206,2
"Wallacetown","Wallacetown School, 34 Mauchline Street",2,10,0,0,149,3,3,249,3,419,2
"Woodend","Woodend Public Hall, Sommerville Street",0,6,0,1,51,1,0,57,1,117,0
"Woodlands","Woodlands School",3,4,1,0,31,0,3,199,1,242,2
"Wrights Bush","Wrights Bush Public Hall, Riverton Highway",0,2,0,0,22,0,3,133,2,162,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,4,0,0,47,0,1,35,0,88,3
,"Ordinary Votes BEFORE polling day",57,42,7,10,897,19,28,1263,13,2336,32
,"Special Votes BEFORE polling day",3,14,1,3,125,3,4,129,0,282,5
,"Special Votes On polling day",20,90,5,15,618,4,26,743,8,1529,16
,"Overseas Special Votes including defence force",2,9,0,0,84,1,1,96,3,196,2
,"Invercargill Total",358,906,65,163,13518,231,453,15570,187,31451,316
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31767
"Electorate Candidate Valid Votes","Party",,"ROY, Eric Wilbur - majority 2052"
"BEKER, Ian Alexander",ACT New Zealand,358,.0113827859
"CARSON, Craig William",Green Party,906,.0288067152
"GUY, Craig Douglas",Direct Democracy Party,65,.0020667069
