Electorate Candidate and Party Votes Recorded at Each Polling Place
"Manurewa 25","Candidate Vote Details"
,,"AIONO, Fepulea'i Ulua'ipou-O-Malo","ALP, Kelvyn Glen","FEPULEA'I, Amelia Malia","HAWKINS, George Warren","HINTON, Gordon John","KOMENE, Patrick Derek","McLEAN, Rangi","PALMER, Lindy Michelle","PROTHEROE, Alexander Paul Broughton","SINGH, Raghbir","SNELGAR, Glen","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfriston","Alfriston School, cnr Mill and Alfriston Roads",53,1,0,38,5,2,4,12,1,3,7,126,5
"Chapel Downs","Chapel Downs Primary School, cnr Chapel & Dawson Road",93,5,8,297,11,21,9,9,0,4,3,460,7
"Manukau ","Redoubt North School, 47 Diorella Drive",259,4,5,772,38,42,23,65,3,39,34,1284,30
"Manukau Central","Clover Park Middle School, 51 Othello Drive",19,0,1,242,4,16,6,6,0,5,1,300,2
,"Everglade Primary School, 64 Everglade Drive",746,8,10,1190,75,37,29,114,5,35,52,2301,28
,"Workbridge Office, 9-11 Ronwood Ave, Manukau City",46,0,2,60,4,6,2,9,0,5,9,143,0
"Manurewa","1st Manurewa Scout Hall, 56 Browns Rd, cnr Sturdee Rd",158,2,4,706,31,24,37,76,6,34,14,1092,9
,"Alfriston College, 550 Porchester Road",268,2,6,687,61,27,24,88,5,28,17,1213,14
,"Central School, Cnr Great Sth Road & Hill Road",177,1,4,525,41,13,21,78,4,43,20,927,18
,"Clayton Park School, 187-189 Coxhead Road",859,9,7,1125,106,41,44,187,10,32,75,2495,16
,"Clendon Park School, 145 Rowandale Avenue",72,1,14,508,13,22,25,31,7,10,3,706,6
,"East School, Scotts Road",70,3,2,320,16,18,24,26,2,7,6,494,14
,"Elmwood Home and Hospital, 131 Hill Road",182,2,4,165,29,7,5,36,1,9,9,449,10
,"Finlayson Park School, 87 John Walker Drive",94,2,11,755,13,15,43,38,1,12,21,1005,11
,"Greenmeadows Intermediate, 27 Greenmeadows Avenue",49,2,2,203,15,9,5,25,1,8,6,325,8
,"Hillpark School Hall, 57 Grande Vue Road",587,4,6,775,94,54,17,123,15,31,63,1769,7
,"Leabank School, 7 Dr Pickering Avenue",88,6,2,484,15,15,34,42,4,5,10,705,2
,"Manurewa Library, 7 Hill Road",287,4,15,888,36,43,31,94,3,53,29,1483,35
,"Roscommon School, 23 Burundi Avenue",83,4,20,746,14,18,41,31,4,20,2,983,17
,"Rowandale School, 73 Rowandale Avenue",76,2,12,649,14,20,45,42,4,12,12,888,20
,"South School, 39 Tawa Crescent",66,0,0,290,8,10,40,47,0,17,3,481,7
,"St Elizabeth's Anglican Church, 182 Finlayson Avenue",34,1,4,194,11,13,11,15,2,2,2,289,4
,"St Luke's Anglican Church Hall, 3 Russell Road",163,5,12,646,33,23,23,72,6,17,5,1005,34
,"Table Tennis Club Hall, 1 McVilly Rd (cnr Browns Rd)",99,3,8,433,16,7,33,44,4,16,8,671,5
,"Te Matauranga School, 206 Finlayson Avenue, Clendon",36,1,14,423,9,10,20,37,1,5,6,562,7
,"The Gardens School, 101 Charles Prevost Drive",71,0,2,75,10,4,1,10,1,2,9,185,1
,"West School, 31 McKean Avenue",46,1,4,407,21,4,26,43,2,18,4,576,4
"Papatoetoe","Puhinui Primary School, 116 Puhinui Road",71,0,1,204,10,4,8,20,2,20,14,354,12
"Weymouth","Weymouth Primary School, 23 Evans Road",299,0,3,742,61,24,59,149,5,17,32,1391,10
"Wiri","Wiri Central School, Inverell Avenue",18,0,8,413,4,14,9,20,0,7,5,498,10
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",21,0,2,67,2,1,3,12,0,3,0,111,17
,"Ordinary Votes BEFORE polling day",418,1,8,754,47,40,16,103,5,16,36,1444,28
,"Special Votes BEFORE polling day",63,0,0,202,11,3,7,24,3,4,7,324,4
,"Special Votes On polling day",369,11,35,1721,58,81,93,127,3,69,56,2623,70
,"Overseas Special Votes including defence force",52,0,2,93,4,4,1,13,0,1,2,172,2
,"Manurewa Total",6092,85,238,17799,940,692,819,1868,110,609,582,29834,474
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",30308
"Electorate Candidate Valid Votes","Party",,"HAWKINS, George Warren - majority 11707"
"AIONO, Fepulea'i Ulua'ipou-O-Malo",National Party,6092,.2041965543
"ALP, Kelvyn Glen",Direct Democracy Party,85,.0028490983
"FEPULEA'I, Amelia Malia",New Zealand Family Rights Protection Party,238,.0079774754
"HAWKINS, George Warren",Labour Party,17799,.5966011933
"HINTON, Gordon John",United Future New Zealand,940,.0315076758
"KOMENE, Patrick Derek",Destiny New Zealand,692,.0231950124
"McLEAN, Rangi",Mâori Party,819,.0274519005
"PALMER, Lindy Michelle",New Zealand First Party,1868,.062613126
"PROTHEROE, Alexander Paul Broughton",Alliance,110,.0036870684
"SINGH, Raghbir",Jim Anderton's Progressive,609,.0204129517
"SNELGAR, Glen",ACT New Zealand,582,.019507944
