Electorate Candidate and Party Votes Recorded at Each Polling Place
"North Shore 33","Candidate Vote Details"
,,"GILLON, Wendy Paula Kirsty","HARRISON, Raewyn Emma","KEARNEY, Nicholas Norman","MAPP, Wayne Daniel","MURPHY, Michael Myles","TIZARD, Ross Michael","TWYFORD, Philip Stoner","Total Valid Candidate Votes","Informal Candidate Votes"
"Bayswater","Bayswater School, Bayswater Ave",33,18,33,861,8,42,662,1657,16
"Belmont","Belmont Primary School, 3A Harrison Ave",21,6,17,412,2,22,356,836,7
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",1,0,2,20,0,2,14,39,0
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Rd",15,6,15,821,5,23,225,1110,5
,"Campbells Bay School Hall, Aberdeen Rd",10,2,22,673,3,22,258,990,5
"Castor Bay","Presbyterian Church Hall, Katui St",10,8,20,768,5,11,264,1086,8
"Devonport","Devonport Community House, 32 Clarence St",14,13,13,570,3,19,636,1268,13
,"Devonport Holy Trinity Parish Hall, Church St",10,9,20,622,3,33,547,1244,13
,"Devonport Presbyterian Church Hall, Victoria Rd",16,7,13,472,5,15,543,1071,14
"Forrest Hill","Forrest Hill Presbyterian Church Hall, Forrest Hill Rd",33,10,68,1037,9,66,631,1854,22
"Glenfield","Glenfield Community Centre, Bentley Avenue (cnr Glenfield Road)",2,1,3,26,0,2,25,59,2
,"Glenfield Primary School, 101 Chivalry Road",2,0,1,9,0,0,14,26,0
,"Target Road Primary School, 80 Target Road",1,1,6,73,0,3,38,122,2
"Hauraki","Hauraki School, Jutland Road",13,5,12,426,9,9,213,687,8
,"Takapuna Bible Chapel Hall, 13 Jutland Rd",29,8,43,783,4,20,438,1325,20
,"Takapuna Grammar, Lake Road",9,5,12,354,3,15,230,628,4
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Rd",21,6,25,1021,3,34,320,1430,10
,"Mairangi Bay School, Galaxy Drive Entrance",10,9,32,813,3,39,290,1196,12
,"Rangitoto College, 564 East Coast Road",10,6,15,326,3,16,144,520,3
"Milford","Carmel College, 114 Shakespeare Road",17,6,15,483,10,19,305,855,13
,"Milford Baptist Church Hall, Dodson Ave",24,7,24,967,7,39,340,1408,15
,"Milford School, 34 Shakespeare Road",39,12,57,1263,4,41,627,2043,30
"Murrays Bay","Kwang Lim Methodist Church, 539 Beach Road",2,0,4,76,0,6,31,119,3
"Narrow Neck","Vauxhall School, Morrison Avenue",13,9,21,442,6,16,381,888,7
"Northcote","Northcote Intermediate, 145 Lake Road",1,1,4,18,0,0,32,56,1
"Stanley Bay","Stanley Bay School, 15 Russell Street",11,3,9,321,0,10,246,600,6
"Sunnynook","Sunnynook School, Lyford Crescent",14,7,26,452,7,30,350,886,16
,"Wairau Intermediate School, Becroft Drive",36,20,39,1101,5,61,774,2036,27
"Takapuna","St Peters Church Hall, Killarney Street",6,6,13,511,3,10,122,671,4
,"Takapuna Methodist Church Hall, Lake Rd",18,9,21,719,5,30,381,1183,11
,"Takapuna Normal Intermediate School, Taharoto Rd",10,2,21,257,4,18,158,470,3
,"Takapuna School (entrance) 23 Auburn Street or Anzac Street",11,5,34,621,3,25,316,1015,8
"Westlake","Westlake Boys High School, Forrest Hill Road",7,3,22,381,0,14,216,643,7
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",7,8,3,135,1,10,106,270,26
,"Ordinary Votes BEFORE polling day",24,14,48,2059,11,51,750,2957,30
,"Special Votes BEFORE polling day",10,3,8,298,1,13,168,501,10
,"Special Votes On polling day",29,25,74,1282,4,72,849,2335,43
,"Overseas Special Votes including defence force",5,5,20,502,1,7,274,814,6
,"North Shore Total",544,265,835,21975,140,865,12274,36898,430
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37328
"Electorate Candidate Valid Votes","Party",,"MAPP, Wayne Daniel - majority 9701"
"GILLON, Wendy Paula Kirsty",Jim Anderton's Progressive,544,.0147433465
"HARRISON, Raewyn Emma",Mâori Party,265,.0071819611
"KEARNEY, Nicholas Norman",ACT New Zealand,835,.0226299528
"MAPP, Wayne Daniel",National Party,21975,.595560735
"MURPHY, Michael Myles",Libertarianz,140,.0037942436
"TIZARD, Ross Michael",United Future New Zealand,865,.023443005
"TWYFORD, Philip Stoner",Labour Party,12274,.3326467559
