Electorate Candidate and Party Votes Recorded at Each Polling Place
"Otago 37","Candidate Vote Details"
,,"DEAN, Jacqueline Isobel","ECKHOFF, Gerrard Mortland ","GUY, Simon David","PARKER, David William","PEARCE, Jane Louise Mary","PROSSER, Richard Ivor","SILCOCK, Barry John","TELFORD, Gerald William","Total Valid Candidate Votes","Informal Candidate Votes"
"Alexandra","Alexandra Primary School, Ventry Street",666,45,2,618,21,8,12,18,1390,11
,"Dunstan High School Hall, Enterprise Street",307,22,1,340,24,10,6,7,717,4
,"St Gerard's Parish Hall, Tarbert Street",539,43,1,468,30,9,19,17,1126,3
"Ardgowan","Ardgowan Primary Shool, Ardgowan Road",86,1,0,36,0,0,1,0,124,1
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",711,27,1,566,53,4,4,11,1377,5
"Clyde","Clyde Primary School, 25 Blyth Street",339,24,0,281,21,7,4,8,684,6
"Cromwell","Cromwell Sports Club, Anderson Park, Barry Avenue",961,44,5,956,73,8,16,38,2101,24
"Dunback","Dunback Community Hall, SH 85",83,5,1,41,1,0,2,3,136,1
"Dunedin Central","Dunedin Hospital, 1st Floor Foyer to Lecture Halls, Great King St",26,1,0,27,4,0,1,1,60,0
"Dunedin North","Knox Church Hall, 453 George Street (cnr Pitt Street)",23,2,0,36,8,0,0,0,69,1
,"University of Otago (ISB Link East), Cumberland St",22,3,0,43,9,1,0,3,81,0
"Duntroon","Duntroon Primary School, Livingstone Street",145,8,2,63,8,0,0,6,232,4
"Ettrick","Community Hall, SH 8",64,17,0,51,4,0,1,2,139,0
"Five Forks","Five Forks Primary School, 1403 Kakanui Valley Road",112,11,0,14,3,1,0,0,141,1
"Frankton","Frankton Presbyterian Church Hall, cnr Ross/McBride Streets",862,27,1,534,58,1,8,23,1514,10
,"Queenstown Events Centre, 35 Joe O'Connell Drive",410,8,1,274,30,0,1,13,737,5
"Glenorchy","Glenorchy Primary School, cnr Cantire & Oban Streets",59,3,0,39,13,0,1,1,116,1
"Hampden","Hampden Primary School, 41-47 Norwich Street",118,3,2,132,11,1,4,8,279,3
"Herbert","Otepopo School, Ross Street",117,7,1,82,9,7,0,2,225,0
"Kakanui","Kakanui Primary School, Fyfe Place",104,4,2,134,17,2,1,3,267,4
"Karitane","Karitane Primary School, Coast Road",71,3,0,153,28,0,3,3,261,3
"Kingston","Fire Brigade Meeting Room, Kent Street",40,2,0,29,3,0,2,2,78,1
"Lake Hawea","Community Centre, Myra Street",195,10,0,134,22,0,0,13,374,3
"Lake Roxburgh Village","Coal Creek Community Hall",44,17,0,35,0,0,3,1,100,0
"Lee Stream","Lee Stream School",75,7,0,7,0,0,0,0,89,0
"Luggate","Fire Brigade Rooms, State Highway 6",84,1,0,69,16,0,1,7,178,0
"Macraes Flat","Macraes-Moonlight Primary School",56,2,1,20,2,0,1,1,83,0
"Maheno","Maheno Primary School, Short Street",124,6,2,70,7,1,0,1,211,2
"Middlemarch","Strath Taieri School, Swansea Street",149,9,2,56,3,2,4,4,229,1
"Millers Flat","Millers Flat Primary School, Main Road",112,19,0,55,4,0,1,0,191,0
"Moeraki","Coronation Hall, Haven Street",47,1,0,33,6,0,1,1,89,0
"Naseby","Fire Brigade Rooms, cnr Ness & Tay Streets",68,6,0,60,0,0,0,0,134,1
"Ngapara","Ngapara Rugby Club Rooms, Paradise Gully Road",74,2,4,29,2,0,1,0,112,0
"Oamaru","Eveline Church Hall, Thames Highway",400,8,0,543,11,5,10,11,988,7
,"Fenwick School, Arun Street",472,4,0,596,29,7,9,17,1134,16
,"Garrison Band Hall, 10 Severn Street",251,9,0,328,11,4,7,13,623,8
,"Holmes Kindergarten, 34a Stuart Street",142,5,2,222,7,2,3,7,390,3
,"IHC Drop In Centre, Sandringham Street",80,6,0,123,5,0,2,4,220,6
,"North Otago Vintage Car Club, Stoke Street",87,0,1,77,4,0,0,4,173,1
,"North School, Torridge Street",217,6,5,339,3,5,4,11,590,7
,"Otago Polytech, Oamaru Campus, Humber Street",52,3,1,89,2,2,5,5,159,3
,"Pembroke School, Harlech Street",249,6,1,471,24,3,15,8,777,13
,"St Luke's Hall, Wharfe Street",125,2,1,169,12,1,0,6,316,0
,"Waitaki Girls' High School, Thames Street",291,7,1,478,28,3,8,15,831,7
"Omakau","Omakau Primary School, Deaker Street",183,21,2,104,3,2,3,1,319,3
"Oturehua","Community Hall, Main Road",78,4,2,26,2,0,0,2,114,0
"Palmerston","Community Centre, Ronaldsay Street",280,10,3,288,15,3,6,11,616,7
"Papakaio","Papakaio Primary School, 17 Papakaio Road",148,6,0,38,5,1,0,4,202,1
"Patearoa","Bowling Club, 1615 Ranfurly-Patearoa Road",82,10,0,27,1,2,0,2,124,1
"Poolburn","Poolburn Primary School, Main Road",71,5,0,13,0,0,0,1,90,0
"Pukeuri","Pukeuri Public Hall, Works Road",65,2,0,33,1,0,0,5,106,0
"Queenstown","Memorial Hall, cnr Memorial & Stanley Streets",630,17,3,570,125,1,7,17,1370,13
,"Queenstown Primary School Hall, Robins Road",423,5,3,410,74,2,2,14,933,4
"Ranfurly","Maniototo Area School Library, 15 Caulfield Street",360,16,5,182,3,0,7,5,578,1
"Roxburgh","Roxburgh Area School, Scotland Street",237,67,1,204,20,1,7,9,546,4
"Tarras","Tarras Primary School, SH 8",94,11,0,21,5,0,0,3,134,6
"Tokarahi","Tokarahi Hall, Tokarahi/Duntroon Road",61,3,0,24,6,0,1,2,97,0
"Totara","Totara Primary School, Fortification Road",170,1,0,91,4,0,3,0,269,1
"Waiareka","Oamaru Farmers' Saleyards Building, 31-39 Weston Road",157,5,0,129,2,2,3,4,302,3
"Waikouaiti","Waikouaiti Primary School, Malloch Street",309,12,2,384,36,3,4,16,766,12
"Waitaki Bridge","Waitaki Bridge Hall, State Highway 1",87,4,4,45,12,2,1,1,156,1
"Waitati","Waitati Primary School, Mt Cargill Road",92,6,2,219,54,2,1,12,388,4
"Wanaka","International Language Centre, Mt Aspiring College, Plantation Road ",720,30,7,480,108,0,7,47,1399,8
,"Wanaka Primary School, 71 Tenby Street",787,34,0,445,91,0,4,45,1406,4
"Warrington","Warrington Primary School, Ferguson Street",61,0,0,162,21,0,0,4,248,3
"Weston","Weston Primary School, 1 Charles Street",305,11,2,259,15,2,2,17,613,9
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",170,7,0,157,4,4,9,6,357,38
,"Ordinary Votes BEFORE polling day",1214,42,4,942,101,8,15,47,2373,13
,"Special Votes BEFORE polling day",168,8,0,152,23,2,0,6,359,3
,"Special Votes On polling day",1005,53,4,902,223,1,27,39,2254,21
,"Overseas Special Votes including defence force",148,12,3,142,16,1,0,2,324,5
,"Otago Total",17364,848,88,15369,1596,133,270,620,36288,331
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36619
"Electorate Candidate Valid Votes","Party",,"DEAN, Jacqueline Isobel - majority 1995"
"DEAN, Jacqueline Isobel",National Party,17364,.478505291
"ECKHOFF, Gerrard Mortland ",ACT New Zealand,848,.0233686067
"GUY, Simon David",Direct Democracy Party,88,.0024250441
"PARKER, David William",Labour Party,15369,.4235284392
"PEARCE, Jane Louise Mary",Green Party,1596,.0439814815
"PROSSER, Richard Ivor",Democrats for Social Credit,133,.0036651235
"SILCOCK, Barry John",Jim Anderton's Progressive,270,.0074404762
"TELFORD, Gerald William",United Future New Zealand,620,.0170855379
