Electorate Candidate and Party Votes Recorded at Each Polling Place
"Otaki 38","Candidate Vote Details"
,,"ATACK, Robert T","BROWN, Diane Margaret","EWING-JARVIE, Simon","FISHER, Nicholas Guy","FRANKLIN, Russell Charles","GUY, Allen Nathan","HUGHES, Darren Colyn","JEUNE, Margaret Anne","ORZECKI, Richard Edward ","PERRY, Chistopher Graeme","Total Valid Candidate Votes","Informal Candidate Votes"
"Foxton","Coley Street School, Coley Street",1,5,2,8,10,202,378,1,5,27,639,5
,"Foxton Primary School, Park Street",2,7,1,19,5,362,545,4,22,41,1008,7
"Foxton Beach","Dawick Street Hall, Dawick Street",0,7,2,12,7,250,440,0,3,26,747,4
"Ihakara","Ihakara Public Hall, cnr Tavistock Road and SH 57",0,0,2,5,2,230,118,1,2,10,370,0
"Levin","Fairfield School, 89 MacArthur Street",0,14,2,18,10,724,636,6,4,39,1453,7
,"Horowhenua College, 63-73 Weraroa Road",1,12,7,24,19,580,836,9,17,40,1545,9
,"Levin Baptist Church, 17-19 Rugby Street",0,6,2,8,13,248,349,2,8,23,659,6
,"Levin City Church Hall, 87 - 89 Cambridge Street",2,8,2,13,3,257,333,3,5,33,659,5
,"Levin East School, 90 Bartholomew Road",2,15,1,20,14,504,809,3,17,43,1428,6
,"Levin Intermediate School, Collingwood Street",0,0,2,4,4,146,243,3,8,11,421,2
,"Levin North School, 142-150 Weraroa Road",1,7,3,15,11,731,689,11,13,42,1523,10
,"Taitoko School, Kinross Street",0,5,0,10,5,89,254,0,15,12,390,4
"Manakau","Manakau District Association Hall, Mokena Kohere Street",0,2,1,12,3,215,134,1,11,9,388,1
"Ohau","Ohau School, Muhunoa East Road",4,1,5,24,5,352,242,1,6,18,658,1
"Opiki","Opiki School, Opiki Road",0,0,0,1,0,122,44,0,0,5,172,0
"Otaki","Hadfield Hall, Te Rauparaha Street",1,11,1,24,2,281,499,0,27,30,876,7
,"Otaki College, Mill Road",3,16,5,21,5,256,405,2,18,29,760,7
,"Waitohu School, Te Manuao Road",0,11,3,14,6,354,282,4,6,21,701,6
"Otaki Beach","Otaki Surf Lifesaving Club Hall, Marine Parade",1,6,1,18,4,120,243,1,5,20,419,0
"Paraparaumu","Kapiti Primary School, Kapiti Road",2,23,11,34,17,456,570,1,5,48,1167,8
,"Paraparaumu School, Ruapehu Street",1,32,7,38,11,376,442,4,8,28,947,8
,"St Paul’s Anglican Church Hall, cnr Kapiti Road & Langdale Ave",0,30,6,22,15,774,565,2,12,22,1448,8
,"The Meadows Church, 1 Realm Drive",1,41,10,40,6,741,579,2,2,25,1447,10
"Paraparaumu Beach","Kapiti Senior Citizens Centre, Ocean Road",2,27,7,29,16,634,512,4,2,36,1269,8
,"Paraparaumu Beach Guide Hall, Te Kupe Road",0,15,6,37,10,478,486,2,10,18,1062,4
,"Paraparaumu Beach School, Gray Avenue",0,28,5,47,7,670,586,1,4,22,1370,5
"Porirua","North City Shopping Centre, Titahi Bay Road",0,0,0,1,0,10,13,0,1,0,25,0
"Poroutawhao","Poroutawhao School, SH 1",1,1,2,1,0,111,53,0,0,2,171,0
"Raumati Beach","Raumati Beach School, Raumati Road",0,6,2,8,0,61,58,0,1,4,140,2
,"Real Life Hall, Kowhai Street",0,1,0,2,0,16,15,0,0,0,34,0
"Shannon","Shannon School, Grey Street",0,6,3,13,10,296,336,1,13,26,704,4
"Te Horo","Te Horo Hall, School Road",0,4,4,43,1,431,296,2,8,7,796,4
"Tokomaru","Tokomaru School, Tokomaru Road",1,3,4,11,4,184,116,2,1,8,334,0
"Waikanae","Kapanui School, 23 Rimu Street",2,29,2,22,11,560,421,1,2,25,1075,6
,"Presbyterian Church Hall, Ngaio Road",0,25,4,25,10,657,529,0,4,32,1286,7
,"Waikanae Baptist Church, 286 Te Moana Road",2,38,4,42,7,707,477,3,6,39,1325,8
,"Waikanae Primary School Hall, Hira Street",4,36,14,46,10,694,528,3,6,29,1370,3
"Waikanae Beach","Waikanae Beach Community Hall, Rauparaha Street",1,26,3,35,5,469,475,4,5,16,1039,7
"Waitarere Beach","St Aidan's Anglican Church, Waitarere Beach Road",0,0,0,12,0,154,145,0,4,10,325,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,8,1,11,5,251,379,1,2,32,690,28
,"Ordinary Votes BEFORE polling day",1,48,14,80,16,1411,1387,4,23,70,3054,12
,"Special Votes BEFORE polling day",3,9,1,14,1,202,196,5,7,16,454,7
,"Special Votes On polling day",5,36,9,121,13,625,736,2,31,42,1620,11
,"Overseas Special Votes including defence force",3,6,2,18,0,183,177,1,4,7,401,2
,"Otaki Total",47,611,163,1022,303,17174,17556,97,353,1043,38369,242
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38611
"Electorate Candidate Valid Votes","Party",,"HUGHES, Darren Colyn - majority 382"
"ATACK, Robert T",Direct Democracy Party,47,.0012249472
"BROWN, Diane Margaret",United Future New Zealand,611,.0159243139
"EWING-JARVIE, Simon",ACT New Zealand,163,.0042482212
"FISHER, Nicholas Guy",Green Party,1022,.0266360864
"FRANKLIN, Russell Charles",Jim Anderton's Progressive,303,.0078970002
"GUY, Allen Nathan",National Party,17174,.4476009278
"HUGHES, Darren Colyn",Labour Party,17556,.4575568819
"JEUNE, Margaret Anne",Alliance,97,.0025280826
"ORZECKI, Richard Edward ",Mâori Party,353,.0092001355
"PERRY, Chistopher Graeme",New Zealand First Party,1043,.0271834033
