Electorate Candidate and Party Votes Recorded at Each Polling Place
"Palmerston North 40","Candidate Vote Details"
,,"CHATHA, Arshad Mahmood","MAHAREY, Steven","O'HALLORAN, Lawrence John","ODERING, Graham Edward","PATCHETT, Elizabeth Dawn","PEDERSEN, Garry Keith","PLIMMER, Malcolm Ross","Total Valid Candidate Votes","Informal Candidate Votes"
"Aokautere","Aokautere School Hall, Fitzherbert East Rd",0,166,13,3,1,3,233,419,0
"Ashhurst","Village Valley Community Centre, Cambridge Ave/Guildford St",0,14,1,1,1,0,10,27,0
"Feilding","Manchester St School, 160 Manchester St",0,11,0,0,1,1,5,18,0
"Linton","Country School, Akers Rd",1,84,6,9,1,3,101,205,1
"Linton Camp","Community Centre, Puttick Rd",8,218,19,19,3,2,148,417,3
"Massey University","Bernard Chambers 'A', University Avenue",5,131,21,2,4,14,99,276,1
"Palmerston North","Awapuni Community Centre, 22 Newbury St",7,248,12,7,3,10,116,403,1
,"Awapuni School, 18 Rochester St",4,662,28,39,14,26,331,1104,11
,"Central Normal School, 201 Featherston St",7,794,48,38,12,27,413,1339,11
,"Cloverlea Primary School, 55 Herbert Avenue",0,65,2,1,2,1,31,102,0
,"College St Normal School, 402 College St",5,638,63,12,7,22,559,1306,12
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",0,221,27,5,4,9,194,460,3
,"Girls' High School, 228-242 Fitzherbert Avenue",3,363,37,13,4,14,348,782,6
,"Hokowhitu School, 227 Albert St",5,676,45,21,8,28,737,1520,5
,"IHC Day Base, 153 Cook St",0,184,16,8,1,9,110,328,1
,"Intermediate Normal School Hall, 31 South St",7,546,43,19,6,10,322,953,7
,"Kelvin Grove Community Centre, 68 Kaimanawa St",0,32,0,2,2,1,22,59,0
,"Metlifecare Retirement Village, Fitchett St",0,162,14,14,2,3,122,317,7
,"Milson School, Rutland Place",2,50,6,2,0,0,25,85,3
,"Monrad Intermediate School, 228 Botanical Rd",3,284,21,8,5,11,162,494,4
,"Olive Tree Village Community Centre, Olive Grove",2,242,9,12,4,11,281,561,6
,"Order of St John Hall, 92 Cuba St",3,133,10,10,3,4,60,223,3
,"Parkland School, 41 Parkland Crescent",0,478,29,14,11,22,330,884,5
,"Public Hospital Education Centre, Ruahine St",1,107,7,12,5,4,72,208,6
,"Queen Elizabeth College, 350-382 Rangitikei St",3,169,12,11,3,3,89,290,6
,"Rangiora Community Centre, 98-102 Rangiora Avenue",1,428,22,26,3,13,122,615,5
,"Riverdale School, 95 Slacks Rd",3,664,32,22,8,25,539,1293,8
,"Roslyn School, Kipling and Shelley Streets",4,384,19,37,8,17,164,633,5
,"Ross Intermediate School, 25 Freyberg St",0,123,9,4,0,6,70,212,2
,"Russell St School, 19-31 Russell St",1,573,30,31,6,15,378,1034,7
,"Ryder-Cheshire Centre, 114 Te Awe Awe St",2,246,11,8,4,10,346,627,3
,"Somerset Crescent School, 45 Somerset Crescent",1,328,8,14,4,12,150,517,5
,"St David's Church Hall, 9 Rainforth St",1,297,14,15,11,9,181,528,6
,"St James School, Room 8, 304 Albert St",1,367,19,13,7,16,361,784,1
,"St Luke's Lutheran Church Hall, McGiffert St",2,183,16,8,3,11,84,307,4
,"St Michael's Church Hall, 52 Pembroke St",1,275,9,16,4,8,79,392,8
,"St Oswald's Church Hall, Kingswood St",2,386,21,29,7,10,177,632,7
,"St Peter's College, 22-38 Rennie Avenue",0,32,2,3,0,0,9,46,0
,"Summerset Retirement Village, 166-186 Ruapehu Drive",0,217,13,15,0,9,322,576,9
,"Takaro School, Brighton Crescent",0,362,9,23,3,12,96,505,2
,"Terrace End School, 183-209 Ruahine St",5,665,37,38,12,25,353,1135,11
,"The Salvation Army Hall, 431 Church St",2,183,17,10,3,8,125,348,4
,"West End School Hall, 395-427 Botanical Rd",9,742,51,34,11,29,427,1303,6
,"Westbrook Community Centre, Havelock Avenue",3,433,13,38,8,12,140,647,12
,"Winchester School, 548 Ruahine St",4,455,30,14,3,16,420,942,6
"Turitea","Tiritea School, Old West Rd",2,83,4,2,0,3,107,201,0
,"Polling places where less than 6 votes were taken",0,3,0,0,0,0,1,4,0
,"Hospital Votes",6,192,2,16,4,6,113,339,13
,"Ordinary Votes BEFORE polling day",17,1547,104,76,19,74,1188,3025,16
,"Special Votes BEFORE polling day",0,181,14,15,3,2,119,334,6
,"Special Votes On polling day",12,966,117,49,10,36,639,1829,21
,"Overseas Special Votes including defence force",2,270,29,15,3,5,133,457,7
,"Palmerston North Total",147,17263,1141,853,251,627,11763,32045,276
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32321
"Electorate Candidate Valid Votes","Party",,"MAHAREY, Steven - majority 5500"
"CHATHA, Arshad Mahmood",Independent,147,.0045872991
"MAHAREY, Steven",Labour Party,17263,.5387111874
"O'HALLORAN, Lawrence John",Green Party,1141,.0356061788
"ODERING, Graham Edward",New Zealand First Party,853,.0266188173
"PATCHETT, Elizabeth Dawn",Jim Anderton's Progressive,251,.0078327352
"PEDERSEN, Garry Keith",United Future New Zealand,627,.019566235
"PLIMMER, Malcolm Ross",National Party,11763,.3670775472
