Electorate Candidate and Party Votes Recorded at Each Polling Place
"Christchurch Central 5","Candidate Vote Details"
,,"BARNETT, Timothy Andrew","BREACH, Anita Mary","CLARK, Byron Charles","CUTLER-WELSH, Natalie Susan","GARDENER, Kevin James","GREGORY, Daryl Garth","MARSHALL, Shirley","van BUREN, John ","VERMUNT, Annalucia","WAGNER, Nicola Joanne","WOODS, Megan Cherie","Total Valid Candidate Votes","Informal Candidate Votes"
"Addington","Addington School, 22 Brougham Street",121,0,2,11,9,1,1,3,1,26,23,198,4
,"Kidsfirst Kindergarten, 366 Selwyn Street",332,8,1,41,26,4,5,17,3,108,65,610,13
,"Sacred Heart Parish Hall, 70 Spencer Street",252,4,1,28,13,6,1,10,3,85,31,434,6
"Avonside","Avonside Early Childhood Centre, 43 Woodham Road",204,1,0,26,20,3,5,5,0,91,7,362,4
,"Avonside Scout Den, 11 Retreat Road",324,12,1,59,22,4,4,19,0,176,26,647,4
,"Christchurch Amateur Radio Club, 27 Galbraith Avenue",79,0,1,12,4,2,1,4,0,35,8,146,0
,"Holy Trinity Anglican Church Hall, 168 Stanmore Road",283,2,1,20,11,1,4,9,0,86,7,424,3
"Christchurch City","Cathedral College, cnr Barbadoes Street and Moorhouse Avenue",101,1,1,24,3,1,4,6,0,60,8,209,1
,"Christchurch Central Public Library, cnr Gloucester St & Oxford Tce",423,3,5,73,12,0,15,11,2,155,19,718,10
,"Christchurch East School, 311 Gloucester Street",605,9,5,96,30,7,10,12,3,199,20,996,9
,"Christchurch Hospital, The Great Escape Cafe",76,1,0,12,1,0,1,1,0,40,1,133,1
,"Disability Information Service, Disabled Persons Centre, 314 Worcester Street",84,2,0,14,4,0,0,6,0,30,3,143,2
,"District Court, Family Court Building, 85 Armagh Street",103,2,1,20,2,1,6,6,1,94,3,239,3
,"Hagley Community College, 510 Hagley Avenue",84,0,0,20,6,2,2,4,2,36,5,161,0
,"HMNZS Pegasus, 419 Montreal Street",183,2,0,22,11,1,8,3,3,187,12,432,1
,"St Luke's Church, 250 Manchester Street",248,4,0,37,22,2,8,7,1,183,8,520,10
,"St Mary's Parish Hall, 375 Manchester Street",245,2,2,28,13,2,5,21,1,158,17,494,6
,"The Arts Centre, Hurst Seager Room, cnr Hereford Street & Rolleston Avenue",204,1,1,40,2,2,14,5,1,139,9,418,6
"Linwood","Linwood Avenue School, 260 Linwood Avenue",271,5,2,30,22,4,5,8,1,64,12,424,5
,"Linwood Bible Chapel, 78 Stanmore Road",465,9,1,48,38,6,12,15,0,105,35,734,6
,"Linwood College Hall, 85 Aldwins Road",226,7,0,30,20,2,4,3,0,50,10,352,1
,"Linwood Intermediate School, McLean Street",150,1,0,28,12,4,2,10,0,46,12,265,3
,"Linwood North School Hall, 221 Woodham Road",479,8,1,62,22,6,6,23,2,142,23,774,5
,"St Chad's Anglican Church Hall, 11 Carnarvon Street (cnr Buckleys Road)",144,5,0,16,13,0,2,10,0,38,15,243,1
"Mairehau","Aldred Methodist Hall, Knowles Street (cnr Nancy Avenue)",291,11,0,31,26,2,2,17,0,184,23,587,9
,"Glenmoor School, 96 Philpotts Road",173,5,0,14,11,2,4,10,1,120,10,350,4
,"Mairehau Primary School, 43 Mahars Road",452,3,3,45,37,6,9,37,1,313,39,945,16
"Merivale","Heaton Intermediate School, Centre for Performing Arts, 125-133 Heaton Street",118,1,0,8,3,0,1,2,2,141,4,280,1
,"Rangi Ruru Girls' School Hall, 59 Hewitts Road",53,0,0,3,3,1,2,3,0,72,1,138,0
,"St Mary's Parish Centre Main Hall, 30 Church Lane (cnr Papanui Road)",266,4,4,40,10,7,12,4,1,419,12,779,7
"Opawa","Opawa Baptist Hall, 285 Wilsons Road",160,3,0,14,5,2,1,16,0,59,20,280,6
"Papanui","Papanui Methodist Church Hall, 68 Harewood Rd (cnr Chapel St)",65,0,0,6,6,1,0,4,0,59,8,149,0
,"Papanui Primary School, Winters Road",296,6,0,34,32,2,7,27,1,257,18,680,10
,"Paparoa Street School, Paparoa Street",478,8,1,35,33,3,11,17,2,649,25,1262,3
,"St Paul's Anglican Church Lounge, 1 Harewood Rd",138,2,0,5,7,3,2,8,0,104,9,278,10
"Phillipstown","Phillipstown School, 21 Nursery Road",449,14,2,49,28,7,5,13,2,103,27,699,4
,"Te Waipounamu Maori Cultural Centre, 290 Ferry Road",172,6,2,21,9,5,3,4,1,44,8,275,4
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",412,13,0,61,21,3,7,17,0,161,29,724,8
,"Richmond Kindergarten, 41 North Avon Road",358,4,0,34,19,2,5,15,0,132,28,597,11
,"Richmond Primary School, Pavitt Street",278,1,3,29,13,4,2,9,0,81,14,434,3
"Shirley","Hammersley Park School, 102 Quinns Road",340,11,0,30,33,2,10,18,0,174,16,634,8
,"MacFarlane Park Free Kindergarten, 19 Acheson Avenue",374,14,1,22,23,2,4,12,1,70,18,541,4
,"Shirley Community Centre, Shirley Road (cnr Slater Street)",776,21,8,102,47,8,13,43,1,417,60,1496,19
,"Shirley Intermediate School Hall, North Parade (cnr Shirley Road)",288,6,1,30,11,1,7,12,0,145,14,515,3
"St Albans","Beulah Christian Fellowship Church, 140 Springfield Road",309,21,1,22,19,2,7,16,2,282,14,695,7
,"Lamb of God Community Hall, 19 Thames Street",338,2,0,48,10,5,3,16,1,231,23,677,7
,"Malvern Scout Hall, Innes Road (Adjacent Rugby Park)",236,3,1,25,9,2,1,8,0,287,9,581,6
,"Rehua Marae, 79 Springfield Road",191,2,0,19,7,6,1,4,0,115,3,348,3
,"St Albans Baptist Church, cnr McFaddens Road and Redwood Place",126,3,4,14,12,0,1,15,2,153,15,345,2
