Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Atatu 53","Candidate Vote Details"
,,"BROWNE-KNOWLES, Te Paeru Stella","CARTER, Christopher Joseph","DAVIS, Moetu Tipene","DEWAR, Katherine Mary","HAYCOCK, Bruce Kim","HENARE, Raymond Tau","HUGHES, Adele Christine","JENKINS, Betty Mavis","KOTOISUVA, John Thomas","MARTIN, Kelvin Andrew","ROY, Pavitra Kumar","TRICHON, Gregory Stephen","van KEMPEN, Josephine Mary","van RUYSSEVELT, Robert","Total Valid Candidate Votes","Informal Candidate Votes"
"Glen Eden","Glen Eden School Hall, 3 Glenview Road",1,116,8,8,1,48,0,2,3,0,3,0,9,0,199,1
,"Te Kura Kaupapa Maori o Hoani Waititi Marae, 441 West Coast Road",0,10,0,0,1,1,0,0,0,6,0,0,0,0,18,0
"Glendene","Glendene School, 60 Barrys Road",3,901,58,23,17,380,4,5,22,8,15,0,30,2,1468,17
"Henderson","Henderson North School, 14 Norval Road",2,428,21,18,12,205,1,3,14,7,10,4,27,4,756,9
,"Henderson Primary School, Montel Avenue",1,617,36,29,17,283,0,7,13,5,7,1,57,1,1074,15
,"Pomaria Primary School, 33a Pomaria Road",4,705,25,29,6,240,4,5,19,7,13,1,49,3,1110,14
,"Rathgar Kindergarten, 47A Longburn Road",0,287,10,10,5,71,0,6,11,8,2,0,13,1,424,6
,"Waitakere College, 42 Rathgar Road",0,775,42,31,30,306,2,9,20,12,8,0,4,46,1285,22
,"Western Heights School, 126 Sturges Road",0,58,1,5,2,3,35,3,0,0,0,1,5,0,113,1
"Kelston","Kelston Boys High School, Archibald Road",4,631,23,15,13,206,3,4,15,5,11,0,19,2,951,9
,"Kelston Girls College Music Suite, 1 Archibald Road",0,307,12,15,12,72,0,4,8,5,2,1,12,0,450,6
,"St Leonards Road School Hall, 15 St Leonards Road",4,569,32,23,11,178,0,3,24,5,6,3,23,1,882,15
"Massey","Don Buck School, 124 Don Buck Road",0,423,19,17,20,158,1,7,6,6,4,1,28,1,691,6
,"Lincoln Heights School, 16 Keegan Drive",8,752,45,41,23,285,4,7,26,14,7,1,34,1,1248,6
,"Massey High School, 274 Don Buck Road",2,602,57,51,20,296,2,6,18,4,8,2,33,1,1102,19
,"Royal Road School, 112 Royal Road",0,96,7,11,3,45,2,2,0,3,0,0,6,0,175,0
"New Lynn","Fruitvale School Hall, 9 Croydon Road, New Lynn",0,20,0,3,1,8,0,0,1,0,0,0,0,0,33,0
,"New Lynn Community Centre, 45 Totara Avenue",0,73,0,2,7,23,0,0,2,1,0,0,1,0,109,4
,"New Lynn Salvation Army Hall, 32 Delta Avenue",0,30,3,2,0,11,0,2,1,0,2,0,6,0,57,0
"Ranui","Birdwood School, Karepo Crescent",0,21,2,2,0,3,0,0,3,2,0,0,1,0,34,0
"Sunnyvale","Sunnyvale Community Hall, 18 Sunnyside Road",1,359,22,30,9,156,1,2,11,5,3,6,26,4,635,11
,"Sunnyvale Primary School, 34 Ribblesdale Road",2,765,56,38,19,306,1,7,19,3,10,4,43,2,1275,7
"Te Atatu Peninsula","Matipo Primary School, 63B Matipo Road",3,578,42,23,17,245,4,3,16,9,6,1,32,4,983,9
,"Peninsula Primary School, 22 Waipani Road",1,524,38,38,15,277,1,4,11,12,12,1,30,2,966,9
,"Rutherford Primary School, 7 Toru Street",1,480,12,22,14,215,2,10,9,8,8,1,35,3,820,9
,"Te Atatu Intermediate School, Harbour View Road",7,1328,69,60,47,658,3,10,23,32,22,3,59,4,2325,22
"Te Atatu South","Flanshaw Road School, 51 Flanshaw Road",4,1047,48,50,22,469,4,12,21,11,6,5,48,7,1754,18
,"Freyberg Community School, 60 Roberts Road",2,741,44,27,26,385,0,9,12,8,10,1,38,3,1306,22
,"The Order of St John Hall, 247 Edmonton Road",4,925,53,26,31,460,2,19,29,12,13,3,48,2,1627,16
,"Tirimoana School, 34 Kokiri Street",2,1073,47,28,37,498,2,11,13,6,9,4,41,4,1775,20
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,209,23,6,3,86,1,2,0,0,0,5,2,0,337,0
,"Ordinary Votes BEFORE polling day",2,789,59,26,28,458,2,14,23,5,13,1,67,0,1487,27
,"Special Votes BEFORE polling day",1,212,19,7,3,63,0,1,5,3,4,1,4,1,324,5
,"Special Votes On polling day",15,1528,76,121,49,468,5,20,43,35,12,5,62,5,2444,42
,"Overseas Special Votes including defence force",3,108,7,12,3,74,0,6,5,3,0,0,5,0,226,3
,"Te Atatu Total",77,18087,1016,849,524,7640,86,205,446,250,226,56,897,104,30463,370
,,,,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",30833
"Electorate Candidate Valid Votes","Party",,"CARTER, Christopher Joseph - majority 10447"
"BROWNE-KNOWLES, Te Paeru Stella",New Zealand Family Rights Protection Party,77,.0025276565
"CARTER, Christopher Joseph",Labour Party,18087,.5937366641
"DAVIS, Moetu Tipene",New Zealand First Party,1016,.0333519351
"DEWAR, Katherine Mary",Green Party,849,.0278698749
"HAYCOCK, Bruce Kim",ACT New Zealand,524,.0172011949
"HENARE, Raymond Tau",National Party,7640,.2507960477
"HUGHES, Adele Christine",Equal Values Party,86,.0028230969
"JENKINS, Betty Mavis",Christian Heritage NZ,205,.0067294751
"KOTOISUVA, John Thomas",Destiny New Zealand,446,.0146407117
