Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waimakariri 55","Candidate Vote Details"
,,"BRITNELL, Michael Allan","COSGROVE, Clayton James","HOLDAWAY, Rebekah Faith","LIEFTING, Alan","MARK, Ron Stanley","ORME, Jason Alexander","PICKERING, William John","WILKINSON, Catherine Joan","WRIGHT, John Alexander","Total Valid Candidate Votes","Informal Candidate Votes"
"Belfast","Belfast School, 700 Main North Road",6,583,9,24,98,1,11,377,17,1126,5
,"Papanui ACC Office, Northwood Supa Centre, 1 Radcliffe Road",2,573,8,21,111,0,25,626,9,1375,9
,"Salvation Army Hall, 794 Main North Road",13,521,6,19,83,1,6,207,6,862,7
"Bishopdale","Bishopdale School Hall, 465 Greers Road",3,342,5,14,42,0,16,161,9,592,4
,"Breens Intermediate School Hall, 85 Breens Road",4,146,1,4,25,0,8,135,2,325,1
,"Cotswold School, 50 Cotswold Avenue",9,701,12,31,91,1,28,486,11,1370,6
,"Crossroads at Bishopdale, cnr Farrington Ave and Kilburn St",0,111,2,2,5,0,5,48,0,173,1
,"Reformed Church, 90 Highsted Road",3,408,7,13,80,0,20,392,12,935,3
"Christchurch City ","Christchurch Central Public Library, cnr Gloucester St & Oxford Tce",2,27,0,6,2,0,1,15,0,53,0
,"Christchurch Hospital, The Great Escape Cafe",0,16,1,0,4,0,0,6,1,28,1
,"The Arts Centre, Hurst Seager Room, cnr Hereford Street & Rolleston Avenue",1,16,0,3,3,0,0,10,1,34,0
"Clarkville","Clarkville School, Heywards Road",1,179,2,11,61,0,3,345,5,607,3
"Cust","Cust School, 473 Early's Road",0,171,3,5,76,0,5,217,12,489,2
"Fernside","Fernside School, O'Rourkes Road",1,174,3,4,73,1,3,314,4,577,2
"Harewood","Harewood Playcentre, 719 Harewood Rd",2,122,2,4,22,0,6,147,0,305,1
"Kaiapoi","Kaiapoi Community Centre Hall, 24 Sewell Street",13,788,6,27,176,0,16,288,14,1328,8
,"Kaiapoi Cooperating Parish, Wesley Centre, 53 Fuller St",10,675,1,21,181,0,15,287,21,1211,10
,"Kaiapoi High School Auditorium, Ohoka Road",16,1033,7,20,201,2,14,496,25,1814,10
,"Kaiapoi North School, 278 Williams Street",7,614,2,25,126,1,20,220,8,1023,5
"Mandeville","Eyreton Hall, Cnr Mandeville Road & South Eyre Road ",1,103,0,4,27,0,2,151,1,289,1
"Marshland","Marshland School, 329 Prestons Road",3,134,1,5,34,0,6,174,3,360,3
"Ohoka","Ohoka School, Jacksons Road",2,208,4,29,58,0,8,454,0,763,7
"Oxford","Jaycee's Room, Main Street",9,567,13,36,171,0,21,519,18,1354,10
"Papanui","Casebrook Intermediate, 90 Veitches Road",7,638,6,20,97,1,17,346,10,1142,8
,"Papanui Baptist Church, 144 Sawyers Arms Road",3,246,1,15,39,0,27,123,9,463,2
,"Papanui Methodist Church Hall, 68 Harewood Rd (cnr Chapel St)",7,242,2,13,29,3,9,71,4,380,1
,"St Joseph's Church School, 4 Vagues Road",3,269,0,18,39,1,8,151,4,493,5
,"St Paul's Anglican Church Lounge, 1 Harewood Rd",1,46,0,3,10,0,5,22,0,87,0
"Pines Beach","Public Hall, 7 Dunns Avenue",8,207,0,20,33,0,1,60,5,334,4
"Rangiora","Ashgrove School, 48 Seddon Street",4,637,4,19,169,2,13,596,16,1460,8
,"Rangiora Borough School, King Street",20,1158,9,37,390,4,35,721,47,2421,16
,"Rangiora High School, East Belt",3,265,5,8,102,0,15,224,5,627,6
,"Salvation Army Hall, 12 Ashley Street",10,362,7,6,118,0,18,274,14,809,6
