Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wairarapa 56","Candidate Vote Details"
,,"BLEAKLEY, Claire Annette","HAYES, John Bernard","MacKENZIE, Denise Lillian","PERRY, Edwin Jock","REEVES, Graeme Leonard","TULLOCH, Graeme Hugh","WALKER, Henrietta Cissie Rose","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfredton","Alfredton School (cnr Alfredton Road and SH52)",0,97,14,11,1,2,3,128,1
"Carterton","Carterton Kindergarten, 3 Victoria Street",35,253,330,137,16,3,3,777,4
,"Carterton School, Holloway Street",32,310,408,195,13,13,6,977,6
,"Dalefield School (cnr Dalefield and Thomas Roads)",18,112,67,48,3,4,1,253,0
,"Parkvale Hall, Nix Road",11,155,90,69,3,4,0,332,1
,"South End School, High Street South",37,240,315,160,6,2,1,761,2
,"West Taratahi Hall, Chester Road",19,115,101,47,0,3,0,285,1
"Dannevirke","Dannevirke High School (cnr Grant and King Streets)",7,188,109,39,3,1,3,350,4
,"Dannevirke South School (cnr Stairs and Hunter Streets)",19,300,183,86,10,9,2,609,3
,"Dannevirke Sports Centre, Anderson Street",10,153,100,62,3,0,4,332,4
,"District Court, 5-7 Gordon Street",24,429,241,116,8,10,9,837,9
,"Huia Range School, Cole Street",22,294,264,95,4,3,8,690,5
,"Ruahine School, Maharahara Road",6,159,22,19,1,1,1,209,0
,"Totara College, 3 Ruahine Street",6,128,63,45,6,2,3,253,3
"Eketahuna","Eketahuna School, Albert Street",15,209,111,67,6,3,3,414,0
"Elsthorpe","Elsthorpe School, Kenderdine Road",9,104,41,6,3,1,0,164,3
"Featherston","Community Centre, 14 Wakefield Street",30,127,209,62,11,5,2,446,5
,"Featherston School, Lyons Street",59,217,435,142,25,5,8,891,5
,"South Featherston School, South Featherston Road",7,74,44,22,3,2,2,154,0
"Gladstone","Gladstone School, Gladstone Road",9,169,57,51,2,2,1,291,4
"Greytown","Greytown School, East Street",51,558,502,188,7,9,8,1323,19
,"Kuranui College Student Centre, Moroa Plain Road",10,110,70,25,4,4,0,223,1
"Hamua","Hamua Hall, State Highway 2",4,85,33,17,0,3,1,143,1
"Kahutara","Kahutara School, Kahutara Road",6,108,55,18,5,3,1,196,2
"Kumeroa","Kumeroa Hopelands School, Township Road",2,62,17,3,2,2,0,88,0
"Mangamaire","Mangamarie School, Tutaekara Road",0,101,29,10,2,2,1,145,0
"Mangatainoka","Mangatainoka School, State Highway 2",1,113,57,29,3,2,0,205,0
