Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wigram 62","Candidate Vote Details"
,,"ANDERTON, James Patrick","DOWIE, Thomas William","EMILE, Tetauru Joseph","FOLJAMBE, Anton Charles","HANSEN, Christopher Michael","KINGI, Samuel","LOMAX, Allison Vivienne","MORA, Michael Allan","ROBERTS, Vanessa Joy ","ROSWELL, Brian Murrell","SUGGATE, Richard Malcolm","Total Valid Candidate Votes","Informal Candidate Votes"
"Addington","Addington School, 22 Brougham Street",237,1,1,1,0,1,68,68,8,14,21,420,8
,"Sacred Heart Parish Hall, 70 Spencer Street",79,1,1,0,0,0,32,16,9,5,6,149,8
"Beckenham","Beckenham School, Sandwich Road",447,3,4,0,1,4,178,125,27,13,61,863,25
,"St Peter's School, 11 Fisher Avenue",287,2,1,0,0,0,140,76,19,7,33,565,10
,"Thorrington School Hall, Colombo Street South",165,0,1,0,0,0,108,56,9,3,28,370,4
"Cashmere","Landsdowne Community Centre, Landsdowne Terrace",14,0,0,0,0,0,18,6,1,1,6,46,3
,"Princess Margaret Hospital Day Hospital, Cashmere Road",114,0,1,0,0,0,61,26,6,5,12,225,4
"Christchurch City ","Christchurch Central Public Library, cnr Gloucester St & Oxford Tce",44,1,0,0,0,0,21,28,7,0,10,111,3
,"Christchurch Hospital, The Great Escape Cafe",33,0,0,0,0,0,10,14,3,0,3,63,1
,"The Arts Centre, Hurst Seager Room, cnr Hereford Street & Rolleston Avenue",19,0,1,1,1,2,7,8,0,1,4,44,2
"Halswell","St Mary's Anglican Church Hall, 329 Halswell Rd",59,1,1,0,0,0,44,35,5,5,4,154,2
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",186,1,2,1,0,1,77,97,13,17,9,404,13
,"Kids First Kindergarten, Wycola Avenue",225,1,2,0,0,0,70,100,4,15,11,428,15
,"St Aidan's Church Hall, 173 Buchanans Road",338,1,4,0,0,1,101,176,11,28,18,678,24
"Hillmorton","Hillmorton Kindergarten, 14 Torrens Road",125,0,0,0,0,1,48,60,9,5,11,259,11
,"Rowley School, 48 Rowley Avenue",292,2,2,1,2,1,70,151,16,11,20,568,10
,"Spreydon School, 2 Halswell Road",303,3,2,0,1,0,149,83,16,19,18,594,13
"Hoon Hay","Hillmorton High School, Recreation Hall, Tankerville Road",259,0,3,0,1,0,82,60,11,14,14,444,16
,"Hoon Hay School Library, 91 Sparks Road",446,0,4,0,2,2,214,159,32,26,45,930,9
,"Manning Intermediate, 50 Hoon Hay Road",255,0,0,1,0,0,112,81,27,8,19,503,7
,"Presbyterian Church Hall, 5 Downing Street",251,0,6,0,0,0,102,63,22,14,7,465,5
"Hornby","Branston Intermediate, 35 Amyes Road",521,0,4,0,1,1,188,264,40,27,28,1074,27
,"Garage, 66 Blankney Street",176,1,0,0,1,0,74,68,6,16,9,351,5
,"Hornby Library, Goulding Avenue",205,1,2,0,1,0,72,77,14,12,12,396,4
,"Hornby School Hall, Waterloo Road",300,3,0,1,0,0,112,166,15,30,12,639,15
,"South Hornby School, Shands Rd",240,0,1,1,0,3,87,112,10,22,4,480,9
,"St Columba's Church Hall, 452 Main South Rd",192,0,0,0,0,0,62,77,11,9,8,359,13
"Ilam","Ilam School Hall, 66 Ilam Road",101,1,6,0,1,1,64,49,8,2,12,245,1
"Riccarton","NZ Blood Donor Service, 87 Riccarton Road",266,3,11,0,1,3,201,157,13,16,39,710,13
,"St Hilda's Church Hall, 7 Centennial Avenue",183,0,8,0,1,1,102,105,11,20,16,447,11
,"St Ninian's Presbyterian Church Hall, 9 Puriri St",74,0,0,0,0,3,45,35,6,7,7,177,5
,"Wharenui School, Matipo St",431,1,17,0,1,4,244,221,23,20,40,1002,27
"Riccarton Park","Portacom Modular Buildings, 65 Buchanans Road",219,0,3,0,0,1,105,88,12,19,6,453,6
"Russley","Russley School, 75 Cutts Road",256,1,9,0,1,0,237,124,28,12,14,682,7
,"St Stephen's Methodist Church, 376 Yaldhurst Rd",190,0,0,0,0,1,204,81,11,19,12,518,14
"Sockburn","Sockburn School, 34 Springs Rd",579,3,3,0,1,4,282,251,31,40,38,1232,21
,"Sockburn Service Centre, 149 Main South Road",195,0,7,0,0,0,100,68,24,16,12,422,16
"Somerfield","Cashmere High School, Rose Street",272,1,6,1,0,1,145,95,13,9,30,573,8
,"Somerfield School, 42 Studholme Street",571,2,5,0,0,0,260,153,31,25,71,1118,13
"Spreydon","Christchurch South Intermediate, 204 Selwyn Street",681,2,6,1,2,5,200,159,21,29,63,1169,23
,"Spreydon Baptist, Cobham St Hall, 51 Cobham Street",467,2,2,1,0,1,151,120,42,24,37,847,14
,"St James Presbyterian Hall, cnr Barrington & Bewdley Street",438,0,1,1,0,2,177,112,30,21,28,810,15
,"St Martins Church Neave Room, 50 Lincoln Road",246,1,2,1,0,0,85,81,14,14,15,459,15
,"St Nicholas Church Hall, 331 Barrington St",360,2,6,0,1,2,133,114,17,25,29,689,16
,"Te Kura Kaupapa Maori O Te Whanau Tahi, 81 Lyttelton Street",140,0,0,0,1,1,66,43,9,3,12,275,4
,"West Spreydon School Llibrary, 147 Lyttelton Street",332,0,5,0,1,1,145,111,23,20,33,671,11
"St Martins","Hillview Christian Senior School, 125 Wilsons Road",39,0,0,0,0,0,15,21,7,1,6,89,3
"Sydenham","St Saviours Anglican Hall, 200 Colombo Street",416,2,4,0,0,1,137,147,13,22,65,807,14
,"Sydenham Community Centre, 23-25 Hutcheson St",103,3,1,0,0,1,24,39,2,3,11,187,3
"Upper Riccarton","Canterbury Table Tennis Stadium, Foyer, 294 Blenheim Road",61,0,1,0,0,1,38,32,8,8,2,151,2
,"Middleton Grange School, 50 Acacia Avenue",244,2,7,0,0,2,134,105,23,12,21,550,10
,"Riccarton High School, Curletts Road",179,0,7,0,0,0,58,63,12,8,15,342,7
,"Riccarton School, English Street",247,1,2,0,0,1,160,103,16,11,9,550,10
,"St Thomas of Canterbury College, 69 Middlepark Road",278,1,3,0,1,0,175,102,10,16,10,596,13
,"Villa Maria College Hall, Brodie Street",78,1,4,0,0,0,51,48,5,2,5,194,5
"Waltham","Waltham School, cnr Hastings Street East and Vienna Street",240,0,0,1,0,3,54,100,15,12,35,460,9
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",332,2,4,1,2,1,244,210,6,19,7,828,49
,"Ordinary Votes BEFORE polling day",689,4,11,1,1,3,368,276,58,50,69,1530,18
,"Special Votes BEFORE polling day",152,0,2,0,0,1,73,75,16,15,22,356,15
,"Special Votes On polling day",964,3,16,5,2,7,555,607,66,59,202,2486,48
,"Overseas Special Votes including defence force",126,1,1,0,1,0,74,61,13,6,29,312,4
,"Wigram Total",15961,61,203,20,29,69,7413,6408,988,912,1455,33519,716
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34235
"Electorate Candidate Valid Votes","Party",,"ANDERTON, James Patrick - majority 8548"
"ANDERTON, James Patrick",Jim Anderton's Progressive,15961,.4761776903
"DOWIE, Thomas William",Alliance,61,.0018198634
"EMILE, Tetauru Joseph",ACT New Zealand,203,.0060562666
"FOLJAMBE, Anton Charles",Direct Democracy Party,20,.0005966765
"HANSEN, Christopher Michael",NZ Econ. Euth.,29,.0008651809
"KINGI, Samuel",Anti-Capitalist Alliance,69,.002058534
