Electorate Candidate and Party Votes Recorded at Each Polling Place
"Ikaroa-Rawhiti 63","Candidate Vote Details"
,,"HOROMIA, Parekura Tureia","POANANGA, Atareta Nicole","TE KANI, Tauha ","Total Valid Candidate Votes","Informal Candidate Votes"
,East Coast
"Frasertown","Frasertown School, Russell Parade, Wairoa",36,21,3,60,0
"Gisborne","Awapuni School, 129 Awapuni Road",42,35,4,81,0
,"Central School, 7 Central Street",36,15,6,57,0
,"Church of Christ Hall, 39 Roebuck Road",43,42,2,87,0
,"Cobham School, Lytton Road",136,89,5,230,1
,"Elgin School, 2 Knox Street",93,65,8,166,7
,"Girls High School, 555 Gladstone Road",79,53,2,134,2
,"Gisborne District Council Chambers, Fitzherbert Street",87,61,7,155,7
,"Gisborne District Hospital, 421 Ormond Road",39,26,2,67,0
,"Ilminster Intermediate, De Lautour Road",215,119,23,357,5
,"Kaiti School, Wainui Road",284,200,30,514,11
,"Mangapapa Residents Hall, 350 Ormond Road",83,51,8,142,4
,"Mangapapa School, Rua Street",63,53,5,121,3
,"Riverdale School, 320 Stout Street",99,48,6,153,1
,"Rutene Road Kindergarten, 128 Rutene Road",33,21,5,59,3
,"St Marys School, Childers Road",64,57,10,131,3
,"Te Hapara School, 31 Mill Road",63,38,2,103,4
,"Waikirikiri School, 7 Pickering Street",175,106,3,284,10
"Hicks Bay","Te Kura O Kawakawa Mai Tawhiti, Wharf Road",48,33,1,82,0
"Kotemaori","Kotemaori School, State Highway 2, Wairoa",8,1,1,10,0
"Mahia","Mahia School, 457 Eastcoast Road",48,77,5,130,0
"Makaraka","Makaraka School, 137 Main Road South, Gisborne",36,23,1,60,2
"Makauri","Makauri School, 120 Kings Road, Gisborne",11,7,2,20,0
"Manutuke","Manutuke School, 59 Waingake Road",36,102,2,140,1
"Matawai","Matawai School, 29 Raumati Street",20,8,0,28,1
"Muriwai","Muriwai School, 1684 Wharerata Road, RD 2, Gisborne",26,40,1,67,2
"Nuhaka","Nuhaka School, Tamakahu St",46,61,5,112,4
"Ormond","Ormond School, 45 Whitmore Road",12,8,0,20,1
"Patutahi","Patutahi School, 29 Atkins Street",21,38,5,64,6
"Raupunga","Ngati-Pahauwera Society Clubrooms",24,58,1,83,0
"Rere","Rere School, Wharekopae Road",4,2,1,7,2
"Ruakituri","Ruatikuri School, 1607 Ruakituri Valley Road, RD 5, Wairoa",8,5,0,13,1
"Ruatoria","Manutahi School, 51 Tuparoa Road",172,197,10,379,7
"Te Araroa","Te Waha O Rerekohu Area School Staff Room, 3 Arewhena Street",61,78,6,145,0
"Te Karaka","Waikohu College, Kanakanaia Road",79,54,4,137,2
"Te Puia Springs","Te Puia Springs School, 28 McKenzie Street",48,29,3,80,1
"Tikitiki","Tikitiki School, 33 Rangitukia Road",62,111,1,174,2
"Tiniroto","Tiniroto School, 14 School Road",7,3,0,10,0
"Tokomaru Bay","Hatea A Rangi School, 6 School Road",130,46,7,183,2
"Tolaga Bay","Area School, Resolution Street",221,58,3,282,1
"Tuai","Public Hall, Rotten Row",44,19,3,66,1
"Wainui","Wainui Beach School, 56 Wairere Road",20,14,0,34,3
"Wairoa","Taihoa Marae, Te Uhi Road",99,89,0,188,2
,"Wairoa College, Lucknow Street",87,74,9,170,2
