Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tainui 64","Candidate Vote Details"
,,"GREENSILL, Angeline Elizabeth Ngahina","MAHUTA, Nanaia Cybele","POPE, Andrew Lewis","SOLOMON, Hayden Te Hira","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
"Waiheke Island","Blackpool Lions Blackpool Hall, Nikau Road",19,3,0,2,24,1
,"Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Rd",11,11,0,0,22,0
,"Onetangi Residents Assn Hall, cnr Waiheke Rd & Third Ave",6,9,1,0,16,0
,"Ostend War Memorial Hall, cnr Belgium St & Ostend Rd",25,18,0,4,47,0
,"Palm Beach Hall, 64 Palm Road",5,2,1,0,8,0
,"Rocky Bay, Omiha Memorial Hall, 2 Glenbrooke Road",5,4,0,0,9,0
,"Te Huruhi School Hall, 7 Donald Bruce Road, Surfdale",7,7,0,0,14,0
,Clevedon
"Alfriston","Alfriston School, cnr Mill and Alfriston Roads",8,8,1,0,17,1
"Ardmore","Ardmore School, 599 Papakura-Clevedon Road",1,4,1,1,7,1
"Beachlands","Beachlands School, 18 Bell Road, disabled access from Wakelin Road",15,8,1,4,28,0
"Clevedon","Clevedon School, North Road",9,15,1,0,25,2
"Flat Bush","Old Flat Bush School Hall, cnr Murphy's Rd & Flat Bush School Rd",5,2,0,1,8,1
"Kawakawa Bay","Kawakawa Bay Public Hall, Kawakawa - Orere Road",5,9,0,0,14,1
"Maraetai","Maraetai Beach School, 154 Maraetai Drive",2,9,1,5,17,0
"Orere","Orere School, Orere Point Road",5,4,0,0,9,1
"Papakura","Cosgrove School, 10 Cosgrove Road",88,90,1,11,190,6
,"Kelvin Road School, 74-76 Kelvin Road",171,120,3,5,299,8
,"Nga Puawai o Wikitoria Te Kohanga Reo, 32 Old Wairoa Road",37,29,1,8,75,3
,"Opaheke School, 12A Tasman Drive",34,32,4,4,74,1
,"Papakura Central School, 23 Ray Small Drive",14,40,0,3,57,0
,"Papakura Christ Church Hall, 40 Coles Crescent",24,26,0,1,51,0
,"Papakura District Court, cnr Great South Road and Wood Street",39,53,0,1,93,5
,"Papakura High School, 11 Willis Road",71,65,4,10,150,13
,"Papakura Normal School, cnr Walters & Porchester Road",76,78,5,6,165,1
,"Papakura South School, 58 Beach Road",31,31,2,0,64,8
,"Redhill School, Redcrest Avenue",60,38,0,4,102,7
,"Rosehill Intermediate, 5 Jupiter Street",65,54,1,3,123,4
"Takanini","Conifer Grove School, Evanda Crescent, Hall entry from 70 Walter Strevens Drive",29,22,1,1,53,1
,"Takanini Church of Christ Hall, 160 Great South Road",43,33,0,3,79,5
,"Takanini School, 39 Takanini School Road",85,94,3,2,184,4
"Whitford","Whitford Hall, 35 Whitford- Maraetai Road",0,11,2,0,13,1
,Coromandel
"Coromandel","Coromandel Area School, Woollams Avenue",40,38,0,3,81,2
"Hikutaia","Hikutaia School, Main Road",5,5,0,0,10,0
"Kaihere","Kaihere School, State Highway 27",2,4,0,1,7,0
"Kennedy Bay","Te Kura Kaupapa Maori O Harataunga School, Kennedy Bay Road",28,13,0,1,42,1
"Kerepehi","Kerepehi School, McGowan Avenue",12,21,0,1,34,0
"Kopuarahi","Kopuarahi School, State Highway 25",2,4,0,2,8,0
"Manaia","Manaia School, Goldfields Road",30,22,0,3,55,1
"Netherton","Netherton School, 7 School Road",3,2,0,0,5,1
"Ngatea","Ngatea School, 52 Orchard Road",12,11,1,0,24,3
"Opoutere","Opoutere School, State Highway, Tawa Tawa",7,10,0,0,17,0
"Paeroa","Miller Ave School, Miller Ave",27,36,1,3,67,2
,"Paeroa Memorial Hall, Normanby Road",90,106,2,6,204,16
"Puriri","Puriri School, Puriri Valley Road",1,8,0,0,9,0
"Tairua","Tairua School, 110 Main Rd",4,18,0,0,22,0
"Tapu","Tapu School, State Highway 25",6,18,2,0,26,1
"Te Puru","Thames Coast Community Centre, 4 West Crescent",15,16,1,1,33,1
"Te Rerenga","Te Rerenga School, State Highway 25",2,6,0,1,9,0
"Thames","Moanataiari School, 101 Kuranui Street",6,13,0,0,19,1
,"Parawai School, Lowe Avenue",9,12,1,5,27,0
,"Thames Civic Centre, 200 Mary Street",28,47,2,5,82,3
,"Thames Cultural Centre, Tararu Road",4,8,1,0,13,0
,"Thames High School, Sealey Street",13,18,0,0,31,3
,"Thames South School, cnr Grey & Rolleston Streets",32,42,1,5,80,4
"Turua","Turua School, Hauraki Road",7,18,1,0,26,1
"Waihi","Waihi East School, Donnelly Street",10,10,2,1,23,0
,"Waihi Memorial Hall, Seddon Street",27,49,2,1,79,2
,"Waihi South School, Moresby Avenue",7,24,2,1,34,3
"Waihi Beach","Waihi Beach School, Hillview Road",12,18,2,0,32,0
"Waikino","Victoria Hall, SH2 Main Road",9,7,0,0,16,2
"Waitakaruru","Waitakaruru School, Canal West Road",11,8,1,1,21,1
"Whangamata","Whangamata Memorial Hall, 620 Port Road",24,52,2,1,79,3
"Whenuakite","Whenuakite School, State Highway 25",0,5,0,0,5,1
"Whitianga","Mercury Bay Area School, South Highway",11,14,1,0,26,1
,"Mercury Bay Bowling Club, 92 Cook Drive",5,9,0,0,14,1
,"Whitianga Presbytarian Church, Owen Street",14,16,0,3,33,1
,Hamilton East
"Chartwell","Hukanui School, Pickering Crescent",25,43,2,9,79,2
,"St Albans Church Hall, Comries Road",36,66,1,5,108,0
"Claudelands","Miropiko Kindergarten, 309 River Road",10,13,0,2,25,0
,"Peachgrove Intermediate School, Peachgrove Road",29,48,2,4,83,1
,"St Aidans Parish Hall, 24 Thames Street",37,37,0,2,76,1
"Enderley","Insoll Avenue School, Insoll Avenue",75,117,2,10,204,5
,"Southwell School, 200 Peachgrove Road",10,13,1,1,25,0
,"Te Kura Kaupapa Maori O Te Ara Rima School, Fifth Avenue",147,123,1,4,275,8
"Fairfield","Fairfield Baptist Church, Searancke Place",31,39,0,2,72,2
,"Fairfield College, Bankwood Road",23,32,0,1,56,1
,"Fairfield Intermediate School, Clarkin Road",55,66,1,10,132,8
,"Wesley Methodist Hall, 955 Heaphy Terrace",47,53,1,6,107,4
,"Woodstock Primary School, Fairfield Road",21,23,0,2,46,2
"Flagstaff","Allandale Village Club, River Road North",16,22,5,1,44,2
"Gordonton","Gordonton School, 50 Woodlands Rd RD1",13,27,1,0,41,0
"Hamilton East","Air Training Corps Hall, Dey Street",25,19,0,2,46,1
,"Apostolic Church, 69 Grey St",20,19,1,0,40,3
,"Hamilton East Primary School, Dawson Street",12,23,0,2,37,2
,"Knox Presbyterian Hall, 50 Albert Street",31,34,0,1,66,4
,"Marian Catholic School, 119 Firth Steet",42,36,2,3,83,2
"Hillcrest","Hillcrest Normal School, Cambridge Road",17,26,1,0,44,1
,"Knighton Normal School, Knighton Road",125,69,3,0,197,2
"Horsham Downs","Horsham Downs School, 569 Horsham Downs Road RD1 ",3,12,1,2,18,0
"Matangi","Matangi School, 599 Matangi Rd",14,21,2,0,37,3
"Queenwood","Chartwell Kindergarten, 13 Herbert Road ",7,8,0,0,15,0
"Rototuna","Chapel Hill Community Church, 2 Cate Road",16,18,2,1,37,1
,"Primary School, 23 Strathmore Drive",15,20,1,2,38,1
"Silverdale","Hillcrest High School, Masters Avenue",52,58,2,2,114,3
"Tamahere","Tamahere School, Devine Rd",3,7,4,3,17,1
"Tauwhare","Tauwhare School, 20 Scotmans Valley Rd RD4",13,17,3,0,33,3
,Hamilton West
"Deanwell","Deanwell School, Deanwell Avenue",61,88,2,11,162,2
"Dinsdale","Aberdeen School, Aberdeen Drive",40,71,4,5,120,3
,"Dinsdale Kindergarten, 84 Bremworth Avenue",29,15,0,6,50,1
"Forest Lake","Forest Lake School, Storey Avenue",51,50,4,1,106,7
"Frankton","Frankton School Hall, Massey Street",116,121,1,4,242,9
,"Rhode Street School, Rhode Street",88,93,2,5,188,0
,"St Columba's School, Kahikatea Classroom, Rifle Range Road",29,47,1,5,82,1
,"Westside Presbyterian Church Hall, 11 King Street",45,38,3,0,86,3
"Glenview","Glenview Primary School, Bruce Avenue",30,36,4,1,71,1
"Hamilton","Hamilton's Fraser High School, 72 Ellicott Road",14,16,0,1,31,0
,"Waikato Hospital, Pembroke St",33,35,0,2,70,2
"Hamilton West","Hamilton West School, Fow Street",34,36,1,2,73,5
"Koromatua","Koromatua School, 355 Koromatua Road",8,3,0,0,11,0
"Maeroa","Maeroa Intermediate, Churchill Avenue",48,46,3,2,99,2
"Melville","Melville Intermediate, Mountview Road",49,55,2,4,110,1
,"Melville Methodist Church Hall, cnr Bader St & Normandy Ave",68,76,3,2,149,5
,"Melville Primary School, 101 Ohaupo Road",55,53,1,4,113,5
"Nawton","Crawshaw School, Crawshaw Drive",63,87,1,1,152,3
,"Nawton School, Livingstone Avenue",91,119,1,2,213,4
,"St Marks Hall, cnr Dominion Rd & Breckons Avenue",79,78,0,8,165,8
"Pukete","Pukete School, 100 Pukete Road",34,38,1,8,81,0
,"Te Rapa Primary School, 63 Ashurst Avenue",22,22,2,0,46,0
"Rotokauri","Rotokauri School, 462 Rotokauri Road",1,5,1,2,9,0
"St Andrews","All Saints Hall, cnr Cecil St & Sandwich Rd",29,34,3,3,69,2
,"St Andrews Middle School, Heath Street",49,59,1,2,111,5
,"Vardon School, 36 Cunningham Road",24,26,1,2,53,5
"Te Kowhai","Te Kowhai School, Horotiu Road",9,12,2,5,28,1
"Temple View","Church College of New Zealand",126,70,6,15,217,4
"Whatawhata","Whatawhata School, School Road",33,33,0,4,70,0
"Whitiora","Whitiora School, Willoughby Street",45,61,4,4,114,4
,Piako
"Cambridge","Cambridge East School, Williams Street",15,20,1,1,37,3
,"Cambridge Middle School, Clare Street",6,11,0,3,20,0
,"Cambridge Primary School, Wilson St",8,22,2,0,32,2
,"Leamington School, 249 Lamb Street",26,52,2,2,82,1
,"Raleigh St Christian Centre, 24 Raleigh Street",16,25,0,1,42,0
"Fencourt","Goodwood School, 517 Fencourt Road",5,5,0,0,10,0
"Glen Massey","Glen Massey School, 897 Waingaro Road",4,16,1,1,22,1
"Hautapu","Hautapu School, Forrest/Hautapu Roads",1,7,1,1,10,0
"Hinuera","Hinuera School, Hinuera Road, RD 2",20,16,1,0,37,4
"Horotiu","Horotiu School, Hinton Rd, RD8 ",29,24,1,4,58,1
"Huntly","Civic Centre (Riverside Room) 148 Main St",29,74,3,1,107,5
,"Kimihia School, Tamihana Avenue",10,25,1,3,39,1
,"Red Cross Hall, Hakanoa Street",17,67,1,3,88,3
,"St Anthonys Catholic School, 102 Bailey Street",7,47,0,1,55,2
,"West Kindergarten, 26 Smith Avenue",32,106,0,2,140,2
,"West Primary School, Paki Street",87,268,1,3,359,4
"Kaipaki","Kaipaki School, Kaipaki Road",4,3,1,1,9,0
"Manawaru","Manawaru School, Manawaru Rd RD1",0,6,0,0,6,0
"Matamata","Matamata College, Firth Street",13,17,2,2,34,1
,"Matamata Primary School, Broadway",16,29,3,0,48,5
,"Memorial Centre, Tainui Street",19,43,1,2,65,1
"Maungatautari","Maungatautari School, 1121 Maungatautari Rd",10,20,0,0,30,2
"Morrinsville","David Street School, 45 David Street",20,31,1,0,52,2
,"Kai-a-te-mata Marae, Kereone Rd, RD 1",35,53,1,2,91,2
,"Methodist Church Hall, Thames St",14,31,3,0,48,1
,"Morrinsville College, Alexandra Ave",8,16,2,0,26,0
"Ngaruawahia","Ngaruawahia Primary School, Galileo Street",72,161,5,8,246,2
,"Turangawaewae Marae, River Road",72,238,0,3,313,7
,"Waipa School, Kia Toa Road",59,128,2,12,201,1
"Ohaupo","Memorial Hall, Great South Rd",9,14,0,1,24,1
"Okauia","Okauia Hall, Okauia Springs Rd",11,6,0,0,17,0
"Pukemiro","Pukemiro School, John Avenue",6,7,0,0,13,0
"Rukuhia","Rukuhia School, Rukuhia Road, RD 2",2,6,1,1,10,0
"Tahuna","Tahuna School, Tahuna Rd ",8,13,0,0,21,0
"Tauhei","Tauhei School, Whitikahu Rd",1,4,1,0,6,0
"Taupiri","Taupiri School, Green Lane Road",15,38,4,3,60,0
"Te Aroha","Contract Bridge Rooms, 105 Whitaker Street",3,15,0,1,19,1
,"Stanley Avenue School, Stanley Ave",3,17,1,0,21,1
,"Te Aroha Primary School, Jubilee Ave",17,42,1,3,63,7
"Te Poi","Te Poi School, 3 Stopford Road, Te Poi",8,10,0,0,18,1
"Waharoa","Raungaiti Marae, SH 27",10,20,0,1,31,0
,"Waharoa School, Ward St",37,50,2,0,89,6
"Waihou","Waihou Community Hall, Waihou Rd",0,5,0,2,7,0
"Waitoa","Waitoa School, Main Road",3,4,0,0,7,2
"Walton","Walton School, Main Rd",6,2,0,0,8,0
"Wardville","Wairere School, Wardville Rd",3,1,1,0,5,1
"Whitikahu","Whitikahu School, Whitikahu Rd",4,5,0,0,9,0
,Port Waikato
"Aka Aka","Aka Aka School, 809 Aka Aka-Otaua Main Rd",2,3,1,0,6,0
"Awhitu","District School, Matakawa-Awhitu Rd",13,8,0,0,21,0
"Bombay","Bombay School, 35 Paparata Rd",18,8,1,0,27,1
"Buckland","Buckland School, George Crescent",3,9,1,2,15,2
"Clarks Beach","Church By The Seashore, 14 - 16 Torkar Rd",9,5,0,1,15,1
"Drury","Drury School, Youngs Crescent",23,36,3,3,65,5
"Glenbrook","Glenbrook Primary School, 459 Main Rd",9,16,2,0,27,0
"Harrisville","Harrisville School, 202 Harrisville Rd",5,7,0,1,13,1
"Hunua","Hunua School, 39 Lockwood Rd",7,2,2,0,11,0
"Kaiaua","Kaiaua School, 1061 East Coast Rd",18,17,4,1,40,2
"Karaka","Te Hihi School, 767 Linwood Rd",10,16,0,3,29,0
"Mangatangi","Mangatangi School, 2047 Mangatangi Rd",4,12,0,0,16,0
"Mangatawhiri","Mangatawhiri School, 15 McKenzie Rd",4,6,0,0,10,1
"Maramarua","Maramarua School, 2200 SH 2",5,18,0,7,30,3
"Mauku","Mauku School, 389 Union Rd",4,3,0,0,7,2
"Mercer","Mercer School, 15 Glass Rd",2,5,0,0,7,0
"Meremere","Meremere School, Meremere Lane",10,25,1,0,36,0
"Ohinewai","Ohinewai School, SH 1, ",4,8,0,0,12,0
"Onewhero","Onewhero Area School, Hall Rd, ",5,10,0,0,15,2
"Otaua","Otaua School, 53 Maioro Rd",1,4,0,1,6,0
"Paerata","Paerata School, Tuhimata Rd",10,10,0,0,20,1
"Patumahoe","Patumahoe School, 38 Patumahoe Rd",7,9,4,0,20,2
"Pokeno","Pokeno School, 54 Pokeno Rd",13,21,0,1,35,2
"Port Waikato","Yacht and Motor Boat Clubrooms, Main Rd",19,15,0,0,34,0
"Pukekawa","Pukekawa School, 803 Main Rd",3,6,0,5,14,1
"Pukekohe","Pukekohe Hill School, cnr Ward St & Green Lane",10,21,1,0,32,1
,"Pukekohe Intermediate School, Queen St",40,45,4,8,97,4
,"Pukekohe North School, Princes St",162,186,1,4,353,24
,"Pukekohe Valley School, East St",14,17,2,2,35,0
,"St Patrick's Church Hall, 133 Seddon St",15,20,0,0,35,1
"Puni","Puni School, 357 Waiuku Rd",5,8,1,1,15,0
"Raglan","Town Hall, 41 Bow St",145,61,1,2,209,6
"Ramarama","Ramarama School, 126 Ararimu Rd",14,3,0,0,17,0
"Rangiriri","Rangiriri School, 39 Rangiriri Rd",13,14,0,1,28,1
"Te Akau","Te Akau School, 953 Te Akau Rd",2,12,0,0,14,1
"Te Kauwhata","Te Kauwhata College, Waerenga Rd",22,35,4,2,63,2
"Te Kohanga","Te Kohanga School, 976 Tuakau - Port Waikato Main Rd",22,20,0,1,43,3
"Te Uku","Te Uku School, 3436 SH 23",12,11,0,0,23,1
"Tuakau","Tuakau Primary School, School Rd",36,72,1,2,111,7
,"Union Parish Hall, St Stephen's Ave",42,72,1,2,117,7
"Waiau Pa","Waiau Pa School, 571 Waiau Pa Rd",7,11,2,0,20,0
"Waikaretu","Waikaretu School, 1448 Waikaretu Valley Rd",8,4,0,0,12,1
"Waingaro","Waingaro School, 5844 Waingaro Rd",1,3,0,1,5,1
"Waipipi","Waipipi School, 100 Creamery Rd",3,3,0,0,6,0
"Waiterimu","Waiterimu School, 166 Waiu Rd",9,2,0,3,14,0
"Waiuku","Sandspit School, Sandspit Rd",68,43,4,2,117,1
,"Waiuku College, Constable Rd",28,10,2,3,43,8
,"Waiuku Primary School, cnr George & France Sts",34,40,5,2,81,5
,Taranaki-King Country
"Aria","Aria School, Barclay Rd, Aria",5,6,1,0,12,1
"Arohena","Arohena School, 40 Pukewhau Rd",5,2,0,0,7,1
"Benneydale","Benneydale Community Hall, Maniaiti Street ",5,13,0,0,18,0
"Hangatiki","School (library), 591 Hangatiki East Rd",8,5,0,0,13,1
"Hauturu","Memorial Hall, cnr Harbour Rd & Hauturu Rd",9,3,1,0,13,0
"Kawhia","Kawhia Community Hall, 141 Jervois St",40,46,0,5,91,2
"Kihikihi","Town Hall",99,74,3,7,183,9
"Kinohaku","Kinohaku School (library), Harbour Rd",3,3,0,0,6,0
"Maihiihi","Maihiihi School, 775 Maihiihi Rd",3,4,0,0,7,0
"Marokopa","Marokopa Community Hall, The Esplanade",7,13,0,0,20,1
"Mokau","Mokau Primary School, Rangi St",7,5,0,0,12,0
"Ngutunui","Ngutunui School, Ngutunui Rd",7,5,0,0,12,0
"Oparau","Oparau Hall, 33 Rotoiti Rd",3,6,0,0,9,1
"Oparure","Oparure School, Oparure Rd",12,17,1,0,30,2
"Otewa","Otewa School, Otewa Rd",4,2,0,0,6,1
"Otorohanga","District Library Meeting Room Maniapoto St",61,95,1,2,159,6
,"Otorohanga College (Hall), Bledisloe Avenue",39,44,0,0,83,1
"Parawera","Parawera School, 18 Mellsop Rd",7,9,0,0,16,0
"Piopio","Piopio School, 14 Aria Rd",25,47,0,3,75,2
"Pirongia","Pirongia School, 100 Beechey St",14,13,0,1,28,2
"Pokuru","Pokuru School, Pokuru Rd",4,5,0,0,9,0
"Pukeatua","Pukeatua School, 2110 Arapuni Rd",8,11,1,0,20,0
"Taharoa","Taharoa School, Main Rd",18,32,0,0,50,1
"Te Anga","Te Anga Hall, Te Anga Rd",3,2,0,0,5,1
"Te Awamutu","Courthouse, Walton St",29,28,2,2,61,3
,"Intermediate School, Hazelmere Cres",36,29,1,6,72,2
,"Pekerau School, 742 Te Rahu Rd",33,52,0,7,92,3
,"Primary School, 401 Teasdale St",20,31,3,3,57,2
,"Te Awamutu College (hall), Alexandra St",53,46,3,4,106,6
"Te Kawa","Cross Roads Hall cnr SH3 & Te Kawa Rd",1,4,2,1,8,0
"Te Kuiti","Centennial Park School, Te Kuiti Rd",39,115,0,1,155,3
,"Te Kuiti Courthouse, Queen St",51,91,0,4,146,5
,"Te Kuiti High School, Hospital Rd",13,25,0,2,40,1
,"Te Kuiti Primary School, Rora St",36,78,0,2,116,4
"Te Mata","Te Mata School, 778 Te Mata Rd",6,7,0,1,14,0
"Te Pahu","Te Pahu School, 671 Te Pahu Rd",4,2,0,0,6,0
"Waitomo Caves","Waitomo School, Hotel Access Rd",12,19,0,0,31,2
"Wharepapa","South School, 14 Wharepapa Rd",3,3,0,0,6,1
,"Polling places where less than 6 votes were taken",54,98,9,5,166,10
,"Hospital Votes",16,46,1,0,63,1
,"Ordinary Votes BEFORE polling day",340,373,7,29,749,30
,"Special Votes BEFORE polling day",88,80,3,4,175,7
,"Special Votes On polling day",754,767,20,54,1595,75
,"Overseas Special Votes including defence force",22,32,2,5,61,1
,"Tainui Total",7609,9469,308,589,17975,637
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",18612
"Electorate Candidate Valid Votes","Party",,"MAHUTA, Nanaia Cybele - majority 1860"
"GREENSILL, Angeline Elizabeth Ngahina",Mâori Party,7609,.423310153
"MAHUTA, Nanaia Cybele",Labour Party,9469,.5267872045
"POPE, Andrew Lewis",Independent,308,.0171349096
"SOLOMON, Hayden Te Hira",Destiny New Zealand,589,.032767733
