Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauauru 66","Candidate Vote Details"
,,"MASON, Errol Turuki","TE WANO, James Marshall","TURIA, Tariana","Total Valid Candidate Votes","Informal Candidate Votes"
,Mana
"Ascot Park","Rangikura School, 95 Conclusion Street",37,2,48,87,0
,"Te Kura Maori o Porirua, 392 Warspite Avenue",40,6,91,137,3
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",75,6,108,189,7
,"Glenview School, 106 Bedford Street",10,3,22,35,0
,"Maraeroa School, 47 Driver Crescent",30,3,32,65,2
,"Russell School, 18 Fantame Street",26,3,36,65,0
"Elsdon","Porirua School, 1 Awarua Street",57,7,154,218,1
"Karehana Bay","St Paul's Presbyterian Church, Cluny Road",8,1,25,34,0
"Kenepuru","Mana Electorate HQ, 37 Kenepuru Drive",3,0,17,20,1
"Linden","Greenacres School, 60 Raroa Terrace",5,0,0,5,2
,"Linden School, Ranui Terrace",4,2,3,9,0
,"Linden Social Centre, Linden Avenue",10,0,15,25,0
,"Tui Park Kindergarten, Mexted Terrace",12,1,17,30,2
"Mana","St Barnabas' Church, Mana Esplanade",17,0,18,35,1
"Paekakariki","Paekakariki School, Wellington Road",11,1,36,48,0
,"St Peter's Hall, Beach Road",17,1,18,36,2
"Papakowhai","Papakowhai School, 17 Spey Place",13,0,7,20,1
,"The Royal New Zealand Police College, Papakowhai Road",10,1,8,19,3
"Paremata","Paremata School, 35 Paremata Crescent",11,1,11,23,2
"Pauatahanui","Pauatahanui School, 12 Paekakariki Hill Road",1,1,4,6,1
"Plimmerton","Plimmerton School, School Road",5,3,15,23,0
,"St Theresa's School, James Street",3,0,2,5,1
"Porirua","North City Shopping Centre, Titahi Bay Road",21,1,31,53,4
,"Whitireia Community Polytechnic, Wineera Drive",29,3,111,143,2
"Porirua East","Porirua East School, 8 Martin Street",76,7,100,183,2
,"Windley School, 146 Mungavin Avenue",48,6,62,116,6
"Pukerua Bay","Pukerua Bay School, 89 Rawhiti Road",4,1,23,28,0
"Raumati Beach","Raumati Beach School, Raumati Road",10,6,23,39,2
,"Real Life Hall, Kowhai Street",6,1,7,14,0
"Raumati South","Raumati South Returned Services War Memorial Hall, Tennis Court Road",12,3,6,21,0
,"Raumati South School, Matai Road",3,2,14,19,2
"Titahi Bay","Garage, 99 Gloaming Hill",15,0,37,52,1
,"Ngati Toa School, Piko Street",40,1,47,88,2
,"Niblick Hall, Niblick Lane",53,1,50,104,3
,"Titahi Bay Intermediate School, Kahutea Terrace",42,2,95,139,6
,"Titahi Bay North School, 47 Jillett Street",37,3,42,82,3
,"Titahi Bay School, 11 Kura Street",33,1,44,78,0
"Waitangirua","Corinna School, 36 Kalingo Street",27,3,31,61,0
,"Natone Park School, 6 Kokiri Crescent",41,6,61,108,1
"Whitby","Postgate School, 6 Staithes Drive North",18,2,20,40,1
,"St James' Church, Spinnaker Drive",4,0,6,10,0
,"The Anchor, 1 Joseph Banks Drive",5,0,9,14,2
,"The Bradey Room, Civic Centre, Discovery Drive",7,0,3,10,0
,New Plymouth
"Bell Block","Bell Block Primary School, SH 3",28,5,39,72,3
,"Puketapu School, 2 Dillon Drive",25,1,24,50,1
"Glen Avon","Public Hall, Alberta Road",6,1,5,12,0
"Mangorei","Mangorei School Hall, Mangorei Rd",5,2,2,9,0
"New Plymouth","Boys' High School, Pridham Hall, Eliot Street",4,1,17,22,1
,"Central School Hall, Lemon Street",11,0,13,24,5
,"Fitzroy School Hall, Sackville Street",16,4,30,50,3
,"Girls' High School Cafeteria, Mangorei Road",9,2,8,19,1
,"Highlands Intermediate School Hall, Coronation Ave",5,1,11,17,1
,"Holy Trinity Church Hall, 8 Henui Street",6,0,10,16,0
,"Marfell School Hall, Endeavour Street",25,2,64,91,6
,"Merrilands School Hall, Kauri Street",16,3,12,31,2
,"Moturoa School, Pioneer Road",13,0,23,36,0
,"Onuku Taipari Hall, Ngamotu Road",24,1,25,50,4
,"RNZAF Training Corps Hall, Carrington Street",1,2,4,7,3
,"Spotswood College Library, South Road",20,2,31,53,2
,"Spotswood Primary School Hall, South Road",10,3,9,22,3
,"St Chad's Church Hall, 12 Omata Road",8,3,11,22,1
,"St James Presbyterian Hall, Lawry Street",17,1,27,45,5
,"St John Ambulance Rooms, 318 St Aubyn Street",4,3,12,19,1
,"St Joseph’s Community Centre, Devon Street West",8,1,19,28,1
,"St Pius X School, 120 Brooklands Road",6,2,6,14,1
,"Taranaki Base Hospital, Recreation Hall (off David Street)",14,1,12,27,2
,"Taranaki Disability Resource Centre, 28 Young Street",5,0,5,10,0
,"Vogeltown School Hall, Huatoki Street",27,1,16,44,1
,"Welbourn School Hall, Coronation Avenue",6,0,6,12,1
,"West End School, Davies Lane",6,1,11,18,1
,"Westown School Hall, Sanders Avenue",30,9,58,97,3
,"Woodleigh School Hall, Brois Street",4,2,11,17,0
"Oakura","Oakura School, 16 Donnelly Street",4,1,13,18,1
"Okato","Coastal Taranaki School, Old South Rd SH45",12,0,13,25,0
"Omata","Omata School Hall, Holloway Road",5,0,2,7,1
"Waitara","Owae Marae, North Street",57,10,118,185,4
,"Waitara Central School Hall, Cracroft St",45,9,74,128,7
,"Waitara High School Hall, Princess Street",45,3,48,96,2
,"Waitara West Kindergarten, 16 Wood Street",42,8,62,112,6
,Ohariu-Belmont
"Grenada North","Grenada North Club Rooms, Nassau Avenue",12,1,14,27,1
"Tawa","Hampton Hill School, Rimu Street",5,0,4,9,0
,"Hampton Hill School, Victory Crescent",9,0,16,25,0
,"New Life Church Hall, 236 Main Road",11,2,18,31,1
,"Redwood School, Redwood Avenue",5,0,7,12,0
,"Tawa School, Oxford Street",11,3,23,37,1
,Otaki
"Foxton","Coley Street School, Coley Street",24,1,40,65,2
,"Foxton Primary School, Park Street",42,2,84,128,3
"Foxton Beach","Dawick Street Hall, Dawick Street",9,0,12,21,1
"Ihakara","Ihakara Public Hall, cnr Tavistock Road and SH 57",2,2,7,11,1
"Levin","Fairfield School, 89 MacArthur Street",8,1,24,33,2
