Electorate Candidate and Party Votes Recorded at Each Polling Place
"Auckland Central 1","Candidate Vote Details"
,,"BEVIN, Kerry","DIVIS, Sarita","FORDE, Thomas Martin","GALEY-YOUNG, Aaron Micheal","GREENFIELD, Stephen Thomas","KAYE, Nicola Laura","O'CONNELL, Kevin Patrick","RAVLICH, Anthony George","ROBSON, Justin Matthew","ROCHE, Denise Maree","TIZARD, Judith Ngaire","UREN, Scott","WOODS, Oliver Isaac","Total Valid Candidate Votes","Informal Candidate Votes"
"Auckland City","Auckland High Court, Waterloo Quadrant (corner Parliament Street)",5,1,18,14,4,908,22,5,14,209,702,43,22,1967,19
,"Liston House, 30-32 Hobson Street",1,0,1,4,5,564,10,1,6,79,326,34,1,1032,8
,"Methodist Church Hall, 78 Pitt Street",1,4,2,7,1,352,14,5,8,103,509,25,9,1040,11
,"Open Polytechnic NZ, 120 Mayoral Drive",1,1,2,6,1,299,9,2,3,43,302,16,8,693,8
"Freemans Bay","Freemans Bay School, 95 Wellington Street",0,1,2,3,1,638,15,4,11,183,576,23,6,1463,17
"Grafton","Auckland City Hospital, Park Road",0,1,1,2,0,57,1,0,0,10,47,1,2,122,3
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",0,0,0,3,0,130,3,0,2,27,101,6,1,273,1
"Great Barrier Island","G.B.I. Community Health Centre, 80 Hector Sanderson Road, Claris",0,2,0,2,2,61,3,0,2,17,59,1,0,149,3
,"Okiwi School, Aotea Road",0,0,0,0,0,11,0,0,0,7,6,1,0,25,1
,"Port Fitzroy Aotea Centre (Nurses Cottage)",0,0,0,0,0,16,1,0,0,3,12,0,0,32,0
,"Tryphena Mulberry Grove School, Shoal Bay Road",0,1,0,1,0,53,5,1,2,21,67,2,2,155,1
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",1,0,2,3,1,479,14,1,6,268,623,23,2,1423,8
,"Grey Lynn Library Hall, 474 Great North Road",1,1,3,3,1,287,13,3,19,172,673,10,6,1192,7
,"Grey Lynn Primary School, 44 Surrey Crescent",0,0,1,2,1,223,10,1,4,91,347,10,0,690,8
,"Mata'aga Hall, 18 Leighton Street",0,1,0,1,0,84,5,0,5,52,170,2,1,321,5
,"Richmond Road School, corner Richmond Road & Brown Street",1,0,3,3,2,422,7,3,8,163,476,9,1,1098,9
,"St Paul's College Library, 183 Richmond Road",0,1,0,2,0,140,0,1,5,68,193,4,1,415,1
"Herne Bay","Bayfield School, 2 Clifton Road (corner Jervois Road)",0,0,1,1,2,952,6,0,12,135,359,20,6,1494,9
,"Marist School, 82 Kelmarna Avenue",1,0,3,2,0,149,3,0,1,27,116,3,2,307,5
,"St Stephen's Presbyterian Church, 65 Jervois Road",0,0,0,3,0,454,3,0,4,80,205,16,0,765,1
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",0,0,2,2,5,106,9,2,1,70,188,10,1,396,3
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",0,0,0,0,0,59,0,0,1,4,27,1,0,92,0
"Newton","Newton Central School, end of Waima Street (corner Monmouth Street)",1,0,0,2,0,84,1,0,4,50,172,4,4,322,4
,"Unitarian Church Hall, 1a Ponsonby Road",0,1,3,2,2,140,6,2,0,39,169,11,2,377,4
"Parnell","Parnell District School, 48 St Stephen's Avenue",0,0,1,2,0,190,3,0,0,22,59,12,0,289,1
"Ponsonby","All Saints Anglican Church Hall, 284 Ponsonby Road (corner Cowan Street)",1,0,3,1,3,629,9,0,7,143,460,19,9,1284,7
,"Leys Institute, 20 St Mary's Bay Road",0,0,2,0,1,357,4,0,8,66,225,14,1,678,1
,"Ponsonby Primary School, 44 Curran Street",0,1,0,1,2,301,6,1,4,34,126,13,2,491,1
,"Sacred Heart Parish Hall, 24 Vermont Street",0,0,1,0,3,143,5,4,9,46,135,6,0,352,2
,"St Mary's College, 11 New Street",0,0,2,0,1,220,1,0,2,32,90,5,1,354,2
"Waiheke Island","Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Road",1,0,0,4,3,277,10,0,3,165,308,8,0,779,4
,"Old Blackpool School Hall, Nikau Road",0,1,0,0,2,168,8,0,8,109,166,6,1,469,5
,"Onetangi Residents Assn. Hall, corner Waiheke Road & Third Avenue",1,1,0,0,1,207,7,1,10,133,205,5,1,572,4
,"Ostend War Memorial Hall, corner Belgium Street & Ostend Road",0,2,1,1,3,307,16,1,12,249,367,7,0,966,6
,"Palm Beach Hall, 64 Palm Road",0,0,1,1,0,118,2,0,6,60,117,3,0,308,2
,"Rocky Bay, Omiha Memorial Hall, 2 Glenbrooke Road",0,0,0,0,0,82,0,0,2,48,104,7,0,243,3
,"Te Huruhi School, 7 Donald Bruce Road, Surfdale",2,0,0,2,0,126,2,0,3,70,120,0,0,325,4
"Westmere","Hawke Sea Scouts Hall, 55 West End Road",0,0,0,0,5,188,3,2,7,56,150,8,0,419,3
,"Westmere School, corner Larchwood Avenue & Garnet Street",1,3,2,5,1,599,16,2,11,155,588,20,4,1407,12
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,0,2,5,0,45,1,3,4,7,58,3,1,129,7
,"Ordinary Votes BEFORE polling day",2,3,8,7,5,1412,13,4,21,379,1130,51,5,3040,22
,"Special Votes BEFORE polling day",0,4,1,3,1,247,8,0,3,70,219,18,3,577,8
,"Special Votes On polling day",9,6,14,28,8,1786,69,16,32,640,1580,85,25,4298,44
,"Overseas Special Votes including defence force",2,3,2,0,1,607,6,2,4,187,548,16,2,1380,16
,"Auckland Central Total",32,39,84,128,68,14677,349,67,274,4592,13180,581,132,34203,290
,,,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34493
"Electorate Candidate Valid Votes","Party",,"KAYE, Nicola Laura - majority 1497"
"BEVIN, Kerry",The Republic of New Zealand Party,32,.0009355904
"DIVIS, Sarita",Alliance,39,.0011402509
"FORDE, Thomas Martin",Independent,84,.0024559249
"GALEY-YOUNG, Aaron Micheal",United Future,128,.0037423618
"GREENFIELD, Stephen Thomas",Independent,68,.0019881297
"KAYE, Nicola Laura",National Party,14677,.4291144052
"O'CONNELL, Kevin Patrick",Aotearoa Legalise Cannabis Party,349,.0102037833
"RAVLICH, Anthony George",Human Rights Party,67,.0019588925
"ROBSON, Justin Matthew",Jim Anderton's Progressive,274,.0080109932
"ROCHE, Denise Maree",Green Party,4592,.1342572289
"TIZARD, Judith Ngaire",Labour Party,13180,.3853463147
"UREN, Scott",ACT New Zealand,581,.016986814
"WOODS, Oliver Isaac",RAM - Residents Action Movement,132,.0038593106
