Electorate Candidate and Party Votes Recorded at Each Polling Place
"East Coast 10","Candidate Vote Details"
,,"DELAHUNTY, Catherine","HORAN, Brendan Francis John","MACKEY, Moana Lynore","TOLLEY, Anne Merrilyn","TURNER, Judith Anne","Total Valid Candidate Votes","Informal Candidate Votes"
"Awakeri","Awakeri School, Room 2, 976 State Highway 30",26,42,109,422,30,629,6
"Cape Runaway","Te Kura Mana Maori o Whangaparaoa, State Highway 35",0,3,8,9,0,20,0
"Coastlands","Rangitaiki Independent School, 33 Meadow Vale",11,26,76,209,21,343,1
"Edgecumbe","Edgecumbe College, College Road",12,52,92,183,15,354,7
,"Edgecumbe District War Memorial Hall, corner Kauri & Main Street",24,61,119,261,33,498,0
"Gisborne","Awapuni School, 129 Awapuni Road",25,13,128,169,2,337,4
,"Central School, 7 Central Street",81,19,324,668,6,1098,5
,"Cobham School, Lytton Road",6,15,141,79,1,242,1
,"Elgin School, 2 Knox Street",28,17,287,214,3,549,2
,"Girls High School, 555 Gladstone Road",58,38,312,360,6,774,6
,"Gisborne  Hospital, 421 Ormond Road",19,10,113,242,3,387,3
,"Gisborne District Council, Fitzherbert Street",63,30,337,615,4,1049,7
,"Ilminster Intermediate, De Lautour Road",40,30,340,313,9,732,9
,"Kaiti School, 517 Wainui Road",30,26,334,146,7,543,5
,"Mangapapa Residents Hall, 350 Ormond Road",28,35,304,287,9,663,8
,"Mangapapa School, 5 Rua Street",50,35,322,465,16,888,7
,"Riverdale School, 324 Stout Street",19,18,223,404,13,677,2
,"Rutene Road Kindergarten, 128 Rutene Road",28,14,178,205,2,427,5
,"Te Hapara School, 31 Mill Road",23,28,322,459,9,841,5
,"Waikirikiri School, 7 Pickering Street",8,5,97,19,2,131,2
,"Wesley Methodist Parish and Community Centre, 453 Gladstone Road",11,9,127,114,2,263,2
,"YMCA Hall, 150 Roebuck Road",19,20,168,181,6,394,3
"Hicks Bay","Te Kura Kaupapa o Kawakawa mai Tawhiti, 22 Wharf Road",1,6,12,9,0,28,0
"Kutarere","Kutarere School, 461 State Highway 2",13,18,64,82,4,181,1
"Makaraka","Makaraka School, 137 Main Road South",13,21,116,337,3,490,3
"Makauri","Makauri School, 120 King Road",15,5,77,282,9,388,0
"Manawahe","Manawahe School, Room 2, 1913 State Highway 30",1,2,16,38,4,61,2
"Manutuke","Manutuke School, 59 Waingake Road",9,5,51,142,0,207,1
"Maraenui","Te Kura Mana Maori, State Highway 35",0,0,4,5,0,9,1
"Matata","Matata Public School, 43 Pollen Street",24,81,102,229,13,449,5
"Matawai","Matawai School, 29 Raumati Street",7,7,18,127,3,162,0
"Muriwai","Muriwai School, 1684 Wharerata Road",7,0,15,39,1,62,0
"Ohope","Ohope Beach School, 170 Pohutukawa Avenue",35,29,119,342,60,585,3
,"Ohope Community Hall, Bluett Road",29,62,197,522,46,856,4
"Omaio","Te Kura o Omaio, School Road",4,2,18,3,0,27,1
"Omarumutu","Omarumutu School, 141 Omarumutu Road",7,3,14,15,0,39,1
"Opotiki","Opotiki College Hall, St John Street",39,46,210,246,12,553,2
,"Opotiki Senior Citizens Hall, 1 King Street",54,93,267,449,18,881,7
"Ormond","Ormond School, 45 Whitmore Road",16,12,62,236,2,328,0
"Otakiri","Otakiri School, Staff Room, 571 Otakiri Road",1,45,55,208,15,324,4
"Patutahi","Patutahi School, 29 Atkins Street",12,7,61,188,4,272,0
"Raukokore","Raukokore School, State Highway 35",3,7,9,25,1,45,1
"Rere","Rere School, Wharekopae Road",1,1,15,64,0,81,2
"Ruatoki North","Tawera Bilingual School, 164 Ngahina Road",0,0,7,5,1,13,0
