Electorate Candidate and Party Votes Recorded at Each Polling Place
"East Coast Bays 11","Candidate Vote Details"
,,"ADAMS, Paul Gavin","BRADFORD, Susan","GOLDSMITH, Vivienne Jayne","HUTTON, Toby James","JONES, Dail Michael John","KRONFELD, Timothy Paul","McCULLY, Murray Stuart","McINNES, Ian William","ZAMORA, Elahrairah","Total Valid Candidate Votes","Informal Candidate Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",29,21,49,0,3,17,198,1,0,318,2
,"Albany School, 6 Bass Road",13,5,17,0,3,6,66,1,0,111,0
,"Massey University, Building 84, Gate 4, Turitea Drive, Old Albany Highway",2,9,19,0,1,1,44,0,0,76,0
,"Oteha Valley School, corner Oteha Valley Road and Medallion Drive",192,92,297,10,39,67,1053,17,1,1768,7
,"Pinehurst School, 75 Bush Road",57,19,93,9,10,24,470,3,0,685,6
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",164,85,219,21,32,62,821,10,1,1415,7
,"Browns Bay School, Masterton Road",173,81,183,30,22,70,892,5,5,1461,13
,"Browns Bay Senior Citizens Hall, 9 Inverness Road",162,126,328,14,58,64,880,10,1,1643,11
,"Northcross Intermediate School, 10 Sartors Avenue",173,84,240,14,31,61,977,11,4,1595,14
,"Pinehill School, corner Hugh Green Drive & Spencer Road",226,78,236,20,36,54,1113,3,2,1768,14
,"Salvation Army East Coast Bays Hall, 5 Bayview Road",121,72,129,4,24,47,646,10,1,1054,4
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Road",3,4,8,1,0,1,32,1,1,51,0
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",7,3,6,1,2,0,29,0,1,49,1
"Glenfield","Glenfield Community Centre, 411 Glenfield Road (corner Bentley Avenue)",24,14,103,2,7,19,180,1,1,351,2
,"Glenfield Primary School, 101 Chivalry Road",52,40,240,4,26,23,365,2,0,752,7
,"Manuka Road Primary School, 34 Manuka Road",8,15,82,4,8,7,127,1,2,254,0
,"Meadowood Community House, 55 Meadowood Drive",124,86,318,6,25,48,779,8,2,1396,7
,"Target Road Primary School, 80 Target Road",129,97,533,10,47,56,885,11,4,1772,32
"Long Bay","Long Bay Baptist Church, 282 Glenvar Road",119,43,121,3,10,37,493,6,3,835,4
,"Long Bay College, Ashley Avenue",77,46,62,2,3,21,284,5,2,502,1
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",24,16,26,2,9,8,187,0,1,273,4
,"Mairangi Bay School, Galaxy Drive entrance",23,10,31,1,2,2,104,0,0,173,3
,"Rangitoto College, 564 East Coast Road",116,82,200,12,20,51,729,8,1,1219,6
"Milford","Carmel College, 114 Shakespeare Road",2,3,9,0,0,1,28,1,0,44,0
,"Milford School, 34 Shakespeare Road",8,4,5,0,1,1,33,0,0,52,0
,"North Shore Hospital, Shakespeare Road",3,7,20,2,0,3,41,0,0,76,0
"Murrays Bay","Kwang Lim Methodist Church, 539 Beach Road",88,69,135,20,20,30,650,6,0,1018,5
,"Murrays Bay Intermediate School, 37 Sunrise Avenue",88,42,82,6,7,22,368,4,2,621,7
"Northcote","Northcote Intermediate, 145 Lake Road",0,1,9,0,0,0,20,0,0,30,0
"Redvale","East Coast Bays Bible Baptist Church, 1092 East Coast Road",49,30,46,6,7,16,226,4,1,385,1
"Sunnynook","Sunnynook School, 27 Lyford Crescent",4,4,19,0,2,3,36,0,0,68,1
,"Wairau Intermediate School, Becroft Drive",31,36,135,3,11,22,228,5,1,472,4
"Takapuna","Takapuna Methodist Church Hall, corner Lake Road & Tennyson Avenue",3,2,3,0,0,0,10,0,0,18,1
,"Takapuna School, 23 Auburn Street or Anzac Street entrance",8,8,20,1,2,1,37,0,1,78,1
"Torbay","Torbay School, Deep Creek Road",348,216,392,14,39,114,1441,23,5,2592,13
,"Torbay Senior Citizens Club, Torbay Shopping Centre, 37 Watea Road",244,201,377,15,59,62,1081,5,0,2044,14
"Unsworth","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",71,29,180,3,15,18,526,12,2,856,10
"Westlake","Westlake Boys High School, 30 Forrest Hill Road",3,6,6,0,0,6,31,1,1,54,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",14,9,115,2,29,10,279,2,0,460,6
,"Ordinary Votes BEFORE polling day",295,182,546,17,78,95,2064,14,5,3296,23
,"Special Votes BEFORE polling day",34,36,84,6,8,11,179,3,0,361,8
,"Special Votes On polling day",230,195,367,16,30,79,1127,13,1,2058,40
,"Overseas Special Votes including defence force",29,55,87,2,4,6,392,8,4,587,2
,"East Coast Bays Total",3570,2263,6177,283,730,1246,20151,215,56,34691,281
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34972
"Electorate Candidate Valid Votes","Party",,"McCULLY, Murray Stuart - majority 13974"
"ADAMS, Paul Gavin",Family Party,3570,.1029085354
"BRADFORD, Susan",Green Party,2263,.0652330576
"GOLDSMITH, Vivienne Jayne",Labour Party,6177,.1780577095
"HUTTON, Toby James",No Commercial Airport at Whenuapai Airbase Party,283,.0081577354
"JONES, Dail Michael John",New Zealand First Party,730,.0210429218
"KRONFELD, Timothy Paul",ACT New Zealand,1246,.0359170967
"McCULLY, Murray Stuart",National Party,20151,.5808711193
"McINNES, Ian William",United Future,215,.0061975729
"ZAMORA, Elahrairah",Libertarianz,56,.0016142515
