Electorate Candidate and Party Votes Recorded at Each Polling Place
"Epsom 12","Candidate Vote Details"
,,"BISHOP, Andrena Marie","COPELAND, Rafe Brindley","HADEN, Grace","HIDE, Rodney Philip","LOCKE, Keith James","SUTTON, Kate Anna","TUCK, Janet Claire","WORTH, Richard Westwood","Total Valid Candidate Votes","Informal Candidate Votes"
"Auckland City","Auckland High Court, Waterloo Quadrant (corner Parliament Street)",0,0,0,79,31,32,1,36,179,2
,"Open Polytechnic NZ, 120 Mayoral Drive",1,0,0,5,3,7,0,11,27,0
"Balmoral","Balmoral Scout Group, 1a Waitomo Avenue (in Pollard Park)",0,0,1,4,1,4,0,3,13,0
"Epsom","Auckland Grammar School, 85 Mountain Road",4,6,3,703,131,209,6,301,1363,4
,"Epsom Girls Grammar School, 14 Silver Road",4,7,4,769,103,257,10,364,1518,18
,"Epsom Methodist Church Hall, 12 Pah Road",1,2,1,383,36,132,1,131,687,5
,"Epsom Normal School, 41 The Drive",3,2,2,923,73,245,8,361,1617,16
,"Sacred Heart Parish Hall, 19 Banff Avenue",2,0,2,541,39,108,5,198,895,3
,"St Andrew's Anglican Church Hall, 100 St Andrew's Road",1,8,2,836,86,155,6,287,1381,3
,"St George's Church Hall, 19 Ranfurly Road",0,0,9,713,74,144,2,262,1204,12
"Grafton","Auckland City Hospital, Park Road",3,1,2,92,44,79,3,61,285,1
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",1,1,0,191,52,98,1,111,455,4
"Greenlane","Cornwall Park District School, Greenlane West & Wheturangi Roads",2,1,6,499,31,126,9,211,885,8
"Kingsland","Kowhai Intermediate School Hall, 26 Onslow Road",1,0,0,25,18,31,1,10,86,0
"Meadowbank","Meadowbank Primary School, 68 Waiatarua Road",0,0,0,100,7,17,1,27,152,0
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",0,0,0,14,1,4,0,6,25,0
"Mt Eden","Auckland Normal Intermediate, Poronui Street",4,2,1,377,71,98,3,139,695,5
,"Auckland Provincial Guide Centre, 132 Grange Road",1,1,7,269,54,121,2,96,551,5
,"Ficino School, 27 Esplanade Road",1,0,0,205,127,162,0,119,614,6
,"Maungawhau School, 43 Ellerton Road",0,2,0,207,28,67,3,60,367,6
,"Mt Eden Normal Primary School, Valley Road",3,3,7,686,209,315,4,270,1497,6
,"St Albans Church Hall, 443 Dominion Road",1,0,0,107,29,64,1,51,253,6
,"Valley Road International Church Hall, 393 Mt Eden Road",1,5,4,389,107,174,5,160,845,6
"One Tree Hill","St Oswald's Anglican Church Hall, 193 Campbell Road",0,0,0,22,1,6,0,13,42,3
"Parnell","Holy Trinity Cathedral Venue Centre, 446 Parnell Road",2,3,4,785,122,162,3,263,1344,5
,"Jubilee Hall, Parnell Community Centre, 545 Parnell Road",1,1,4,550,89,124,6,196,971,1
,"Parnell District School, 48 St Stephen's Avenue",0,4,0,1247,102,170,4,311,1838,12
"Remuera","Baptist Church Hall, 641 Remuera Road",1,1,4,277,18,42,1,123,467,4
,"Corran School, 514 Remuera Road",1,1,0,738,40,63,5,187,1035,0
,"Remuera Intermediate School, Ascot Avenue",1,3,7,440,36,89,4,164,744,6
,"Remuera Primary School, 25-33 Dromorne Road",0,0,3,679,48,85,3,233,1051,6
,"St Aidan's Parish Hall, 5 Ascot Avenue",0,0,0,598,36,67,2,198,901,6
,"St Joseph of Cluny Kindergarten, 74 Victoria Avenue",2,0,1,704,29,56,2,207,1001,0
,"St Marks Church Hall, 95 Remuera Road",1,5,1,939,65,108,4,275,1398,6
,"Victoria Avenue School, 250 Victoria Avenue",2,0,3,1232,56,83,7,295,1678,6
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",7,4,6,58,19,123,1,155,373,34
,"Ordinary Votes BEFORE polling day",3,2,9,2195,196,357,7,868,3637,14
,"Special Votes BEFORE polling day",2,2,3,306,54,109,5,183,664,9
,"Special Votes On polling day",10,10,14,1573,377,571,21,716,3292,21
,"Overseas Special Votes including defence force",1,2,4,642,144,248,16,558,1615,10
,"Epsom Total",68,79,114,21102,2787,5112,163,8220,37645,259
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37904
"Electorate Candidate Valid Votes","Party",,"HIDE, Rodney Philip - majority 12882"
"BISHOP, Andrena Marie",Human Rights Party,68,.0018063488
"COPELAND, Rafe Brindley",RAM - Residents Action Movement,79,.0020985523
"HADEN, Grace",Kiwi Party,114,.0030282906
"HIDE, Rodney Philip",ACT New Zealand,21102,.5605525302
"LOCKE, Keith James",Green Party,2787,.0740337362
"SUTTON, Kate Anna",Labour Party,5112,.1357949263
"TUCK, Janet Claire",United Future,163,.0043299243
"WORTH, Richard Westwood",National Party,8220,.2183556913
