Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hutt South 17","Candidate Vote Details"
,,"CHIN, Camilia Keem Kim","HORROCKS, Virginia Jacqueline Ormond","HOWISON, Philip John","MALLARD, Trevor Colin","MITCHELL, Lindsay Susan","QUINN, Bernard Paul","SMITH, Murray Vaughan","Total Valid Candidate Votes","Informal Candidate Votes"
"Alicetown","Hutt Central School, 6 Railway Avenue",6,93,3,407,23,348,23,903,6
"Avalon","Avalon School, 10 Gordon Street",2,7,0,78,3,35,5,130,11
,"Dyer Street School, Dyer Street",7,26,2,294,12,227,22,590,6
"Belmont","Belmont School, 709 Western Hutt Road",1,6,0,13,0,23,0,43,0
"Boulcott","Boulcott School, Boulcott Street",4,23,0,160,7,308,15,517,5
"Days Bay","Wellesley College, Main Road",3,91,0,189,16,307,8,614,6
"Eastbourne","Muritai School, 160 Muritai Road",9,193,4,517,66,666,24,1479,11
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",14,30,1,228,8,176,6,463,4
,"Epuni School Hall, 313 Waiwhetu Road",22,74,3,573,13,533,44,1262,13
"Gracefield","Gracefield School, Bell Road",7,25,0,192,5,149,9,387,5
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",13,61,5,325,14,557,19,994,12
,"Hutt Hospital, High Street",2,30,1,142,4,99,4,282,3
,"Hutt Intermediate School, Wilford Street",4,48,3,273,25,549,21,923,5
,"Hutt Valley High School, 84 Woburn Road",7,68,3,293,28,461,21,881,7
,"Knox Presbyterian Church Hall, 574 High Street",7,27,2,182,14,311,17,560,5
,"St Bernard's College, 183 Waterloo Road",5,48,1,274,10,308,13,659,8
,"Sts. Peter and Paul School, Myrtle Street",4,25,0,198,13,244,13,497,9
"Moera","Randwick School, Randwick Road",5,74,1,516,12,242,19,869,18
"Naenae","Maota Samoa Hall, 25 Treadwell Street",5,29,0,382,3,71,11,501,12
,"Naenae Kindergarten, 19 Seddon Street",7,49,0,421,8,160,21,666,14
,"Naenae School, Wheatley Street",8,27,1,357,6,141,11,551,8
,"Rata Street School, Rata Street",17,53,3,619,16,255,25,988,14
"Petone","Air Training Corps Drill Hall, 2a Udy Street",3,52,0,218,16,216,21,526,2
,"Petone Central School, 16 Britannia Street",9,152,4,615,18,353,29,1180,9
,"Wilford School, William Street",8,143,3,627,22,427,40,1270,19
"Point Howard","Tennis Club/Playcentre, 29 Ngaumatau Road",2,33,0,75,8,127,6,251,1
"Taita","Avalon Intermediate School, 1041 High Street",0,7,0,38,2,25,1,73,3
"Wainuiomata","Arakura School, 209 Wellington Road",13,49,1,625,20,213,24,945,8
,"Fernlea School, 25a Lees Grove",6,24,1,224,6,112,7,380,4
,"Holy Trinity Church, 40 Wainuiomata Road",20,34,3,426,13,213,25,734,11
,"Intermediate School, 66 Konini Street",16,65,1,789,16,344,25,1256,10
,"Pukeatua School, 19 Frederick Street",3,28,3,284,11,71,11,411,2
,"St Peter's Church, 29 Wise Street",11,48,2,399,2,153,19,634,9
,"Wainuiomata Primary School, Homedale Road",6,82,4,657,12,324,20,1105,13
,"Wainuiomata Union Church, 106 Main Road",16,46,5,425,7,239,14,752,9
"Waiwhetu","Our Lady of the Rosary School, Wainui Road",6,31,2,269,8,172,18,506,9
,"St Paul's Parish Hall, 76 Waiwhetu Road",14,40,1,252,10,226,10,553,5
,"Waiwhetu Marae Meeting House, Puketapu Grove",6,50,4,217,4,87,12,380,5
"Waterloo","Waterloo School, Hardy Street",19,130,7,792,37,814,45,1844,11
"Wellington City","Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",0,12,0,35,1,18,4,70,3
,"Polling places where less than 6 votes were taken",0,0,0,2,0,2,1,5,0
,"Hospital Votes",9,3,0,166,7,72,5,262,24
,"Ordinary Votes BEFORE polling day",32,174,9,1363,65,1163,65,2871,35
,"Special Votes BEFORE polling day",2,32,0,240,6,138,9,427,6
,"Special Votes On polling day",19,228,7,1099,45,673,32,2103,28
,"Overseas Special Votes including defence force",1,65,3,220,13,252,18,572,6
,"Hutt South Total",380,2635,93,16690,655,12604,812,33869,414
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34283
"Electorate Candidate Valid Votes","Party",,"MALLARD, Trevor Colin - majority 4086"
"CHIN, Camilia Keem Kim",Kiwi Party,380,.0112196994
"HORROCKS, Virginia Jacqueline Ormond",Green Party,2635,.0777997579
"HOWISON, Philip John",Libertarianz,93,.0027458738
"MALLARD, Trevor Colin",Labour Party,16690,.4927810092
"MITCHELL, Lindsay Susan",ACT New Zealand,655,.0193392188
"QUINN, Bernard Paul",National Party,12604,.3721397148
"SMITH, Murray Vaughan",United Future,812,.0239747262
