Electorate Candidate and Party Votes Recorded at Each Polling Place
"Ilam 18","Candidate Vote Details"
,,"BROWNLEE, Gerard Anthony","DAVIDSON, Brian Matthew","GRAHAM, Kennedy Gollan Montrose","HUTCHINSON, Craig Alan","PICKERING, John William","WEUSTEN, David Brent","YAU, Seam Kheon (Sam)","Total Valid Candidate Votes","Informal Candidate Votes"
"Avonhead","Avonhead Kindergarten, 49 Staveley Street",364,10,81,14,5,22,198,694,8
,"Avonhead Primary School Hall, 55 Avonhead Road",608,21,138,34,16,27,275,1119,16
,"Merrin School Hall, 41 Merrin Street",770,25,123,23,12,10,295,1258,13
,"St Christopher's Anglican Church, Warren Hall, 244 Avonhead Road",388,14,54,12,11,21,161,661,4
,"St Mark's Presbyterian Church, Sports Hall, 150 Withells Road",217,3,31,10,4,7,79,351,2
"Bishopdale","Bishopdale School Hall, 465 Greers Road",178,8,21,12,1,3,146,369,8
,"Breens Intermediate School Hall, 85 Breens Road",569,24,106,28,14,11,342,1094,13
,"CCS Disability Action, corner Farrington Avenue & Kilburn Street",375,16,82,35,3,13,311,835,5
,"Cotswold School, 44 Cotswold Avenue",591,32,79,33,17,16,358,1126,16
,"Isleworth School Hall, 59a Farrington Avenue",334,14,62,33,10,12,275,740,9
,"Reformed Church of Bishopdale, Church Hall, 90 Highsted Road",156,3,28,5,4,6,110,312,2
"Bryndwr","Aorangi School Temporary Hall, 36 Colwyn Street",191,4,83,4,7,9,139,437,6
,"St Matthew's Church Main Hall, 108 Jeffreys Road",422,20,102,19,6,3,119,691,6
,"St Stephen's Presbyterian Church Hall, corner Ilam & Aorangi Roads",298,8,89,18,11,6,200,630,12
,"Wairakei School Hall, 250 Wairakei Road",551,31,180,28,23,1,359,1173,12
"Burnside","Burnside Elim Community Church, 193 Grahams Road",335,18,73,13,10,20,224,693,11
,"Burnside High School, J Block, 180 Memorial Avenue",320,15,77,13,8,4,148,585,4
,"Kendal School Hall, 53 Kendal Avenue",511,30,98,35,13,17,331,1035,15
,"Roydvale School Hall, 117 Roydvale Avenue",461,16,72,16,8,5,180,758,4
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",34,2,16,4,1,1,17,75,2
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",30,1,19,2,0,0,16,68,0
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",15,3,4,0,0,0,8,30,1
"Fendalton","Christchurch Boys' High School, Big Room, Straven Road at Te Kura Street",573,20,122,10,8,2,113,848,8
,"Fairleigh Kindergarten, 27a Garden Road",516,13,42,1,6,1,38,617,3
,"Fendalton Open Air School, Staff Room, 168 Clyde Road",864,23,149,24,12,4,194,1270,8
,"Medbury School Hall, corner Clyde & Creyke Roads",547,21,94,12,12,5,124,815,5
,"St Barnabas Church Hall, corner Fendalton Road & Tui Street",711,22,102,6,2,3,97,943,7
"Harewood","Harewood Playcentre, 719 Harewood Road",196,6,32,5,6,5,53,303,1
"Ilam","College of Education, Jack Mann Auditorium Foyer, Solway Avenue",373,8,91,30,11,9,160,682,12
,"Ilam School Hall, 66 Ilam Road",916,42,321,31,26,21,487,1844,21
,"Westburn School Hall, 257 Waimairi Road",917,22,162,24,22,9,347,1503,13
