Electorate Candidate and Party Votes Recorded at Each Polling Place
"Mt Roskill 27","Candidate Vote Details"
,,"AMIRAPU, Sukerna","BLUE, Jacqueline Diane","ER, Lisa Elizabeth","GOFF, Philip Bruce","LAWLESS, Daphne Antonia","REBELLO, Joseph","TAN, Shawn Wei-Xiang","WILSON, Neville Jerome","Total Valid Candidate Votes","Informal Candidate Votes"
"Avondale","Avondale Baptist Church, corner Blockhouse Bay & New North Roads",4,152,39,275,3,7,6,7,493,9
,"Avondale Primary School, Crayford Street West",1,13,3,30,0,0,2,1,50,1
,"Liberty Christian Church, 96 Lansford Crescent",2,26,3,34,0,0,1,2,68,0
"Balmoral","Balmoral School Hall, 19 Brixton Road",1,27,8,34,1,0,6,2,79,1
,"Balmoral Scout Group, 1a Waitomo Avenue (in Pollard Park)",2,216,28,206,2,3,24,0,481,2
"Blockhouse Bay","Bay Roskill Sports Club, 231 Whitney Street",1,77,9,79,2,2,3,0,173,0
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",0,86,8,95,1,2,7,2,201,0
,"Glenavon School, 340 Blockhouse Bay Road",6,176,23,479,0,7,11,5,707,13
,"Iona Presbyterian Church, 38 Donovan Street",0,45,2,61,0,0,5,0,113,1
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",0,15,3,9,0,0,0,0,27,1
,"Sacred Heart Parish Hall, 19 Banff Avenue",0,10,0,9,0,0,0,0,19,0
,"St Andrew's Anglican Church Hall, 100 St Andrew's Road",0,56,5,27,0,1,4,2,95,0
"Hillsborough","Hillsborough Baptist Church, 179 Hillsborough Road",3,413,25,302,4,11,16,8,782,5
,"St David's Church, 202 Hillsborough Road",7,464,34,389,0,7,7,4,912,4
,"St Margaret's Church, 102 Hillsborough Road",3,237,8,205,1,4,12,11,481,2
,"Waikowhai Primary School, 381 Hillsborough Road",5,355,19,348,0,9,11,3,750,7
"Lynfield","Halsey Drive School, 106 Halsey Drive",4,599,21,483,0,8,23,4,1142,6
,"Lynfield Tennis Club, 18 The Avenue",6,586,18,595,2,10,24,10,1251,15
"Mt Eden","Auckland Provincial Guide Centre, 132 Grange Road",0,23,8,34,0,0,2,0,67,0
,"Good Shepherd Parish Hall, 30 Telford Avenue",1,52,6,93,0,3,9,6,170,1
,"Maungawhau School, 43 Ellerton Road",2,657,120,609,4,7,52,6,1457,6
,"St Albans Church Hall, 443 Dominion Road",0,19,5,30,0,0,2,0,56,2
"Mt Roskill","Christ The King Parish, 288 Richardson Road",0,285,13,620,0,29,15,2,964,19
,"Hay Park School, 670 Richardson Road",6,448,22,950,10,11,38,7,1492,16
,"Lynfield College School, 191 White Swan Road (main entrance)",4,306,22,379,1,3,30,5,750,13
,"Marshall Laing Primary School, 39 Marshall Laing Avenue",7,437,14,672,1,18,18,9,1176,16
,"May Road School, 504 Richardson Road",6,589,35,1313,1,9,33,9,1995,24
,"Mt Roskill Intermediate School, 62 Denbigh Avenue",4,329,26,661,0,14,34,9,1077,11
,"St Giles Presbyterian Church, 1207 Dominion Road",4,499,25,697,2,17,24,4,1272,20
,"St John's Presbyterian Church, 422 Mt Albert Road",7,297,32,553,2,8,28,7,934,9
,"Sunnydene School, 48 Smallfield Avenue",3,103,11,329,1,2,9,2,460,5
,"Tri-Star Gymnasium Club Inc., 55 Arundel Street",3,173,9,221,0,1,8,0,415,4
,"Wesley Intermediate School, 798 Sandringham Road",4,151,40,1148,2,8,9,5,1367,21
"New Lynn","New Lynn Salvation Army Hall, 32 Delta Avenue",2,10,1,27,0,1,0,0,41,0
"New Windsor","New Windsor School, 185 New Windsor Road (use 64 Peter Buck Road entrance)",6,610,58,1026,4,25,43,8,1780,16
"Onehunga","Onehunga High School, 24 Pleasant Street",4,141,15,112,2,0,8,0,282,0
"Oranga","Te Papapa School, 219 Mt Smart Road",0,6,0,5,0,0,0,0,11,0
"Owairaka","Owairaka District School Hall, 113 Richardson Road",0,56,5,195,1,3,2,0,262,4
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (use Trafalgar Street entrance)",3,57,2,58,1,0,3,1,125,2
,"Royal Oak School, Chandler Avenue (use 663 Manukau Road entrance)",0,40,0,45,0,0,1,2,88,0
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",0,16,8,28,1,2,1,1,57,1
,"Edendale Primary School Hall, 419 Sandringham Road",1,23,6,62,0,0,1,0,93,1
,"Salvation Army Community Church Hall, Duncan Avenue",1,45,9,162,0,1,3,1,222,0
"Three Kings","Mt Roskill Primary School, 37 Frost Road",1,333,14,596,2,12,30,8,996,11
,"Three Kings School, 944 Mt Eden Road",2,410,31,512,3,5,14,9,986,7
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",2,109,5,179,0,4,2,3,304,6
,"Ordinary Votes BEFORE polling day",20,1084,72,1452,6,19,55,20,2728,15
,"Special Votes BEFORE polling day",2,163,19,296,1,7,9,1,498,5
,"Special Votes On polling day",15,979,168,1646,6,28,65,21,2928,58
,"Overseas Special Votes including defence force",0,194,29,245,0,2,8,4,482,2
,"Mt Roskill Total",155,12197,1086,18615,67,310,718,211,33359,362
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33721
"Electorate Candidate Valid Votes","Party",,"GOFF, Philip Bruce - majority 6418"
"AMIRAPU, Sukerna",Jim Anderton's Progressive,155,.0046464223
"BLUE, Jacqueline Diane",National Party,12197,.3656284661
"ER, Lisa Elizabeth",Green Party,1086,.0325549327
"GOFF, Philip Bruce",Labour Party,18615,.5580203244
"LAWLESS, Daphne Antonia",RAM - Residents Action Movement,67,.0020084535
"REBELLO, Joseph",Kiwi Party,310,.0092928445
"TAN, Shawn Wei-Xiang",ACT New Zealand,718,.021523427
"WILSON, Neville Jerome",United Future,211,.0063251297
