Electorate Candidate and Party Votes Recorded at Each Polling Place
"Nelson 29","Candidate Vote Details"
,,"DEAL, Kelvin Clifford","HUFFLETT, Paul Charles","MELLOR, Diana Margaret","SMITH, Nicolas Rex","STREET, Maryan","WESTLEY, Robin Keith","Total Valid Candidate Votes","Informal Candidate Votes"
"Appleby","Appleby School, Moutere Highway",1,2,5,94,23,1,126,1
"Atawhai","Clifton Terrace School Hall, 888 Atawhai Drive",4,7,83,660,379,8,1141,8
"Brightwater","Brightwater School, 106 Ellis Street",4,5,42,660,227,10,948,2
"Hira","Hira School, State Highway 6",2,4,38,140,110,4,298,2
"Hope","Hope School, Paton Road",4,5,24,522,96,5,656,4
"Nelson","Athletics Nelson Club Rooms, Pioneer Park, Hastings Street",2,9,81,385,280,11,768,5
,"Auckland Point School, 111 Haven Road",6,6,93,515,354,12,986,8
,"Court House, 200 Bridge Street",3,12,123,515,415,6,1074,11
,"Grove Street Kindergarten, 50a Grove Street",2,15,115,629,485,12,1258,11
,"Hampden Street School, 250 Hampden Street",9,10,101,561,374,11,1066,6
,"Masonic Hall, 109 Nile Street",9,12,158,587,550,12,1328,13
,"Nelson Intermediate School, 112 Tipahi Street",1,3,43,224,286,7,564,6
,"Salvation Army Hall, 57 Rutherford Street",3,6,87,231,216,6,549,2
,"Victory School Community Centre, Totara Street",4,8,137,526,711,8,1394,13
"Richmond","Garin College, 35 Champion Road",5,8,55,927,234,9,1238,4
,"Richmond Athletic Soccer Club Room, Gladstone Road",2,2,13,322,118,6,463,4
,"Richmond School Community Hall, Cambridge Street",5,11,69,817,404,11,1317,8
,"Tasman District Council Office, 189 Queen Street",6,16,76,1491,621,15,2225,11
,"Waimea Intermediate School, 48 Salisbury Road",1,6,42,688,291,11,1039,6
"Stoke","Birchwood School, Durham Street",4,7,33,451,224,4,723,5
,"Broadgreen Intermediate School, 193 Nayland Road",11,16,94,1233,719,12,2085,8
,"Stoke Memorial Hall, 548 Main Road",5,15,90,916,581,22,1629,8
,"Stoke School, 601 Main Road",3,10,74,1010,594,15,1706,11
"Tahunanui","Church of Christ Hall, 29 Parkers Road",3,11,40,430,284,6,774,4
,"Tahunanui School, 69 Muritai Street",8,14,107,740,492,11,1372,9
,"The Sands, Shop 6, 623 Rocks Road",0,10,42,249,106,3,410,4
"Wakapuaka","Wakapuaka Hall, State Highway 6",1,2,28,143,100,0,274,0
"Wakatu","Enner Glynn School, 10 The Ridgeway",5,6,76,742,340,15,1184,7
"Wakefield","Wakefield School, Edward Street",0,1,7,26,11,1,46,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Hospital Votes",2,3,31,432,313,7,788,29
,"Ordinary Votes BEFORE polling day",13,32,208,2120,1160,25,3558,8
,"Special Votes BEFORE polling day",3,3,53,232,127,3,421,4
,"Special Votes On polling day",7,22,268,1009,641,18,1965,16
,"Overseas Special Votes including defence force",0,7,69,244,134,5,459,3
,"Nelson Total",138,306,2605,20471,12000,312,35832,241
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36073
"Electorate Candidate Valid Votes","Party",,"SMITH, Nicolas Rex - majority 8471"
"DEAL, Kelvin Clifford",United Future,138,.0038513061
"HUFFLETT, Paul Charles",ACT New Zealand,306,.0085398526
"MELLOR, Diana Margaret",Green Party,2605,.0727003795
"SMITH, Nicolas Rex",National Party,20471,.5713049788
"STREET, Maryan",Labour Party,12000,.3348961822
"WESTLEY, Robin Keith",Kiwi Party,312,.0087073007
