Electorate Candidate and Party Votes Recorded at Each Polling Place
"Botany 3","Candidate Vote Details"
,,"CARTER, Judy Ann","CHEAM, Sokunthea","COOPER, Peter Ernest","KAN, Simon Shuimo","SUBRAMANIAN, Natarajan","TAWA, Koro Alaster Richard","WANG, Kenneth","WONG, Pansy","Total Valid Candidate Votes","Informal Candidate Votes"
"Botany Downs","Botany Downs Primary  School, 35 Mirrabooka Avenue",25,22,55,8,6,268,201,787,1372,3
,"Botany Downs Secondary College, 575 Chapel Road",29,22,99,20,17,476,601,1528,2792,43
,"Elim Christian Centre, 159 Botany Road",29,13,49,19,7,228,284,989,1618,14
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",19,24,56,10,5,320,382,989,1805,16
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",18,10,44,8,7,266,164,488,1005,10
"Chapel Downs","Chapel Downs Primary School, corner Chapel & Dawson Roads",8,5,21,8,4,352,50,212,660,13
"Clover Park","St Peter Chanel Hall, 44 Boundary Road",7,6,24,1,0,294,19,56,407,20
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",13,7,43,0,2,95,78,483,721,7
"Dannemora","Little Learners Childcare Centre, 491 Te Irirangi Drive",4,4,12,0,7,68,61,192,348,8
,"Point View Primary School, 25 Kilkenny Drive",25,17,68,4,11,256,383,1488,2252,11
,"Willowbank School, corner Middlefield & Gracechurch Drives",20,18,49,13,9,292,306,1163,1870,29
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",13,12,41,7,13,193,224,812,1315,9
,"Dawson Primary School, Haumia Way",10,8,26,10,2,708,26,69,859,29
,"St Pauls Anglican Church Hall, 141 Chapel Road",0,2,9,0,0,31,12,77,131,0
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",6,9,23,9,4,96,104,351,602,4
"Howick","Cockle Bay School, 24 Sandspit Road",21,16,78,7,1,169,184,863,1339,18
,"Howick Intermediate School, 1 Botany Road",6,4,42,6,5,115,78,353,609,11
,"Owairoa  Primary School, corner Wellington & Nelson Streets",3,3,15,0,3,48,25,129,226,7
,"Shelly Park School, 11-13 Sunnyview Avenue",8,7,38,5,0,88,102,411,659,6
"Manukau","Redoubt North School, 47 Diorella Drive",1,1,1,1,0,28,2,15,49,0
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",25,13,50,15,3,214,339,1085,1744,15
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",18,6,35,9,1,120,190,681,1060,12
"Otara","East Tamaki Primary School, 196 Preston Road",2,2,11,1,1,117,7,17,158,8
,"Flat Bush School, 20 Flat Bush Road",1,2,2,1,0,77,2,2,87,4
"Pakuranga","Eastgate Christian Centre, 5 Ben Lomond Crescent",4,3,4,0,0,39,35,127,212,2
,"Riverhills Primary School, 13 Waikaremoana Place",4,0,7,0,1,25,23,56,116,3
"Papatoetoe","Papatoetoe East Primary School, 138 Tui Road",0,0,0,0,0,4,3,3,10,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",14,6,46,4,0,92,92,454,708,2
"Whitford","Whitford Hall, 1 Whitford-Maraetai Road",0,0,0,0,0,7,7,27,41,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",6,3,7,3,3,50,5,125,202,6
,"Ordinary Votes BEFORE polling day",40,31,96,26,5,511,362,1698,2769,20
,"Special Votes BEFORE polling day",12,6,29,5,1,90,39,231,413,5
,"Special Votes On polling day",31,20,123,10,17,712,303,1146,2362,39
,"Overseas Special Votes including defence force",6,2,23,2,5,61,24,275,398,11
,"Botany Total",428,304,1226,212,140,6510,4717,17382,30919,386
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31305
"Electorate Candidate Valid Votes","Party",,"WONG, Pansy - majority 10872"
"CARTER, Judy Ann",United Future,428,.013842621
"CHEAM, Sokunthea",Jim Anderton's Progressive,304,.009832142
"COOPER, Peter Ernest",Green Party,1226,.0396519939
"KAN, Simon Shuimo",Kiwi Party,212,.0068566254
"SUBRAMANIAN, Natarajan",Independent,140,.0045279602
"TAWA, Koro Alaster Richard",Labour Party,6510,.2105501472
"WANG, Kenneth",ACT New Zealand,4717,.1525599146
"WONG, Pansy",National Party,17382,.5621785957
