Electorate Candidate and Party Votes Recorded at Each Polling Place
"New Lynn 30","Candidate Vote Details"
,,"CUNLIFFE, David Richard","DALGLEISH, Kerryanne Joy","DEWAR, Katherine Mary","GROSER, Timothy John","KAZEMI YAZDI, Seyed Mohammad","TASKER, Michael Robert","Total Valid Candidate Votes","Informal Candidate Votes"
"Avondale","Avondale Baptist Church, corner Blockhouse Bay & New North Roads",137,5,25,108,3,11,289,2
,"Avondale College (Music Room M1 Gate 2), 47 Victor Street",44,1,2,41,0,2,90,4
,"Avondale Community Centre, 99 Rosebank Road",320,1,21,126,1,10,479,13
,"Avondale Primary School, Crayford Street West",540,1,32,179,9,21,782,7
,"Liberty Christian Church, 96 Lansford Crescent",111,3,7,55,1,0,177,4
"Blockhouse Bay","Bay Roskill Sports Club, 231 Whitney Street",228,4,11,187,4,22,456,6
,"Blockhouse Bay Intermediate School, 95 Bolton Street",406,14,41,358,7,28,854,16
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",604,15,49,658,11,52,1389,16
,"Chaucer School, Chaucer Place",398,8,20,268,4,25,723,6
,"Glenavon School, 340 Blockhouse Bay Road",373,3,19,247,7,12,661,7
,"Iona Presbyterian Church, 38 Donovan Street",262,15,21,291,2,11,602,11
"Glen Eden","Glen Eden Primary School, 3 Glenview Road",80,1,15,44,1,7,148,1
,"Konini School, 44 Withers Road",370,11,74,381,8,28,872,13
"Green Bay","Green Bay Community Church Hall, 14 Vardon Road",492,13,70,563,7,36,1181,21
,"Green Bay School, 131 Godley Road",660,12,117,668,13,42,1512,13
"Huia","Huia Hall, 1253 Huia Road",124,2,39,123,2,9,299,2
"Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads",686,10,58,315,6,18,1093,10
,"Kelston Girls College, 1 Archibald Road",341,4,31,159,5,7,547,9
,"St Leonards Road School, 15 St Leonards Road",386,6,23,144,2,15,576,8
"Laingholm","Laingholm Primary School, Victory Road",400,9,110,365,12,38,934,5
"Lynfield","Lynfield Tennis Club, 18 The Avenue",19,0,4,9,0,0,32,0
"Mt Roskill","Christ The King Parish, 288 Richardson Road",16,0,0,9,0,3,28,2
,"Lynfield College School, 191 White Swan Road (main entrance)",62,0,8,66,4,3,143,2
,"Marshall Laing Primary School, 39 Marshall Laing Avenue",65,5,0,44,3,6,123,2
,"May Road School, 504 Richardson Road",7,0,1,10,0,1,19,1
"New Lynn","Arahoe School, 11 Arahoe Road",723,12,92,672,13,48,1560,24
,"Dayspring Trust Hall, 2 Seabrook Avenue",561,12,56,360,3,49,1041,10
,"Fruitvale School, 9 Croydon Road",810,13,76,488,19,36,1442,30
,"Miracle of Life Church Hall, 3165 Great North Road",206,4,18,129,1,10,368,5
,"New Lynn Salvation Army Hall, 32 Delta Avenue",980,15,66,451,16,40,1568,45
,"New Lynn Sea Scout Hall, 37 Margan Avenue",602,10,64,390,15,40,1121,19
,"St Austell's Unity Congregation, 35 Margan Avenue",327,10,20,188,2,14,561,9
"New Windsor","New Windsor School, 185 New Windsor Road (use 64 Peter Buck Road entrance)",60,1,5,34,0,6,106,2
"Oratia","Oratia District School, 1 Shaw Road",39,0,13,48,0,6,106,2
"Owairaka","Owairaka District School Hall, 113 Richardson Road",15,0,2,5,0,1,23,0
"Titirangi","Kaurilands School, 109 Atkinson Road",715,18,125,892,3,73,1826,13
,"MacAndrew Hall, 337 Titirangi Road",223,5,49,256,2,22,557,2
,"St Francis Anglican Parish, corner Park & Titirangi Beach Roads",258,2,77,207,2,10,556,4
,"Titirangi Primary School, Atkinson Road",366,3,83,442,4,25,923,7
,"Woodlands Park School, 202 Woodlands Park Road",416,6,125,376,1,39,963,7
"Titirangi South","Private Garage, 26 Grendon Road",189,1,57,212,5,9,473,3
"Waterview","Waterview Methodist Church Hall, corner Great North Road & Fir Street",26,2,7,22,0,2,59,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Hospital Votes",348,5,16,315,4,16,704,15
,"Ordinary Votes BEFORE polling day",1348,31,131,1127,15,61,2713,24
,"Special Votes BEFORE polling day",258,1,26,163,3,5,456,6
,"Special Votes On polling day",1522,29,264,953,23,80,2871,42
,"Overseas Special Votes including defence force",208,7,30,158,1,12,416,0
,"New Lynn Total",17331,330,2200,13306,244,1011,34422,451
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34873
"Electorate Candidate Valid Votes","Party",,"CUNLIFFE, David Richard - majority 4025"
"CUNLIFFE, David Richard",Labour Party,17331,.5034861426
"DALGLEISH, Kerryanne Joy",United Future,330,.0095868921
"DEWAR, Katherine Mary",Green Party,2200,.063912614
"GROSER, Timothy John",National Party,13306,.3865551101
"KAZEMI YAZDI, Seyed Mohammad",Jim Anderton's Progressive,244,.0070884899
"TASKER, Michael Robert",ACT New Zealand,1011,.0293707513
