Electorate Candidate and Party Votes Recorded at Each Polling Place
"North Shore 32","Candidate Vote Details"
,,"BOSCAWEN, John Spencer","CLEARY, Louise","COOPER, Stephen Thomas","GREGORY, Joseph Terrence","LIGHT, Damian Francis","MAPP, Wayne Daniel","MURPHY, Michael Myles","TWYFORD, Philip Stoner","WATSON, Pieter Rowley Burgess","Total Valid Candidate Votes","Informal Candidate Votes"
"Bayswater","Bayswater School, Bayswater Avenue",52,17,4,37,13,870,6,502,147,1648,11
"Belmont","Belmont Primary School, 3a Harrison Avenue",34,9,4,13,9,455,3,244,52,823,2
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",2,6,0,2,0,24,0,8,2,44,0
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Road",58,18,0,13,2,798,1,168,40,1098,3
,"Campbells Bay School Hall, 77 Aberdeen Road",43,21,1,11,8,732,0,176,47,1039,5
"Castor Bay","Presbyterian Church Hall, corner Seaview Road & Katui Street",70,19,2,12,8,925,2,212,42,1292,13
"Devonport","Devonport Community House, 32 Clarence Street",44,1,1,14,8,564,5,418,139,1194,4
,"Devonport Holy Trinity Parish Hall, 20 Church Street",33,4,0,16,12,637,3,380,107,1192,6
,"Devonport Presbyterian Church Hall, Cnr Victoria and Albert Streets",35,5,0,20,10,517,0,409,135,1131,3
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",92,61,5,42,20,1180,3,498,75,1976,13
"Glenfield","Glenfield Community Centre, 411 Glenfield Road (corner Bentley Avenue)",2,3,0,1,1,34,0,11,1,53,0
,"Glenfield Primary School, 101 Chivalry Road",1,1,0,1,0,19,1,8,6,37,0
,"Target Road Primary School, 80 Target Road",6,6,0,3,1,43,0,21,2,82,0
"Hauraki","Takapuna Bible Chapel Hall, 13 Jutland Road",77,13,2,36,9,1169,7,478,115,1906,11
,"Takapuna Grammar School, Lake Road",22,3,2,5,0,370,1,144,48,595,6
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",72,26,1,11,3,1060,2,234,59,1468,8
,"Mairangi Bay School, Galaxy Drive entrance",67,19,2,24,8,831,1,224,54,1230,4
,"Rangitoto College, 564 East Coast Road",20,20,0,1,1,299,0,75,20,436,4
"Milford","Carmel College, 114 Shakespeare Road",33,12,2,17,7,504,1,190,33,799,13
,"Milford Baptist Church Hall, 3 Dodson Avenue",75,15,0,30,7,1093,6,298,63,1587,14
,"Milford School, 34 Shakespeare Road",70,12,1,42,10,1285,7,462,105,1994,12
,"North Shore Hospital, Shakespeare Road",3,0,1,2,1,58,0,40,4,109,1
"Murrays Bay","Kwang Lim Methodist Church, 539 Beach Road",4,3,0,0,1,50,0,12,4,74,1
,"Murrays Bay Intermediate School, 37 Sunrise Avenue",13,5,0,1,4,122,1,42,17,205,1
"Narrow Neck","Vauxhall School, Morrison Avenue",29,7,0,13,10,472,2,306,106,945,7
"Northcote","Northcote Intermediate, 145 Lake Road",1,1,0,1,0,30,0,8,2,43,1
"Stanley Bay","Stanley Bay School, 15 Russell Street",24,0,0,7,4,403,2,180,77,697,4
"Sunnynook","Sunnynook School, 27 Lyford Crescent",39,18,1,13,13,618,3,375,34,1114,8
,"Wairau Intermediate School, Becroft Drive",77,35,3,43,20,1123,5,480,103,1889,9
"Takapuna","Takapuna Methodist Church Hall, corner Lake Road & Tennyson Avenue",41,13,0,15,4,872,3,279,78,1305,7
,"Takapuna Normal Intermediate School, 54b Taharoto Road",26,11,2,20,4,264,0,148,21,496,1
,"Takapuna School, 23 Auburn Street or Anzac Street entrance",70,20,1,18,9,1113,3,304,69,1607,12
"Westlake","Westlake Boys High School, 30 Forrest Hill Road",28,12,1,9,4,425,1,145,27,652,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",14,2,1,6,0,140,3,91,9,266,20
,"Ordinary Votes BEFORE polling day",120,41,2,60,21,2370,8,745,185,3552,21
,"Special Votes BEFORE polling day",18,2,1,5,6,234,1,108,23,398,8
,"Special Votes On polling day",104,46,7,35,18,1443,9,589,249,2500,25
,"Overseas Special Votes including defence force",9,7,0,13,5,678,4,238,89,1043,7
,"North Shore Total",1528,514,47,612,261,23824,94,9250,2389,38519,268
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38787
"Electorate Candidate Valid Votes","Party",,"MAPP, Wayne Daniel - majority 14574"
"BOSCAWEN, John Spencer",ACT New Zealand,1528,.0396687349
"CLEARY, Louise",Family Party,514,.013344064
"COOPER, Stephen Thomas",RAM - Residents Action Movement,47,.0012201771
"GREGORY, Joseph Terrence",New Zealand First Party,612,.0158882629
"LIGHT, Damian Francis",United Future,261,.0067758768
"MAPP, Wayne Daniel",National Party,23824,.6184999611
"MURPHY, Michael Myles",Libertarianz,94,.0024403541
"TWYFORD, Philip Stoner",Labour Party,9250,.240141229
"WATSON, Pieter Rowley Burgess",Green Party,2389,.0620213401
