Electorate Candidate and Party Votes Recorded at Each Polling Place
"Northcote 33","Candidate Vote Details"
,,"COLEMAN, Jonathan David","DOHERTY, Benjamin Louis Vincent","DROMGOOL, Steven John","ELLEY, Jeanette Susan","HILL, Brenda Louise","KEARNEY, Nick","LINTON, Peter John","McCRACKEN, Hamish Kennedy","McDONALD, Barry William","XU, Li Tao","Total Valid Candidate Votes","Informal Candidate Votes"
"Beachhaven","Birkdale Beachhaven Residents Hall, 336 Rangatira Road",987,5,8,148,12,42,4,854,9,21,2090,17
,"Maria Assumpta Parish Hall, 198 Beachhaven Road",341,1,6,48,5,20,2,404,1,6,834,4
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",631,3,8,101,4,21,5,611,9,18,1411,12
,"Birkdale North School, 213 Birkdale Road",268,1,3,44,3,21,0,257,2,2,601,7
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",849,1,9,113,12,35,2,549,12,15,1597,9
"Birkenhead","All Saints Hall, 187 Hinemoa Street",1009,2,1,98,3,22,2,386,1,6,1530,10
,"Chelsea Primary School, 2 Onetaunga Road",1243,2,6,63,8,32,4,381,10,19,1768,6
,"North Shore Church of Christ, 3 Willow Avenue",483,1,4,56,3,19,1,208,2,15,792,2
,"Zion Hill Methodist Church Hall, 237 Onewa Road (corner Birkenhead Avenue)",1120,3,7,119,10,20,4,514,5,17,1819,20
"Glenfield","Glenfield College, 52-60 Kaipatiki Road",288,1,0,33,5,10,0,200,3,7,547,2
,"Glenfield Community Centre, 411 Glenfield Road (corner Bentley Avenue)",554,3,3,52,13,30,3,440,11,23,1132,10
,"Glenfield Primary School, 101 Chivalry Road",373,1,1,38,7,13,1,244,2,25,705,8
,"Manuka Road Primary School, 34 Manuka Road",50,1,0,6,2,1,0,28,0,1,89,1
,"Meadowood Community House, 55 Meadowood Drive",14,1,0,2,0,0,0,7,1,0,25,0
,"Target Road Primary School, 80 Target Road",39,0,0,2,0,2,0,16,1,2,62,0
,"Windy Ridge School, 50 Seaview Road",678,5,5,49,9,31,0,336,2,25,1140,9
"Mairangi Bay","Rangitoto College, 564 East Coast Road",23,0,0,2,0,1,0,10,0,3,39,1
"Marlborough","Marlborough Park Hall, 13a Chartwell Avenue",724,1,6,51,5,23,1,396,10,15,1232,7
"Milford","North Shore Hospital, Shakespeare Road",31,0,1,2,0,0,0,20,0,1,55,1
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",461,0,4,47,9,5,0,175,6,6,713,4
,"Northcote Intermediate, 145 Lake Road",1110,3,2,112,12,48,9,780,12,74,2162,17
,"Northcote Primary School, 2 Lake Road (corner Onewa Road)",1006,0,5,107,8,25,5,408,8,19,1591,6
,"Onewa Masonic Lodge, 14 Rodney Road",807,0,3,59,5,15,2,233,2,1,1127,4
,"Sunnybrae Normal School, 36 Sunnybrae Road",1123,4,9,72,11,20,3,426,0,50,1718,18
,"Willow Park School, 13 Compton Street",1585,11,16,102,17,39,5,622,8,58,2463,8
"Sunnynook","Wairau Intermediate School, Becroft Drive",36,0,1,2,0,2,0,10,0,4,55,0
"Takapuna","Takapuna School, 23 Auburn Street or Anzac Street entrance",50,0,1,10,0,3,0,17,0,0,81,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",92,0,2,12,3,2,0,82,1,2,196,20
,"Ordinary Votes BEFORE polling day",2274,2,12,169,24,53,13,1096,13,48,3704,15
,"Special Votes BEFORE polling day",213,2,1,42,2,10,0,163,3,7,443,5
,"Special Votes On polling day",1246,6,16,243,5,86,11,728,10,49,2400,19
,"Overseas Special Votes including defence force",424,0,3,42,2,13,0,171,0,10,665,4
,"Northcote Total",20132,60,143,2046,199,664,77,10772,144,549,34786,246
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35032
"Electorate Candidate Valid Votes","Party",,"COLEMAN, Jonathan David - majority 9360"
"COLEMAN, Jonathan David",National Party,20132,.578738573
"DOHERTY, Benjamin Louis Vincent",RAM - Residents Action Movement,60,.0017248318
"DROMGOOL, Steven John",United Future,143,.0041108492
"ELLEY, Jeanette Susan",Green Party,2046,.0588167654
"HILL, Brenda Louise",Jim Anderton's Progressive,199,.0057206922
"KEARNEY, Nick",ACT New Zealand,664,.0190881389
"LINTON, Peter John",Libertarianz,77,.0022135342
"McCRACKEN, Hamish Kennedy",Labour Party,10772,.3096648077
"McDONALD, Barry William",Kiwi Party,144,.0041395964
"XU, Li Tao",Family Party,549,.0157822112
