Electorate Candidate and Party Votes Recorded at Each Polling Place
"Ohariu 35","Candidate Vote Details"
,,"BRUCE, Daniel Antonio","BUCHANAN, Kelly Juliet","CHAUVEL, Charles Pierre","du PLESSIS, Colin John","DUNNE, Peter Francis","HUGHES, Gareth Thomas Llewelyn","SHANKS, Katrina May","SISON, Joel ","Total Valid Candidate Votes","Informal Candidate Votes"
"Alicetown","Hutt Central School, 6 Railway Avenue",0,0,24,1,39,4,21,1,90,0
"Belmont","Belmont School, 709 Western Hutt Road",1,0,12,1,15,2,12,0,43,0
,"Raphael House, 27 Matuhi Street",3,0,71,6,100,30,59,2,271,0
"Chartwell","Crofton Downs Primary School Hall, 1 Chartwell Drive",5,1,150,1,92,40,127,1,417,1
"Churton Park","Churton Park School, 90 Churton Drive",17,2,497,28,1026,94,796,40,2500,14
"Crofton Downs","Ngaio Playcentre, 50 Silverstream Road",1,3,123,0,82,22,71,5,307,0
"Grenada North","Grenada North Club Rooms, Nassau Avenue",1,0,72,3,28,8,24,1,137,2
"Harbour View","Garage, 36 Viewmont Drive",4,2,123,7,174,28,194,7,539,0
"Hutt Central","Hutt Hospital, High Street",0,0,16,0,4,4,11,0,35,1
,"Knox Presbyterian Church Hall, 574 High Street",2,0,29,3,25,5,32,0,96,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",11,7,534,20,437,91,356,45,1501,8
,"Garage, 6 Glen Alton Avenue",4,1,93,7,106,17,58,4,290,1
,"Johnsonville School Hall, 8 Morgan Street",18,4,535,26,554,112,373,21,1643,21
,"Onslow College Hall, Burma Road",6,3,560,18,570,109,389,26,1681,12
,"West Park School Hall, Broderick Road",8,11,286,9,408,65,277,34,1098,5
"Kenepuru","Kenepuru Community Hospital, Hospital Drive",0,0,6,0,7,4,5,0,22,0
"Khandallah","Cashmere Avenue School, 110 Cashmere Avenue",8,1,328,11,393,82,376,3,1202,3
,"Onslow Community Church, 4 Ngatoto Street",3,1,177,4,228,36,146,1,596,1
,"Presbyterian Church Hall, 35 Ganges Road",6,4,475,26,624,111,554,3,1803,9
,"St Barnabas Parish Hall, 35 Box Hill",2,0,153,12,294,46,171,2,680,3
"Korokoro","Korokoro School, 79 Korokoro Road",7,2,235,6,190,55,149,1,645,1
"Linden","Linden Social Centre, 10 Linden Avenue",0,2,37,3,35,5,20,2,104,2
"Maungaraki","Garage, 66 Oakleigh Street",1,2,93,5,55,13,73,0,242,3
,"Maungaraki Community Centre, 135 Dowse Drive",19,4,449,27,438,82,491,27,1537,2
"Newlands","Bellevue School Hall, 12 Bancroft Terrace",18,3,462,22,487,85,270,27,1374,11
,"Newlands Paparangi Tennis Club, 26 Black Rock Road",7,2,157,6,138,55,78,2,445,4
,"Newlands School Hall, 200 Newlands Road",15,5,439,16,347,75,229,21,1147,16
,"Rewa Rewa School Hall, 4 Padnell Crescent",6,4,259,9,276,52,154,16,776,6
"Newtown","Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",1,0,5,0,6,1,13,2,28,0
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",15,8,886,31,701,258,649,10,2558,13
"Normandale","St Aidans-On-The-Hill Church Hall, corner Poto Road & Stratton Street",7,4,224,16,247,66,226,8,798,3
"Ohariu","Ohariu Hall, 550 Ohariu Valley Road",4,0,24,6,64,11,68,0,177,0
"Paparangi","Paparangi School Hall, 59 Beazley Avenue",15,2,292,9,395,60,205,26,1004,4
"Petone","Air Training Corps Drill Hall, 2a Udy Street",1,0,27,1,28,8,31,1,97,0
,"Petone Central School, 16 Britannia Street",1,0,37,3,26,11,17,0,95,1
"Porirua","Porirua Employment Hub, Asset Finance Building, 6 Hagley Street",0,0,8,1,4,4,5,1,23,0
"Tawa","Garage, 127 Taylor Terrace",3,1,73,4,121,19,87,6,314,1
,"Garage, 16 St Catherines Terrace",1,2,73,3,212,23,132,2,448,1
,"Hampton Hill School, 4 Rimu Street",1,0,63,5,52,22,56,2,201,1
,"Hampton Hill School, Victory Crescent",9,0,205,8,126,24,85,17,474,3
,"New Life Church Hall, 236 Main Road",5,2,226,13,229,41,173,22,711,10
,"Redwood School, 69a Redwood Avenue",4,1,216,14,349,60,257,4,905,3
,"Tawa School, 6 Oxford Street",8,1,270,8,270,45,223,16,841,4
"Wellington City","Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",5,0,67,7,49,28,53,5,214,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,2,67,0,63,4,73,4,214,9
,"Ordinary Votes BEFORE polling day",15,6,934,34,1132,210,962,61,3354,27
,"Special Votes BEFORE polling day",4,1,146,5,130,37,148,8,479,4
,"Special Votes On polling day",49,13,806,30,638,304,688,32,2560,20
,"Overseas Special Votes including defence force",8,4,253,12,289,97,342,3,1008,10
,"Ohariu Total",330,111,11297,487,12303,2665,10009,522,37724,242
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37966
"Electorate Candidate Valid Votes","Party",,"DUNNE, Peter Francis - majority 1006"
"BRUCE, Daniel Antonio",Aotearoa Legalise Cannabis Party,330,.0087477468
"BUCHANAN, Kelly Juliet",Alliance,111,.0029424239
"CHAUVEL, Charles Pierre",Labour Party,11297,.2994645319
"du PLESSIS, Colin John",ACT New Zealand,487,.0129095536
"DUNNE, Peter Francis",United Future,12303,.3261319054
"HUGHES, Gareth Thomas Llewelyn",Green Party,2665,.0706446824
"SHANKS, Katrina May",National Party,10009,.265321811
"SISON, Joel ",Kiwi Party,522,.0138373449
