Electorate Candidate and Party Votes Recorded at Each Polling Place
"Port Hills 40","Candidate Vote Details"
,,"BURSTON, Joseph Daniel","CLEARWATER, Philip Thomas","DYSON, Ruth Suzanne","GRAY, Henry Robert Wilton","HEFFERNAN, Terence Michael","LOOMES, Robin Andrew","McKENZIE, Andrew John","RUSSELL, Geoffrey Neil","Total Valid Candidate Votes","Informal Candidate Votes"
"Addington","Kidsfirst Kindergarten, 366 Selwyn Street",35,44,230,5,79,5,6,5,409,8
"Aranui","St Ambrose Church Cafe, 309 Breezes Road",3,1,13,3,7,0,0,0,27,1
"Beckenham","Beckenham School, 71 Sandwich Road",106,58,523,10,367,8,9,9,1090,5
,"St Peter's Parish Centre, 11a Fisher Avenue",63,29,217,7,206,4,2,3,531,3
,"Thorrington School Hall, 22a Colombo Street South",112,46,449,3,562,5,4,11,1192,5
"Bromley","Bromley School, 33 Keighleys Road",48,32,669,10,204,7,9,11,990,5
"Cashmere","Cashmere Masonic Centre, corner Dyers Pass & Hackthorne Roads",86,32,391,2,584,0,1,17,1113,6
,"Landsdowne Community Centre, 8 Landsdowne Terrace",88,31,385,6,554,6,7,27,1104,6
,"Princess Margaret Hospital, 97 Cashmere Road, Entrance 4",41,19,190,3,344,1,1,11,610,5
"Cass Bay","Navy League, TS Steadfast, 64 Governors Bay Road",20,6,99,1,84,1,0,3,214,1
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",22,4,37,1,23,0,2,1,90,3
,"Cathedral College, corner Barbadoes Street and Moorhouse Avenue",5,4,18,1,8,1,0,0,37,0
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",11,0,20,0,14,0,0,0,45,0
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",10,1,21,0,10,1,1,1,45,0
"Governors Bay","Governors Bay School, Jetty Road",8,3,19,0,16,0,1,0,47,1
"Halswell","St Mary's Anglican Church Hall, 329 Halswell Road",2,0,6,1,7,0,0,0,16,0
"Heathcote Valley","Heathcote Valley School, 67 Bridle Path Road",138,21,673,14,397,11,1,17,1272,6
"Hillsborough","Commercial Premises, 44 Curries Road",15,9,116,2,93,7,2,3,247,0
"Hoon Hay","Hoon Hay School Library, 91 Sparks Road",4,0,8,2,13,2,0,0,29,0
"Huntsbury","Huntsbury Community Centre, 30h Huntsbury Avenue",61,11,171,3,218,2,2,7,475,1
"Linwood","Linwood Avenue School, 260 Linwood Avenue",36,25,329,6,121,2,6,7,532,6
,"Linwood College Student Centre, 85 Aldwins Road",10,9,91,4,33,1,2,0,150,1
,"Union Church Hall, 378 Linwood Avenue",51,33,593,22,208,2,5,11,925,12
"Lyttelton","Lyttelton Main School Hall, Oxford Street",179,22,659,7,231,4,10,7,1119,8
,"Lyttelton West School, 41 Voelas Road",70,9,193,2,88,2,2,1,367,1
"Mt Pleasant","Mt Pleasant Community Centre, 3 McCormacks Bay Road",98,24,482,11,905,9,0,30,1559,11
,"Mt Pleasant Presbyterian Church, 63 St Andrews Hill Road",69,12,254,5,558,2,5,15,920,4
"Opawa","Opawa Baptist Friendship Centre, 282 Wilsons Road",22,9,124,0,50,3,2,3,213,3
,"Opawa Community Church Hall, 7a Aynsley Terrace",103,26,436,16,239,6,3,17,846,7
,"Opawa School, corner Ford Road & Newbery Street",74,10,346,5,194,5,1,6,641,4
"Phillipstown","Te Waipounamu Maori Cultural Centre, 290 Ferry Road",4,3,14,0,10,0,2,0,33,1
"Redcliffs","Redcliffs School, 136 Main Road",116,13,519,9,719,7,0,21,1404,8
"Somerfield","Cashmere High School, Rose Street",17,6,41,0,62,1,0,4,131,0
"Spreydon","Te Kura Kaupapa Maori O Te Whanau Tahi, 81 Lyttelton Street",0,2,9,1,10,2,0,1,25,1
"St Martins","Hillview Christian Senior School, 125 Wilsons Road",89,40,517,26,432,14,3,7,1128,13
,"Scout Den (opposite Rapaki Road), 297 Centaurus Road",94,26,382,2,359,9,0,14,886,11
,"St Martins School, 24 Albert Terrace (opposite Roscoe Street)",85,25,311,6,307,6,2,11,753,5
"Sumner","St Pauls Union Church Hall, corner Nayland & Hardwicke Streets",129,15,445,5,595,7,2,13,1211,8
,"Star of the Sea School Hall, corner Colenso & Menzies Streets",120,16,426,5,436,2,3,13,1021,7
"Sydenham","St Saviours Anglican Hall, 200 Colombo Street",75,49,387,14,251,4,2,8,790,11
,"Sydenham Community Centre, 23-25 Hutcheson Street",16,21,143,2,62,1,1,1,247,4
"Wainoni","Ottawa Gardens Pre-School, 49 Ottawa Road",4,1,26,3,17,1,0,1,53,1
"Waltham","Waltham School, corner Hastings Street East & Vienna Street",74,53,411,13,143,5,2,13,714,5
"Westmorland","Garage, 3 Pentonville Close",0,0,3,0,4,0,0,1,8,1
"Woolston","Christchurch Polytechnic - Main Entrance, corner Ensors Road & Sulllivan Avenue",43,18,177,5,73,1,3,8,328,2
,"Edmonds-Smith Street Kindergarten, 21 Smith Street",28,20,290,9,112,4,3,6,472,9
,"St Johns Church Hall, corner St John's Street & Ferry Road",93,55,1037,15,453,11,10,23,1697,16
,"Woolston School, corner Ferry Road & Hopkins Street",93,29,569,7,199,8,5,15,925,9
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",14,35,348,11,217,0,3,1,629,9
,"Ordinary Votes BEFORE polling day",274,76,1333,20,1209,8,9,45,2974,23
,"Special Votes BEFORE polling day",42,12,257,8,204,1,2,7,533,6
,"Special Votes On polling day",396,84,1189,22,891,23,15,58,2678,33
,"Overseas Special Votes including defence force",68,15,238,2,200,3,2,6,534,5
,"Port Hills Total",3464,1144,16834,337,13382,215,153,500,36029,301
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36330
"Electorate Candidate Valid Votes","Party",,"DYSON, Ruth Suzanne - majority 3452"
"BURSTON, Joseph Daniel",Green Party,3464,.0961447723
"CLEARWATER, Philip Thomas",Jim Anderton's Progressive,1144,.0317521996
"DYSON, Ruth Suzanne",Labour Party,16834,.4672347276
"GRAY, Henry Robert Wilton",Kiwi Party,337,.0093535763
"HEFFERNAN, Terence Michael",National Party,13382,.3714230203
"LOOMES, Robin Andrew",United Future,215,.0059674151
"McKENZIE, Andrew John",Alliance,153,.0042465791
"RUSSELL, Geoffrey Neil",ACT New Zealand,500,.0138777096
