Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tamaki 48","Candidate Vote Details"
,,"BARTLEY, Josephine Ruth","GRAYDON, Gregory Victor","LECKINGER, Richard John","NABBS, Douglas William John","PEACHEY, Allan Frederick","SIMMONS, Christopher William","TAYLOR, Ralph James Willis","Total Valid Candidate Votes","Informal Candidate Votes"
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",142,18,56,10,512,44,10,792,14
,"Ellerslie Kindergarten, 122 Celtic Crescent",170,4,53,11,393,29,9,669,6
,"St Mary's Church Hall, 66 Main Highway",32,2,11,1,79,3,2,130,2
,"YMCA Centre, downstairs childcare centre, 46 Michaels Avenue",33,3,9,3,71,6,4,129,1
"Glen Innes","Glen Innes Primary School,  38-42 Eastview Road",314,5,19,15,138,13,6,510,11
,"Glenbrae Primary School, 105 Leybourne Circle",205,0,14,5,33,1,6,264,18
,"His International Mission, 77 Line Road (or Omaru Lane entrance)",338,5,20,24,164,24,3,578,20
,"Sacred Heart College, 250 West Tamaki Road",216,8,46,24,499,32,8,833,9
,"Tamaki College, corner Elstree Avenue & Taniwha Street",503,9,21,16,167,21,7,744,33
"Glendowie","Churchill Park School, Riddell Road",110,3,41,8,611,23,5,801,3
,"Glen Taylor Primary School, 172 West Tamaki Road",285,8,62,28,499,35,11,928,10
,"Glendowie Primary School, 217 Riddell Road",255,8,100,11,1011,45,9,1439,7
"Kohimarama","Kohimarama Primary School, 112 Kohimarama Road",143,10,80,23,1136,58,11,1461,10
,"Presbyterian Church Hall, 34 Kohimarama Road",87,7,46,16,620,48,5,829,2
,"St Thomas's School, 113 Allum Street",337,17,133,30,1697,98,22,2334,13
"Meadowbank","Free Kindergarten, 122 Meadowbank Road",154,5,69,6,524,29,3,790,8
,"Meadowbank Primary School, 68 Waiatarua Road",136,6,58,10,707,61,4,982,9
,"St Chad's Church Hall, 5 Meadowbank Road",271,17,82,34,973,72,24,1473,19
,"St John's College, Wesley Hall, 202-210 St John's Road",495,15,131,46,1364,115,16,2182,18
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",12,1,7,0,48,5,0,73,1
"Mission Bay","Patteson Guide Hall, 87 Patteson Avenue",170,4,63,16,877,73,9,1212,11
"Mt Wellington","Panmure District School, 87 Mt Wellington Highway",54,1,10,5,122,9,2,203,2
,"Stanhope Road School, 2b Harris Road",62,2,9,3,117,12,2,207,1
"Orakei","Orakei Presbyterian Church Hall, 162 Coates Avenue",328,4,88,22,912,51,10,1415,24
,"Orakei Primary School, 1 Grace Street",75,4,28,4,511,49,9,680,7
"Panmure","Maungarei Hall, 7-13 Pilkington Road",71,0,11,5,66,2,1,156,3
"Point England","Point England Primary School, 130 Point England Road",195,1,8,15,39,3,1,262,10
"Remuera","Baptist Church Hall, 641 Remuera Road",126,7,48,12,543,53,5,794,6
,"Corran School, 514 Remuera Road",65,5,30,3,309,29,4,445,2
,"Remuera Intermediate School, Ascot Avenue",46,2,11,3,176,33,1,272,5
"St Heliers","Lawn Tennis Club, 3 Goldie Street",135,6,49,12,786,56,5,1049,5
,"Masonic Lodge Hall, 26 Hanene Street",70,10,24,8,465,26,3,606,5
,"St Heliers Primary School, 126-160 St Heliers Bay Road",265,11,124,46,1662,115,10,2233,19
,"St Phillips Church Hall, corner Tuhimata Street & St Heliers Bay Road",150,13,64,20,822,55,8,1132,10
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",121,6,17,32,319,5,4,504,5
,"Ordinary Votes BEFORE polling day",619,18,177,63,3015,138,24,4054,24
,"Special Votes BEFORE polling day",153,5,34,10,404,19,5,630,9
,"Special Votes On polling day",696,25,277,31,1709,162,22,2922,30
,"Overseas Special Votes including defence force",204,7,86,8,763,31,2,1101,10
,"Tamaki Total",7843,282,2216,639,24863,1683,292,37818,402
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38220
"Electorate Candidate Valid Votes","Party",,"PEACHEY, Allan Frederick - majority 17020"
"BARTLEY, Josephine Ruth",Labour Party,7843,.2073880163
"GRAYDON, Gregory Victor",United Future,282,.0074567666
"LECKINGER, Richard John",Green Party,2216,.0585964356
"NABBS, Douglas William John",New Zealand First Party,639,.0168967158
"PEACHEY, Allan Frederick",National Party,24863,.6574382569
"SIMMONS, Christopher William",ACT New Zealand,1683,.0445026178
"TAYLOR, Ralph James Willis",Jim Anderton's Progressive,292,.007721191
