Electorate Candidate and Party Votes Recorded at Each Polling Place
"Taranaki-King Country 49","Candidate Vote Details"
,,"ARDERN, Philip Shane","HAMILL, Robert Miles","IZARD, Nowell William","PARKER, Iain Donald","van de WEERT, Renée Louise","Total Valid Candidate Votes","Informal Candidate Votes"
"Aria","Aria School, Barclay Road",80,4,1,3,12,100,2
"Arohena","Arohena School, 40 Pukewhau Road",70,4,3,1,5,83,0
"Benneydale","Benneydale Community Hall, Maniaiti Road",73,2,10,5,22,112,1
"Cardiff","Cardiff Hall, 50 Cardiff Road",90,6,6,2,13,117,0
"Deanwell","Deanwell School, Deanwell Avenue",38,5,2,0,5,50,0
"Egmont Village","Egmont Village Community Centre, 1299 Egmont Road",71,9,2,1,21,104,1
"Eltham","Eltham School Hall, 69 Conway Road",5,3,0,0,6,14,0
,"St Mark's Church Hall, 235 High Street",19,1,2,1,4,27,1
"Hamilton West","Waikato Hospital, Pembroke Street, Level B5, main entrance foyer",15,2,0,0,5,22,1
"Hangatiki","Hangatiki School Library, 591 Hangatiki East Road",86,2,3,0,13,104,1
"Hauturu","Hauturu Memorial Hall, 613 Harbour Road",28,1,0,0,1,30,0
"Hillsborough","Hillsborough Public Hall, 373 Egmont Road",7,3,0,0,0,10,0
"Honikiwi","Honikiwi Memorial Hall, corner Honikiwi & Turoto Roads",42,8,2,0,3,55,0
"Huiakama","Huiakama School, 3095 Ohura Road",64,3,1,1,6,75,2
"Inglewood","Inglewood High School, Kelly Street entrance",479,52,13,16,161,721,9
,"Inglewood Primary School Library, 33 Kelly Street",698,57,28,16,308,1107,20
"Kaimata","Kaimata School, 715 Tarata Road",181,10,3,1,23,218,0
"Kaipaki","Kaipaki School Library, 687 Kaipaki Road ",175,16,3,0,27,221,1
"Kaponga","Kaponga Primary School, 30 Egmont Street",26,5,0,0,4,35,0
"Kawhia","Kawhia Community Hall, 141 Jervois Street",135,25,10,1,61,232,6
"Kihikihi","Kihikihi Town Hall, Lyon Street",639,81,33,7,234,994,22
"Kinohaku","Kinohaku School Library, 28 Kawhia Harbour Road",55,4,1,0,9,69,2
"Kiokio","Kiokio School, 1701 State Highway 3",171,7,9,3,18,208,3
"Korakonui","Korakonui School, 734 Wharepuhunga Road",155,9,5,2,13,184,1
"Koromatua","Koromatua School, 355 Koromatua Road",167,22,3,2,36,230,3
"Lepperton","Lepperton School, corner Richmond Road & Whitcombe Street",101,11,6,0,20,138,0
"Mahoe","Mahoe Hall, 1080 Opunake Road",74,1,3,4,5,87,1
"Mahoenui","Mahoenui Memorial Hall, State Highway 3",39,6,7,0,2,54,0
"Maihiihi","Maihiihi School, 775 Maihiihi Road",145,4,3,0,14,166,0
"Mairoa","Mairoa Hall, Mairoa Road",38,0,0,0,4,42,0
"Mangorei","Mangorei School Hall, 496 Mangorei Road",7,1,0,0,1,9,0
"Mapiu","Mapui School, 2739 State Highway 4",84,4,2,1,10,101,2
"Marokopa","Marokopa Community Hall, The Esplanade",46,3,4,0,4,57,0
"Matiere","Matiere School, 2106 Main Road",60,2,1,0,5,68,1
"Midhirst","Midhirst Primary School (Library), 8 Erin Street",235,12,8,2,44,301,3
"Mimi","Mimi School, 23 Pukearuke Road",106,7,3,0,13,129,0
"Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",140,5,7,0,21,173,4
"New Plymouth","Welbourn School Hall, Welbourn Terrace entrance",13,5,0,0,8,26,1
"Ngaere","Ngaere School, 4355 Mountain Road",122,3,1,1,20,147,0
"Ngahinapouri","Ngahinapouri School, 1185 Kakaramea Road",393,37,9,1,53,493,2
"Ngakonui","Ngakonui Valley School, Kauri Room, Taumarunui-Ngapuke Road",20,1,0,0,2,23,0
"Ngutunui","Ngutunui School, Ngutunui Road",98,14,5,0,9,126,0
"Norfolk","Norfolk School, Norfolk Road",223,6,9,1,25,264,0
"Ohaupo","Ohaupo Memorial Hall, 98 Great South Road",445,57,22,6,92,622,5
"Ohura","Ohura Valley School, Ngarimu Street",48,14,3,4,25,94,1
"Ongarue","Ongarue School, Village Road",60,0,3,1,11,75,0
"Oparau","Oparau Roadhouse, 4370 State Highway 31",43,8,2,0,14,67,2
"Oparure","Te Kura Kaupapa Maori o Oparure, 308 Oparure Road",45,4,1,0,5,55,1
"Otewa","Otewa School, 916 Otewa Road",100,4,0,0,6,110,0
"Otorohanga","Otorohanga College (Hall), Bledisloe Avenue",287,32,8,0,100,427,6
,"Otorohanga District Library Meeting Room, 27 Turongo Street",680,53,27,8,159,927,27
"Parawera","Parawera School, 18 Mellsop Road",96,7,2,2,15,122,1
"Paterangi","Paterangi School, 1326 Paterangi Road",205,10,3,2,24,244,1
"Piopio","Piopio Primary School, 14 Aria Road",298,19,7,5,37,366,7
"Piripiri","Piripiri School, Te Anga Road",17,0,0,0,1,18,0
"Pirongia","Pirongia School, 100 Beechey Street",664,97,28,4,104,897,7
"Pokuru","Pokuru School, 873/2 Pokuru Road",184,9,2,1,19,215,1
"Puahue","Puahue School, 573 Puahue Road",129,7,1,1,15,153,1
"Pukeatua","Pukeatua School, 2110 Arapuni Road",144,6,6,0,18,174,1
"Pukengahu","Pukengahu Hall, corner Waihapa & Wingrove Roads",74,2,0,2,9,87,0
"Raglan","Raglan Town Hall, 41 Bow Street",420,353,22,10,295,1100,13
"Rangitoto","Rangitoto School, 949 Rangitoto Road",60,2,1,2,6,71,0
"Ratapiko","Ratapiko School, 4 Ratapiko Road",82,4,3,3,8,100,0
"Rukuhia","Rukuhia School Hall, Rukuhia Road",267,49,12,2,65,395,1
"Stratford","Avon School, Hamlet Street",263,30,7,11,170,481,3
,"Stratford High School, Swansea Road",235,15,10,5,125,390,4
,"Stratford Methodist Church Hall, Regan Street",610,42,20,20,315,1007,22
,"Stratford Primary School, Regan Street",523,51,10,15,239,838,8
"Taharoa","Taharoa School, Main Road",8,0,0,0,3,11,0
"Taumarunui","Taumarunui Primary School Hall, Maata Street",25,2,1,0,2,30,0
,"WINZ Main Office, corner Miriama & Marae Streets",41,5,1,0,10,57,0
"Te Awamutu","Pekerau School, 742 Te Rahu Road",504,51,17,3,205,780,13
,"Te Awamutu College (Hall), 938 Alexandra Street",847,107,23,16,303,1296,7
,"Te Awamutu Courthouse, 53 Roche Street",579,67,33,5,186,870,10
,"Te Awamutu Intermediate School, 646 Hazelmere Crescent",303,35,12,1,130,481,6
,"Te Awamutu Primary School, 401 Teasdale Street",738,71,30,7,233,1079,19
,"Te Wananga O Aotearoa, Gallery, 320 Factory Road",67,11,2,0,26,106,2
"Te Kawa Crossroads","Te Kawa Crossroads Hall, corner State Highway 3 & Te Kawa Road",233,14,4,2,32,285,4
"Te Kuiti","Centennial Park School, 50 Te Kuiti Road",82,14,3,1,40,140,4
,"Te Kuiti Courthouse, Queen Street",378,40,19,4,132,573,5
,"Te Kuiti High School, Hospital Road",152,25,6,5,65,253,2
,"Te Kuiti Primary School, Rora Street",384,45,8,3,128,568,11
"Te Mata","Te Mata School Hall, 775 Te Mata Road",141,16,4,4,17,182,0
"Te Pahu","Te Pahu School, 671 Te Pahu Road",320,65,14,7,91,497,3
"Te Rahu","Te Rahu Public Hall, corner State Highway 3 & Te Rahu Road",249,8,7,3,22,289,0
"Te Uku","Te Uku School, 3436 State Highway 23",43,6,0,0,10,59,1
"Templeview","Church College of New Zealand (reception foyer), 435 Tuhikaramea Road",39,8,0,1,18,66,3
"Tikorangi","Tikorangi School, 356 Ngatimaru Road",225,18,2,1,35,281,9
"Tokirima","Tokirima School, Tokirima Road",44,1,3,0,4,52,2
"Toko","Toko School, 1057 East Road",237,5,4,1,17,264,1
"Tongaporutu","Tongaporutu Hall, Tongaporutu Road",36,8,3,2,14,63,1
"Urenui","Urenui School (old room 2), Takiroa Street",369,44,8,9,68,498,2
"Uruti","Uruti School, 11 Uruti Road",50,6,1,0,13,70,0
"Waitara","Waitara Central School Hall, 18 Cracroft Street",13,3,2,0,18,36,0
,"Waitara High School Hall, 16 Princess Street",42,8,3,3,20,76,3
"Waitetuna","Waitetuna School, 129 Waitetuna Valley Road",58,29,0,2,29,118,0
"Waitomo Caves","Waitomo School, Hotel Access Road",77,23,3,1,15,119,2
"Waitoriki","Waitoriki School, 364 Lincoln Road",43,3,1,2,15,64,0
"Whangamomona","Whangamomona Hall, 6013 State Highway 43",70,6,1,0,8,85,1
"Wharehuia","Wharehuia Hall, ex Stanley School, 4 Stanley Road",89,6,1,2,10,108,0
"Wharepapa","Wharepapa South School, 14 Wharepapa Road",93,8,4,0,9,114,1
"Whatawhata","Whatawhata School, 9 Kura Street ",197,23,7,1,48,276,5
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Hospital Votes",177,7,3,2,86,275,6
,"Ordinary Votes BEFORE polling day",1902,187,56,25,529,2699,36
,"Special Votes BEFORE polling day",251,50,14,2,104,421,5
,"Special Votes On polling day",1066,272,55,11,356,1760,25
,"Overseas Special Votes including defence force",170,40,4,0,18,232,0
,"Taranaki-King Country Total",21834,2675,767,302,6216,31794,391
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32185
"Electorate Candidate Valid Votes","Party",,"ARDERN, Philip Shane - majority 15618"
"ARDERN, Philip Shane",National Party,21834,.6867333459
"HAMILL, Robert Miles",Green Party,2675,.0841353715
"IZARD, Nowell William",ACT New Zealand,767,.0241240486
"PARKER, Iain Donald",Democrats for Social Credit,302,.0094986475
"van de WEERT, Renée Louise",Labour Party,6216,.1955085865
