Electorate Candidate and Party Votes Recorded at Each Polling Place
"Taupo 50","Candidate Vote Details"
,,"BLOXHAM, Martin Leo","BURTON, Richard Mark","EDWARDS, Maxwell Albert","MAC, Robbie","UPSTON, Louise Claire","Total Valid Candidate Votes","Informal Candidate Votes"
"Acacia Bay","Acacia Bay Community Centre, 1 Wakeman Road",2,172,0,11,607,792,4
"Arapuni","Arapuni Community Hall, Arapuni Road",4,49,3,4,42,102,1
"Cambridge","Cambridge East School, corner Bowen & Williams Streets",12,506,15,10,1221,1764,15
,"Cambridge Middle School, corner Clare & Grey Streets",12,330,13,11,710,1076,27
,"Cambridge Primary School, Wilson Street",6,409,14,8,831,1268,15
,"Leamington School, corner Lamb & Scott Streets, Leamington",13,399,23,14,941,1390,18
,"Raleigh Street Christian Centre, 24 Raleigh Street, Leamington",4,397,15,7,743,1166,25
,"Roto-O-Rangi School, 5 Kairangi Road, Roto-O-Rangi",0,33,1,1,208,243,0
"Fencourt","Goodwood School, 517 Fencourt Road",0,23,2,0,124,149,1
"Hamilton West","Waikato Hospital, Pembroke Street, Level B5, main entrance foyer",0,20,0,0,13,33,0
"Hautapu","Hautapu School, corner Forrest & Hautapu Roads",2,82,1,6,227,318,1
"Horahora","Hora Hora School, 1798 Maungatautari Road",2,26,2,0,104,134,1
"Karapiro","Karapiro School, 705 State Highway 1",0,28,1,2,122,153,4
"Kinloch","Kinloch Community Hall, Kinloch Domain, Mata Place",0,81,2,0,249,332,0
"Kuratau","Kuratau School, junction of Western Access & Taumarunui Highway",0,21,0,1,41,63,0
"Lichfield","Lichfield School and Community Hall, 779 Lichfield Road, access from Kells Lane",0,58,2,1,159,220,0
,"Ngatira Marae, 965 Ngatira Road ",0,8,0,0,0,8,0
"Mangakino","Mangakino Senior Citizens Hall, 25 College Street",2,174,0,7,90,273,3
"Marotiri","Marotiri School, 1569 Tihoi Road, State Highway 32",3,29,2,1,105,140,0
"Maungatautari","Maungatautari School, 1121 Maungatautari Road",2,16,2,0,121,141,1
"Mihi","Mihi School, 76 Springs Road",0,12,2,0,16,30,0
"Okoroire","Kuranui School, 66 Waiomou Road",0,35,0,0,157,192,2
"Omori","Taupo District Council Depot, Omori Road",0,33,2,1,62,98,0
"Puketurua","Puketurua Memorial Hall, intersection of Old Taupo, Huihuitaha & Pearson Roads",5,26,2,0,136,169,0
"Putaruru","Abbey's Place Child Care Centre, 1 Commerce Street",4,150,5,2,163,324,7
,"Putaruru Baptist Church Hall, 52 Arapuni Street",8,236,11,7,211,473,8
,"Putaruru Contract Bridge Club, Overdale Street",13,292,12,8,413,738,6
,"Te Wharekura o Te Kaokaoroa o Patetere, 117 Buckland Street",0,38,1,0,51,90,0
"Rangitaiki","Rangitaiki School, State Highway 5",0,15,0,0,33,48,0
"Rotorua","Rotorua Electorate Headquarters, corner Hinemoa & Amohia Streets",0,4,2,0,1,7,0
"Taupo","Hilltop School, 90 Rokino Road",2,268,2,7,703,982,5
,"Hinemoa Kindergarten, 61 Hinemoa Avenue",3,131,0,7,145,286,4
,"Mountview Primary School, 31 Rangatira Street",2,190,3,6,116,317,4
,"St Patrick's Catholic Church, 88 Acacia Bay Road, Nukuhau",1,324,11,10,519,865,9
,"Tauhara Primary School, 90 Crown Road",3,280,3,8,307,601,8
,"Taupo Baptist Church Hall, corner Rifle Range & Taupo View Roads",8,450,8,13,595,1074,14
,"Taupo District Court, 21 Story Place",3,200,4,6,402,615,5
,"Taupo Primary School, corner Tamamutu & Ruapehu Streets",5,498,18,11,729,1261,13
,"Taupo-nui-a-Tia College, 122 Spa Road",2,288,11,11,433,745,4
,"Unison Youth Arts Centre, 98 Richmond Avenue",2,196,4,4,376,582,4
,"Waipahihi School, 20 Parata Street",1,303,5,6,498,813,6
"Tihoi","Tihoi Venture School, 289 Tihoi Mill Road",0,7,0,1,27,35,0
"Tirau","Tirau School, 69 Main Road",7,195,8,5,493,708,11
"Tirohanga","Tirohanga School, 851 Tirohanga Road, Atiamuri",1,21,0,1,69,92,0
