Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tauranga 51","Candidate Vote Details"
,,"BALDOCK, Larry David","BRIDGES, Simon Joseph","EATWELL, Richard Gray William","LEAMING, Terence Alfred","MACARTNEY, David Edwin","PANKHURST, Anne Marie","PETERS, Winston Raymond","RANSOM, Katherine Elizabeth","SCOTT, Ronald John Charles","SUMMERHAYS, Karen Mary","WILLOCKS, John Douglas","Total Valid Candidate Votes","Informal Candidate Votes"
"Bethlehem","Baptist Church Hall, 90 Bethlehem Road",58,832,3,1,0,48,193,0,9,24,3,1171,2
,"Institute of Education, 24 Elder Lane",90,964,1,0,0,60,172,1,6,35,4,1333,1
"Cambridge","Cambridge Primary School, Wilson Street",1,2,1,0,0,0,1,0,0,0,2,7,0
"Maungatapu","Maungatapu School Hall, 164 Maungatapu Road",5,47,0,0,0,17,34,0,2,2,0,107,3
"Mt Maunganui","Arataki Community Centre, Grenada Park, Monowai Street",3,49,0,0,0,8,15,0,1,7,0,83,0
,"Arataki School Hall, 4 Kaimanawa Street",22,158,0,0,0,38,123,0,1,13,2,357,4
,"Harbourside Netball Pavilion, Maunganui Road",6,199,2,0,0,29,91,0,1,23,0,351,0
,"Mt Maunganui College, Maunganui Road",38,626,3,1,0,74,229,0,7,53,3,1034,4
,"Mt Maunganui Intermediate School, 21 Links Avenue",39,583,0,1,0,82,255,2,6,39,3,1010,5
,"Mt Maunganui Primary School, 13 Orkney Road",23,660,5,1,0,48,194,1,6,65,6,1009,8
,"Senior Citizens' Hall, 345 Maunganui Road",10,430,3,0,0,45,156,0,9,34,3,690,4
,"St Peter's Church Hall, 11 Victoria Road",10,299,0,0,0,22,92,0,2,17,0,442,4
"Papamoa","Papamoa Community Centre and Library, Tohora Room, 15 Gravatt Road",6,35,0,0,0,6,9,0,0,4,0,60,2
,"Tahatai Coast School Hall, 45 Evans Road",2,17,0,0,0,2,5,0,0,3,0,29,0
,"Te Akau Ki Papamoa School Hall, 29 Doncaster Drive",0,3,0,0,0,1,2,0,1,0,0,7,0
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",54,732,1,2,0,59,209,0,7,26,2,1092,9
"Tauranga","Brookfield School, 20 Millers Road",131,911,6,0,1,193,565,1,16,88,4,1916,5
,"Greenpark School, 13 Lumsden Street",79,687,3,1,1,144,349,1,4,41,1,1311,9
,"Greerton Community Hall, 1247 Cameron Road",150,817,9,4,0,262,799,2,12,100,0,2155,21
,"Matua Community Hall, Levers Road",83,1204,12,2,1,121,479,0,5,55,3,1965,12
,"Matua Dance Education Centre, 228b Levers Road",29,327,5,0,1,30,110,0,2,14,1,519,3
,"Merivale Action Centre, 25 Kesteven Avenue",49,160,0,0,1,47,223,0,2,31,1,514,2
,"Otumoetai College, 105 Windsor Road",62,482,6,1,0,102,280,0,5,53,1,992,4
,"Otumoetai School, 236 Otumoetai Road",131,1415,9,1,1,170,585,2,12,94,5,2425,11
,"Pillans Point School, 101 Maxwells Road",52,950,5,1,2,94,368,0,11,50,2,1535,5
,"St Columba Church Hall, 502 Otumoetai Road",71,775,7,0,0,70,443,1,5,41,1,1414,11
,"St Peter's Community Centre, 130 Spring Street",30,242,1,0,0,18,93,2,4,11,2,403,2
,"Tauranga Boys' College Youth Theatre, Devonport Road",85,1007,3,4,0,127,495,2,8,65,2,1798,13
,"Tauranga Girls' College Hall, 930 Cameron Road",82,438,9,2,3,132,390,1,6,64,1,1128,6
,"Tauranga Intermediate School, 30 Eighteenth Avenue",34,343,0,2,1,54,184,1,3,28,0,650,4
,"Tauranga Primary School Hall, 31 Fifth Avenue",63,791,0,1,1,77,282,1,8,56,1,1281,9
"Tauriko","Settlers' Hall, State Highway 29",13,143,1,0,0,12,32,0,2,7,0,210,0
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",9,31,1,0,0,5,23,0,0,2,0,71,1
,"Welcome Bay School Hall, 309 Welcome Bay Road",4,16,0,0,0,6,13,0,0,1,0,40,0
,"Polling places where less than 6 votes were taken",0,3,0,0,0,0,1,0,0,0,0,4,0
,"Hospital Votes",22,221,1,1,3,88,236,4,7,6,3,592,28
,"Ordinary Votes BEFORE polling day",189,2752,8,1,2,227,894,4,27,120,7,4231,13
,"Special Votes BEFORE polling day",15,236,0,0,1,39,116,0,1,17,1,426,3
,"Special Votes On polling day",108,1177,6,3,1,256,496,4,17,150,8,2226,17
,"Overseas Special Votes including defence force",35,287,0,0,0,43,73,1,2,22,4,467,4
,"Tauranga Total",1893,21051,111,30,20,2856,9309,31,217,1461,76,37055,229
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37284
"Electorate Candidate Valid Votes","Party",,"BRIDGES, Simon Joseph - majority 11742"
"BALDOCK, Larry David",Kiwi Party,1893,.0510862232
"BRIDGES, Simon Joseph",National Party,21051,.5681014708
"EATWELL, Richard Gray William",Independent,111,.0029955472
"LEAMING, Terence Alfred",Independent,30,.0008096073
"MACARTNEY, David Edwin",The Republic of New Zealand Party,20,.0005397382
"PANKHURST, Anne Marie",Labour Party,2856,.0770746188
"PETERS, Winston Raymond",New Zealand First Party,9309,.2512211577
"RANSOM, Katherine Elizabeth",Democrats for Social Credit,31,.0008365943
"SCOTT, Ronald John Charles",ACT New Zealand,217,.0058561598
"SUMMERHAYS, Karen Mary",Green Party,1461,.0394278775
"WILLOCKS, John Douglas",United Future,76,.0020510053
