Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waikato 54","Candidate Vote Details"
,,"ARDERN, Jacinda Kate Laurell","DAVIES, Mark Marshall","HARPER, Wendy Barbara","PEMBERTON, John Stuart","ROSS, James Alexander","STEWART, Barbara Joy","TISCH, William Lindsay","Total Valid Candidate Votes","Informal Candidate Votes"
"Cambridge","Cambridge East School, corner Bowen & Williams Streets",8,0,1,0,0,0,16,25,0
,"Cambridge Middle School, corner Clare & Grey Streets",3,1,2,0,0,2,17,25,0
,"Cambridge Primary School, Wilson Street",11,1,2,0,1,3,37,55,0
"Fencourt","Goodwood School, 517 Fencourt Road",28,14,21,1,4,20,213,301,2
"Flagstaff","Alandale Retirement Village, 1199 River Road North",3,3,3,0,0,1,48,58,2
"Glen Massey","Glen Massey School, 897 Waingaro Road",48,5,17,1,2,12,88,173,1
"Glen Murray","Glen Murray Hall, 2271 State Highway 22",11,6,7,0,3,4,94,125,1
"Gordonton","Gordonton School, 50 Woodlands Road",68,16,18,4,7,12,421,546,3
"Hamilton West","Waikato Hospital, Pembroke Street, Level B5, main entrance foyer",10,2,1,0,0,0,20,33,0
"Hautapu","Hautapu School, corner Forrest & Hautapu Roads",30,5,15,3,2,10,149,214,2
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",57,9,10,1,1,4,198,280,0
"Hinuera","Hinuera School, corner Highway 29 & Hinuera Road",27,8,9,0,1,9,217,271,0
"Horotiu","Horotiu School, Horotiu Bridge Road",120,15,31,1,1,19,332,519,1
"Horsham Downs","Horsham Downs School, 4 Martin Lane",37,5,8,0,3,6,255,314,2
"Huntly","Civic Centre (Riverside Room), 148 Main Street",157,12,22,2,3,23,141,360,4
,"Kimihia School, Tamihana Avenue",126,8,17,1,2,12,118,284,4
,"Red Cross Hall, Hakanoa Street",347,25,34,2,4,54,275,741,7
,"St Anthonys Catholic School, 102 Bailey Street",136,11,15,1,3,20,98,284,2
,"West Kindergarten, 26 Smith Avenue",153,4,17,1,3,20,130,328,5
,"West Primary School, Paki Street",124,6,6,1,7,19,62,225,2
"Kaiaua","Kaiaua School, 1061 East Coast Road",79,9,18,0,1,21,184,312,7
"Karapiro","Karapiro School, 705 State Highway 1",15,6,8,0,0,8,197,234,1
"Kereone","Kereone School, 779 Hutchinson Road",17,10,3,0,2,3,113,148,0
"Kiwitahi","Kiwitahi School, 8 Chepmell Road",10,8,7,0,1,1,149,176,0
"Mangatangi","Mangatangi School, 2047 Mangatangi Road",35,17,9,0,2,4,173,240,0
"Mangatawhiri","Mangatawhiri School, 15 McKenzie Road",48,12,11,3,1,5,167,247,2
"Maramarua","Maramarua School, 2200 State Highway 2",33,11,7,0,1,7,176,235,1
"Matamata","Matamata College, 121 Firth Street",152,26,26,7,9,38,489,747,7
,"Matamata Primary School, 115a  Broadway",349,43,47,17,17,67,1080,1620,11
,"Memorial Centre, Tainui Street",307,26,36,9,14,100,848,1340,15
"Matangi","Matangi School, 599 Matangi Road",177,18,41,1,6,29,610,882,8
"Mercer","Mercer School, 15 Glass Road",17,2,5,0,1,7,66,98,1
