Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wairarapa 56","Candidate Vote Details"
,,"ATKINSON, Shane Whitford","HAYES, John Bernard","MACKENZIE, Denise Lillian","McGRATH, Richard Graham","PERRY, Edwin Jock","REEVES, Graeme Leonard","TUBMAN, Amy Louise","WOODCOCK, Michael David","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfredton","Alfredton School, corner Alfredton Road & Route 52",4,105,9,2,3,0,0,1,124,1
"Carterton","Carterton Kindergarten, 3 Victoria Street",14,342,301,6,80,8,7,48,806,12
,"Carterton School, Holloway Street",16,366,345,9,88,4,1,73,902,7
,"Dalefield School, corner Dalefield & Thomas Roads",4,133,61,0,20,3,2,23,246,2
,"Parkvale Hall, 10 Kokotau Road",11,228,88,3,21,3,0,17,371,2
,"South End School, 275 High Street South",26,376,325,7,70,2,2,48,856,7
,"West Taratahi Hall, Chester Road",7,143,76,3,19,3,0,26,277,2
"Dannevirke","Dannevirke High School, Music Room, corner Grant & King Streets",8,261,92,0,11,4,0,15,391,6
,"Dannevirke South School Hall, corner Stairs & Hunter Streets",18,414,225,4,47,2,2,32,744,4
,"Dannevirke Sports Centre, Anderson Street",8,251,127,0,39,3,0,9,437,2
,"Huia Range School, Cole Street",10,321,239,3,38,5,0,22,638,3
,"Ruahine School, 333 Maharahara Road",6,169,24,2,5,0,0,5,211,0
,"Tararua REAP, 15 Gordon Street",5,246,120,1,20,1,0,6,399,3
,"Totara College, 3 Ruahine Street",5,227,80,0,21,1,0,9,343,2
"Eketahuna","Eketahuna School, Albert Street",11,231,114,2,33,2,1,21,415,4
"Featherston","Featherston School Hall, Lyons Street",24,402,577,6,94,14,4,93,1214,11
,"South Featherston School, South Featherston Road",5,102,44,3,9,2,1,15,181,1
"Flemington","Flemington School, Rotohiwi Road",2,87,12,0,0,0,0,2,103,0
"Gladstone","Gladstone Sports Complex, Fire No 585 Gladstone Road",12,225,77,11,16,2,1,26,370,2
"Greytown","Greytown School Hall, East Street",20,680,463,11,92,16,3,106,1391,12
,"Kuranui College Student Centre, Moroa Plain Road",6,134,82,5,14,1,1,13,256,4
"Hamua","Hamua Public Hall, State Highway 2",10,96,20,0,7,0,1,5,139,4
"Kahutara","Kahutara School Hall, Kahutara Road",6,97,51,2,4,0,0,10,170,0
"Kumeroa","Kumeroa Hopelands School, 58 Township Road",2,57,13,0,4,0,1,4,81,0
"Mangamaire","Mangamarie School, 192 Tutaekara Road",4,111,18,1,6,0,0,2,142,0
"Mangatainoka","Mangatainoka School, State Highway 2",0,161,36,0,8,0,1,4,210,1
"Martinborough","Martinborough School Hall, Dublin Street",30,705,330,6,62,12,1,71,1217,10
"Masterton","Chanel College Hall, 26 Herbert Street",8,285,338,28,97,4,6,30,796,4
,"Courthouse, Dixon Street",14,338,279,24,94,3,2,34,788,3
,"Douglas Park School Hall, 136 Cole Street",8,230,201,20,49,4,1,43,556,2
,"Fernridge School Hall, 264 Upper Plain Road",11,323,154,15,32,6,1,23,565,4
,"IDEA Services (IHC Centre), 46 Bentley Street",8,64,79,5,23,0,1,14,194,4
,"Kura Kaupapa Maori o Wairarapa, Johnstone Street",7,108,180,12,43,2,2,24,378,3
,"Lakeview School Hall, corner Te Ore Ore & Colombo Roads",33,915,627,41,188,7,6,101,1918,11
,"Majestic Theatre, 137 Ngaumutawa Road",12,256,238,10,68,9,3,19,615,4
,"Masterton Intermediate School Hall, Intermediate Street",15,457,476,36,120,7,5,48,1164,4
,"Montessori Wairarapa School, 127 Cornwall Street",7,107,131,4,33,1,2,16,301,1
,"Solway School Hall, 318 Ngaumutawa Road",6,324,210,13,56,1,2,23,635,4
,"Town Hall, 64 Chapel Street",22,641,572,34,189,2,9,95,1564,19
,"Young Citizens Hall, 205 Chapel Street",8,252,315,20,73,0,1,27,696,6
"Mauriceville","Mauriceville School, Opaki-Kaiparoro Road",5,76,21,4,10,2,1,5,124,0
"Norsewood","Norsewood School, Coronation Street",18,260,78,1,14,3,0,17,391,2
"Omakere","Omakere School, Long Range Road",5,89,14,0,0,0,0,5,113,0
"Opaki","Opaki School Hall, Waipipi Road",12,282,85,16,39,1,0,26,461,0
"Pahiatua","Pahiatua School Hall, Mangahao Road",15,313,186,3,43,4,1,23,588,9
,"Tararua District Council Chambers, 136 Main Street",12,430,291,4,59,5,0,39,840,14
"Pirinoa","Pirinoa School, Lake Ferry Road",1,158,57,1,13,0,1,3,234,2
"Pongaroa","Pongaroa School, Makomako Street",5,164,20,0,8,1,0,6,204,1
"Porangahau","Porangahau School, Keppel Street",8,187,33,1,10,0,1,9,249,1
"Takapau","Takapau School Hall, Nancy Street",8,209,102,2,4,0,0,11,336,3
"Tinui","Tinui School, 25 Charles Street",11,125,36,3,23,1,0,1,200,4
"Wainuioru","Wainuioru School, Stronvar Road",2,77,24,3,3,1,0,6,116,0
"Waipawa","CHB District Council Chambers, Ruataniwha Street",6,285,175,1,12,5,1,27,512,4
,"Waipawa School, Technology Block, Harker Street",9,200,172,0,18,2,2,39,442,4
"Waipukurau","CHB College Library, Tavistock Road",7,376,187,0,20,3,4,38,635,7
,"The Terrace School, 164 Porangahau Road",5,257,140,1,11,4,0,19,437,4
,"Waipukurau School Hall, St Marys Road",14,628,350,0,34,12,2,41,1081,8
"Weber","Weber School, Dannevirke-Weber Road",2,123,3,0,8,0,0,1,137,0
"Whareama","Whareama School, 82 Langdale Road",7,113,37,3,15,2,0,4,181,0
"Woodville","Woodville School Hall, Vogel Street",23,411,327,1,81,12,3,40,898,10
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",7,166,165,6,33,3,1,10,391,18
,"Ordinary Votes BEFORE polling day",52,1412,767,22,147,9,5,115,2529,14
