Electorate Candidate and Party Votes Recorded at Each Polling Place
"West Coast-Tasman 60","Candidate Vote Details"
,,"AUCHINVOLE, Christopher John","HAGUE, Kevin Grant","O'CONNOR, Damien Peter","RICHARDS, Stephen Thomas","SMITH, Jocelyn Penelope","TERRY, Robert","TURNER, Reginald Eric John","WILKINSON, Steven Crawford George","Total Valid Candidate Votes","Informal Candidate Votes"
"Ahaura","Awahono School, 20 Napoleon Street",104,0,31,0,0,0,0,2,137,0
"Appleby","Appleby School, Moutere Highway",211,16,121,4,3,0,0,2,357,2
"Arahura","Arahura Whare Wananga, State Highway 6",46,4,36,0,0,1,0,0,87,0
"Atarau","Atarau Moonlight Hall, Atarau Road",50,1,21,0,1,0,0,0,73,0
"Bainham","Bainham Public Hall, Cooks Road",33,4,22,1,0,0,1,1,62,0
"Barrytown","Barrytown School, State Highway 6",27,7,36,0,0,1,0,1,72,0
"Blackball","Blackball Fire Station, Hilton Street",55,9,84,1,3,1,0,4,157,1
"Blacks Point","Blacks Point Museum, Franklyn Street",26,3,24,0,2,0,0,0,55,0
"Brightwater","Brightwater School, 106 Ellis Street",170,19,88,3,4,0,1,5,290,5
"Bruce Bay","Bruce Bay Hall, State Highway 6, South Westland",39,0,19,0,0,0,0,0,58,1
"Camerons","Bill Maher Hall, Main South Road",71,5,44,2,1,0,0,1,124,0
"Carters Beach","Carters Beach Hall, Marine Parade",128,14,149,0,3,0,0,0,294,1
"Charleston","Charleston Hall, Coastal Road (State Highway 6)",51,4,36,1,0,0,0,0,92,4
"Cobden","Bowling Club Rooms, 84a Ward Street",59,8,75,1,2,0,0,0,145,1
,"Cobden School, Fox Street",300,35,355,5,4,1,1,16,717,7
"Collingwood","Collingwood Memorial Hall, Tasman Street",147,16,111,2,2,0,0,7,285,5
"Dobson","Paparoa Range School, Herald Street",143,2,97,4,1,0,1,6,254,3
"Dovedale","Dovedale School, Wakefield, Thorpe",86,28,64,1,3,1,0,3,186,0
"Dunollie","Dunollie St John's Hall, corner Bute & Inverness Streets",72,4,88,2,1,1,0,3,171,4
"Fox Glacier","Fox Glacier School, Cook Flat Road",56,4,44,1,1,0,0,0,106,0
"Foxhill","Lord Rutherford Hall, State Highway",153,6,84,1,1,0,0,2,247,3
"Franz Josef","Franz Josef Community Centre, Main Road State Highway 6",67,18,79,0,1,0,0,4,169,4
"Granity","Granity School, 83 Torea Street",34,17,90,2,1,0,0,4,148,1
"Greymouth","Blaketown School, 90 Blake Street",186,3,188,3,7,0,2,10,399,12
,"Grey Base Hospital, High Street",39,13,66,1,0,0,0,0,119,2
,"Grey Main School, Joyce Crescent",234,17,183,0,4,1,0,4,443,6
,"Grey United Tennis Club, Shakespeare Street",272,20,211,1,9,1,1,10,525,6
,"Karoro Learning Centre, 180 Tainui Street",263,20,235,5,5,0,0,8,536,4
,"Karoro School, Main South Road",258,6,110,2,2,1,0,4,383,4
,"Regent Theatre, corner MacKay & Herbert Streets",193,22,135,0,4,1,1,18,374,1
"Haast","Haast Rescue Centre, Pauareka Road",44,3,18,1,0,0,0,1,67,1
,"Haast School, Hannahs Clearing",53,2,21,0,0,0,0,0,76,1
"Hari Hari","Sth Westland Area School, Wanganui Flat Road",147,5,39,1,1,0,1,4,198,2
"Hector","Ngakawau Domain Hall, Main Road",38,8,92,1,4,0,1,3,147,3
"Hokitika","Church of Christ Hall, corner Sale & Stafford Streets",234,16,148,2,3,0,1,3,407,7
,"Regent Theatre, Reynolds  Room, Tancred Street",219,27,191,1,6,3,0,4,451,2
,"St Mary's Primary School, Sewell Street",230,16,199,2,4,0,0,5,456,5
,"Westland High School, Sale Street",273,18,247,3,5,0,2,3,551,2
"Ikamatua","Ikamatua Hall, State Highway 7",151,5,32,0,2,1,1,1,193,0
"Inangahua","Inangahua Junction School, Main Road",28,7,18,0,0,0,0,3,56,2
"Kaiata","Kaiata Hall, Golf Links Road",81,5,49,2,2,0,0,5,144,2
"Kaiteriteri","Kaiteriteri Fire Station, Inlet Road",83,17,67,2,0,0,0,0,169,0
"Kaniere","Kaniere School, 16 Camp St",147,5,91,2,2,0,0,3,250,2
"Karamea","Karamea Area School, Waverley Street",135,28,112,6,3,0,1,4,289,1
"Kokatahi","Kokatahi/Kowhitirangi School, Kokatahi Road",102,1,21,0,0,0,0,1,125,0
"Kowhitirangi","Kowhitirangi Hall, Kowhitirangi Road",68,1,17,1,0,0,0,2,89,0
"Kumara","Kumara Memorial Hall, Main Road",91,21,102,1,2,0,0,5,222,2
"Lake Rotoiti","Lake Rotoiti School, St Arnaud",65,5,43,0,4,0,0,0,117,0
"Little Wanganui","Little Wanganui Hall, State Highway 67",39,5,33,0,2,0,0,2,81,1
"Lower Moutere","Lower Moutere School, School Road",193,33,169,4,0,0,0,3,402,6
"Mangarakau","The Nugget Cafe, Dry Road",16,2,17,0,0,0,0,0,35,0
"Mapua","Mapua School, 4 Stafford Drive",560,106,461,22,6,0,2,16,1173,9
"Marahau","Marahau Fire Station Hall, Sandy Bay-Marahau Road",35,19,66,2,0,1,0,1,124,1
"Maruia","Maruia School, Station Creek, Highway 65",46,1,10,0,0,0,0,1,58,0
"Moana","Lake Brunner School, Ahau Street",90,2,39,2,0,0,0,1,134,1
"Motueka","Motueka South School, 450 High Street",333,41,405,4,7,0,3,10,803,6
,"Parklands School, Technology Building, 9-19 Pah Street",522,83,775,20,5,1,1,26,1433,19
