Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wigram 63","Candidate Vote Details"
,,"ALEXANDER, Marc Antonius","ANDERTON, James Patrick","CAMERON, Lindsay Angus","CAMPBELL, Steven Robert","DOWIE, Thomas William","EBBORN-GILLESPIE, Erin Mai","GARDINER, Matthew","HANSEN, Christopher Michael","MORGAN, Benjamin James","RING, John Charles","ROBERTS, Vanessa Joy","TAYLOR, Peter","Total Valid Candidate Votes","Informal Candidate Votes"
"Addington","Addington School, 22 Brougham Street",122,252,4,8,0,81,10,0,0,1,1,34,513,10
,"Kidsfirst Kindergarten, 366 Selwyn Street",55,143,4,5,0,49,6,1,0,0,0,27,290,4
,"Sacred Heart Parish Library, 40 Spencer Street",102,235,10,9,1,93,4,1,2,2,4,33,496,2
"Avonhead","Avonhead Kindergarten, 49 Staveley Street",105,68,3,1,0,22,5,0,0,0,0,6,210,6
,"Avonhead Primary School Hall, 55 Avonhead Road",98,92,3,3,1,44,3,0,0,0,2,12,258,0
,"Merrin School Hall, 41 Merrin Street",292,116,3,8,0,41,7,0,0,0,0,18,485,8
,"St Christopher's Anglican Church, Warren Hall, 244 Avonhead Road",28,12,4,0,0,1,1,0,1,0,0,5,52,0
,"St Mark's Presbyterian Church, Sports Hall, 150 Withells Road",270,119,2,6,0,49,2,0,0,0,0,11,459,6
"Beckenham","Beckenham School, 71 Sandwich Road",8,16,0,1,0,9,0,0,0,0,0,4,38,0
,"St Peter's Parish Centre, 11a Fisher Avenue",42,69,1,0,0,20,3,0,0,0,2,14,151,2
,"Thorrington School Hall, 22a Colombo Street South",38,44,1,0,0,14,0,0,0,0,0,15,112,1
"Cashmere","Princess Margaret Hospital, 97 Cashmere Road, Entrance 4",198,246,3,6,1,67,6,0,0,1,1,33,562,11
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",15,25,2,0,0,8,0,1,0,0,0,8,59,1
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",6,11,0,0,0,8,0,0,1,0,0,7,33,0
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",9,33,0,2,1,21,1,0,0,0,0,5,72,0
"Fendalton","Christchurch Boys' High School, Big Room, Straven Road at Te Kura Street",17,10,0,1,0,6,0,0,0,0,0,0,34,0
"Halswell","St Mary's Anglican Church Hall, 329 Halswell Road",74,63,2,1,2,30,3,0,0,0,0,14,189,1
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",130,247,3,4,0,77,2,0,0,1,1,9,474,8
,"Kids First Kindergarten, Wycola Avenue",98,259,4,9,0,85,4,1,0,0,1,20,481,9
,"St Aidan's Church Hall, 173 Buchanans Road",124,287,1,16,0,152,2,1,3,0,3,33,622,7
"Hillmorton","Kids First Kindergarten, 14 Torrens Road",71,136,2,4,0,55,3,0,0,0,2,16,289,3
,"Rowley School, 48 Rowley Avenue",77,290,8,5,1,134,0,0,1,2,7,19,544,6
,"Spreydon School, 2 Halswell Road",176,288,8,8,1,66,5,0,0,0,8,17,577,7
"Hoon Hay","Hillmorton High School, Recreation Hall, Tankerville Road",94,230,1,4,0,43,1,1,0,2,3,15,394,6
,"Hoon Hay Presbyterian Church Hall, 5 Downing Street",145,304,7,5,0,65,6,0,1,0,3,17,553,5
,"Hoon Hay School Library, 91 Sparks Road",329,584,12,8,0,118,11,1,1,0,8,62,1134,17
,"Manning Intermediate, 50 Hoon Hay Road",118,215,11,3,1,67,8,0,1,0,4,25,453,3
"Hornby","Branston Intermediate, 35 Amyes Road",281,480,11,15,0,177,10,2,2,1,3,49,1031,8
,"Garage, 66 Blankney Street",86,177,4,9,0,51,1,0,0,0,5,7,340,3
,"Hornby Library, Goulding Avenue",110,239,9,7,0,95,3,1,0,0,1,12,477,7
,"Hornby School, Te Puna Centre, 190 Waterloo Road",167,278,2,19,1,125,3,1,0,0,1,21,618,10
,"South Hornby School, Shands Road",118,225,1,3,1,79,4,1,0,1,1,17,451,1
,"St Columba's Church Hall, 452 Main South Road",90,182,4,9,0,66,4,0,1,0,0,8,364,6
"Ilam","Ilam School Hall, 66 Ilam Road",101,73,4,1,0,51,8,0,0,0,3,30,271,3
"Oaklands","Oaklands School, Cunningham Place",10,18,0,1,0,8,0,0,1,0,0,1,39,0
"Riccarton","Christchurch Family Baptist Hall, 5 Centennial Avenue",134,170,4,10,2,78,3,0,2,1,4,29,437,8
,"NZ Blood Donor Service, 87 Riccarton Road",251,202,2,8,0,113,14,0,5,1,4,47,647,7
,"St Ninian's Presbyterian Church Hall, 9 Puriri Street",63,79,2,4,0,26,3,0,0,0,2,11,190,8
,"Wharenui School, 32 Matipo Street",312,391,14,13,3,230,14,1,3,4,11,61,1057,9
"Russley","Russley School, 75 Cutts Road",586,457,8,7,1,119,18,1,1,0,8,49,1255,10
,"St Stephen's Methodist Church, 376 Yaldhurst Road",251,206,2,9,0,62,4,0,0,0,5,11,550,5
"Sockburn","Portacom Building Solutions, 65 Buchanans Road",136,210,1,9,0,55,7,1,0,0,3,8,430,7
,"Sockburn School, 34 Springs Road",389,501,8,16,4,204,9,1,0,2,14,56,1204,6
,"Sockburn Service Centre, 149 Main South Road",112,177,5,7,1,66,4,1,1,0,1,17,392,3
"Somerfield","Cashmere High School, Rose Street",197,261,7,3,0,53,9,1,0,0,3,36,570,2
,"Somerfield School, 42 Studholme Street",323,562,10,7,0,109,7,0,0,2,3,79,1102,9
"Spreydon","Christchurch South Intermediate, 204 Selwyn Street",249,560,9,7,4,124,13,1,2,1,3,91,1064,9
,"Spreydon Baptist Church, 51 Cobham Street",199,434,15,9,0,92,9,0,0,1,9,43,811,8
,"St James Presbyterian Hall, corner Barrington & Bewdley Streets",242,479,9,18,2,101,4,0,0,1,8,42,906,9
,"St Martins Church, Neave Room, 50 Lincoln Road",91,217,5,7,0,51,2,0,2,0,3,15,393,6
,"St Nicholas Church Hall, 231 Barrington Street",159,339,6,14,0,88,5,1,0,1,4,23,640,14
,"Te Kura Kaupapa Maori O Te Whanau Tahi, 81 Lyttelton Street",74,146,1,3,0,16,1,0,0,0,4,9,254,1
,"West Spreydon School Llibrary, 147 Lyttelton Street",180,367,11,5,3,98,4,0,3,0,7,28,706,5
"Sydenham","St Saviours Anglican Hall, 200 Colombo Street",39,74,0,5,0,16,2,0,0,1,0,15,152,3
"Templeton","Templeton Primary School, 40 Kirk Road",6,15,0,2,0,7,0,1,0,0,0,0,31,0
"Upper Riccarton","Canterbury Table Tennis Stadium, Foyer, 294 Blenheim Road",45,56,1,0,0,19,2,0,0,0,0,6,129,2
,"Middleton Grange School, 50 Acacia Avenue",168,200,5,4,0,55,6,1,5,0,3,25,472,9
,"Riccarton High School, corner Curletts Road & Vicki Street",86,179,1,0,2,54,2,0,5,1,3,26,359,8
,"Riccarton Primary School, corner Main South Road & English Street",189,226,8,15,1,88,12,1,2,0,4,14,560,8
,"St Thomas of Canterbury College, 69 Middlepark Road",195,228,4,4,1,48,5,0,0,2,5,16,508,2
,"Villa Maria College Hall, Brodie Street entrance",59,59,0,2,0,22,2,1,0,0,1,7,153,4
"Yaldhurst","Yaldhurst Memorial Hall, corner Yaldhurst & Pound Roads",11,9,0,0,1,2,0,0,0,0,1,5,29,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",265,289,6,28,3,156,1,1,2,1,8,12,772,61
,"Ordinary Votes BEFORE polling day",784,1012,10,32,5,352,18,0,2,0,10,103,2328,25
,"Special Votes BEFORE polling day",11,19,0,2,0,11,0,0,0,0,1,2,46,0
,"Special Votes On polling day",822,1006,30,36,10,567,48,3,4,2,17,249,2794,27
,"Overseas Special Votes including defence force",121,124,3,4,1,55,1,0,1,0,6,43,359,4
,"Wigram Total",10553,15320,321,471,55,5214,355,28,55,32,219,1802,34425,440
,,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34865
"Electorate Candidate Valid Votes","Party",,"ANDERTON, James Patrick - majority 4767"
"ALEXANDER, Marc Antonius",National Party,10553,.306550472
"ANDERTON, James Patrick",Jim Anderton's Progressive,15320,.4450254176
"CAMERON, Lindsay Angus",Kiwi Party,321,.0093246187
"CAMPBELL, Steven Robert",New Zealand First Party,471,.0136819172
"DOWIE, Thomas William",Alliance,55,.0015976761
"EBBORN-GILLESPIE, Erin Mai",Labour Party,5214,.151459695
"GARDINER, Matthew",ACT New Zealand,355,.0103122731
"HANSEN, Christopher Michael",NZ Economic Euthenics Party,28,.0008133624
"MORGAN, Benjamin James",Libertarianz,55,.0015976761
"RING, John Charles",Democrats for Social Credit,32,.000929557
"ROBERTS, Vanessa Joy",United Future,219,.0063616558
"TAYLOR, Peter",Green Party,1802,.052345679
