Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauauru 67","Candidate Vote Details"
,,"MASON, Errol Turuki","TURIA, Tariana","Total Valid Candidate Votes","Informal Candidate Votes"
,Mana
"Ascot Park","Rangikura School, 95 Conclusion Street",39,76,115,0
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",50,89,139,5
,"Glenview School, 106 Bedford Street",16,29,45,2
,"Maraeroa School, 47 Driver Crescent",19,31,50,2
,"Russell School, 18 Fantame Street",23,35,58,5
"Elsdon","Porirua School, 1 Awarua Street",56,163,219,2
"Kenepuru","Kenepuru Community Hospital, Hospital Drive",4,21,25,1
"Linden","Greenacres School, 60 Raroa Terrace",2,4,6,0
,"Linden School, 60 Ranui Terrace",6,7,13,0
,"Linden Social Centre, 10 Linden Avenue",14,35,49,1
,"Tui Park Kindergarten, 12b Mexted Terrace",12,23,35,1
"Mana","St Barnabas' Church Hall, 106a Mana Esplanade",11,39,50,1
"Paekakariki","Paekakariki School, Wellington Road",12,45,57,0
,"St Peter's Hall, Beach Road",19,11,30,0
"Papakowhai","New Zealand Police Museum, The Royal New Zealand Police College, Papakowhai Road",7,18,25,3
,"Papakowhai School, 17 Spey Place",4,14,18,2
"Paraparaumu","Paraparaumu School, Ruapehu Street",16,36,52,9
"Paremata","Paremata School, 35 Paremata Crescent",8,20,28,0
"Pauatahanui","Stout Cottage, Pauatahanui Wildlife Reserve, 5 Pauatahanui Hill Road",2,16,18,1
"Plimmerton","Plimmerton School, School Road",11,8,19,0
,"St Paul's Presbyterian Church, Cluny Road, Karehana Bay",10,37,47,0
,"St Theresa's School, James Street",0,8,8,0
"Porirua","Porirua Employment Hub, Asset Finance Building, 6 Hagley Street",16,35,51,1
,"Whitireia Community Polytechnic, Wineera Drive",29,74,103,1
"Porirua East","Porirua East School, 8 Martin Street",49,116,165,11
,"Windley School, 146 Mungavin Avenue",36,63,99,1
"Pukerua Bay","Pukerua Bay School, 89 Rawhiti Road",12,30,42,0
"Raumati Beach","Raumati Beach School, Raumati Road",12,37,49,1
,"Real Life Hall, 1 Kowhai Street",3,13,16,0
"Raumati South","Raumati South Returned Services War Memorial Hall, Tennis Court Road",10,31,41,1
,"Raumati South School, Matai Road",5,15,20,1
"Titahi Bay","Garage, 99 Gloaming Hill",20,52,72,1
,"Ngati Toa School, Piko Street",23,63,86,1
,"Niblick Hall, Niblick Lane",44,89,133,3
,"Titahi Bay Intermediate School, Kahutea Terrace",34,129,163,3
,"Titahi Bay North School, 47 Jillett Street",31,63,94,5
,"Titahi Bay School, 11 Kura Street",27,42,69,3
"Waitangirua","Corinna School, 36 Kalingo Street",20,43,63,4
,"Natone Park School, 6 Kokiri Crescent",31,57,88,1
,"Te Kura Maori o Porirua, 392 Warspite Avenue",18,70,88,3
"Whitby","Discovery School, Pullen Lane",8,19,27,1
,"Postgate School, 6 Staithes Drive North",13,29,42,1
,"The Anchor, 1 Joseph Banks Drive",9,12,21,1
,"The Bradey Room, Civic Centre, Discovery Drive",4,6,10,0
,New Plymouth
"Bell Block","Bell Block School Library, 957 Devon Road",18,41,59,5
,"Fred Tucker Memorial Community Centre, 130 Parklands Ave",22,28,50,3
,"Puketapu School Hall, 2 Dillon Drive",19,38,57,1
"Glen Avon","Glen Avon Hall, 23 Alberta Road",4,8,12,1
"Lepperton","Lepperton School, corner Richmond Road & Whitcombe Street",3,3,6,0
"Mangorei","Mangorei School Hall, 496 Mangorei Road",1,8,9,0
"New Plymouth","Air Training Corps Rooms, 367a Carrington Street",3,6,9,1
,"Blind Foundation, 131 Vivian Street",4,10,14,1
,"Boys' High School, Pridham Hall, 97 Eliot Street",5,18,23,0
,"Central School Hall, 49 Pendarves Street entrance",9,20,29,0
,"Fitzroy Hall, 45 Sackville Street",7,39,46,2
,"Frankleigh Park Kindergarten, 147a Govett Avenue",0,5,5,1
,"Girls' High School 7th Form Study, main entrance, 42 Mangorei Road",0,25,25,3
,"Holy Trinity Church Hall, 8 Henui Street",4,6,10,1
,"Marfell School Hall, 92a Omata Road entrance",13,44,57,2
,"Merrilands School Hall, 7 Kauri Street",12,22,34,5
,"Moturoa School, 43 Pioneer Road",11,18,29,1
,"Onuku Taipari Hall, 134 Ngamotu Road",19,39,58,1
,"Spotswood College Library, 129 South Road",9,22,31,2
,"Spotswood Primary School Hall, 177 South Road",7,19,26,0
,"St Chad's Church Hall, 12 Omata Road",12,29,41,1
,"St James Presbyterian Hall, 24 Lawry Street",27,29,56,7
,"St John Rooms, 318 St Aubyn Street",6,9,15,1
,"St Joseph’s Community Centre, 147 Devon Street West",6,27,33,0
,"St Pius X School, 120 Brooklands Road",8,15,23,2
,"Taranaki Base Hospital, Clinical Skills Lab., Lyn Street entrance",7,19,26,3
,"Taranaki Disability Resource Centre, 28 Young Street",3,10,13,0
,"Vogeltown School Hall, 35 Huatoki Street",9,21,30,1
,"Welbourn School Hall, Welbourn Terrace entrance",9,20,29,3
,"West End School, 12 Davies Lane",5,19,24,1
,"Westown School Hall, 41 Sanders Avenue",19,74,93,6
,"Woodleigh School Hall, 93 Brois Street",6,11,17,2
"Oakura","Oakura School, 16 Donnelly Street",3,13,16,1
"Okato","Coastal Taranaki School, 88 Carthew Street",4,19,23,1
"Waitara","Owae Marae, 16 North Street",42,121,163,5
,"Waitara Central School Hall, 18 Cracroft Street",29,68,97,5
,"Waitara High School Hall, 16 Princess Street",33,54,87,2
,"Waitara West Kindergarten, 16 Wood Street",28,59,87,0
,Ohariu
"Grenada North","Grenada North Club Rooms, Nassau Avenue",5,19,24,0
"Tawa","Garage, 127 Taylor Terrace",2,3,5,1
,"Garage, 16 St Catherines Terrace",1,4,5,2
,"Hampton Hill School, Victory Crescent",14,13,27,0
,"New Life Church Hall, 236 Main Road",11,21,32,2
,"Redwood School, 69a Redwood Avenue",8,9,17,0
,"Tawa School, 6 Oxford Street",4,25,29,1
,Otaki
"Foxton","Coley Street School, Coley Street",22,31,53,0
,"Foxton Primary School, Park Street",45,86,131,7
"Foxton Beach","Foxton Beach Primary School, 10 Carthew Terrace",20,14,34,1
"Ihakara","Ihakara Public Hall, corner Tavistock Road & State Highway 57",2,13,15,0
"Levin","Fairfield School, 89 MacArthur Street",12,26,38,3
,"Horowhenua College, 63-73 Weraroa Road",33,94,127,3
,"Levin Baptist Church, 17-19 Rugby Street",5,19,24,1
