Electorate Candidate and Party Votes Recorded at Each Polling Place
"Coromandel 7","Candidate Vote Details"
,,"BASSETT, Raymond George","GOUDIE, Sandra Anne","KININMONTH, Hugh Gerrard","REDWOOD, James Nelson","RUREHE, Hugh Telford","Total Valid Candidate Votes","Informal Candidate Votes"
"Athenree","Athenree Fire Brigade Hall, 43 Roretana Drive",1,269,91,46,0,407,8
"Bethlehem","Baptist Church Hall, 90 Bethlehem Road",3,26,3,0,1,33,0
"Colville","Colville School, 2391 Main Road",2,81,34,44,2,163,2
"Cooks Beach","Cooks Beach Community Centre, corner Purangi Road & Rees Avenue",0,154,38,29,3,224,1
"Coroglen","Coroglen School, 10 Rangihau Road",2,122,16,29,6,175,0
"Coromandel","Coromandel Area School, 120 Woollams Avenue",11,459,206,154,10,840,9
"Elstow","Elstow-Waihou Combined School, 355 Bowler Road",5,178,31,11,0,225,3
"Hahei","Hahei Community Centre, Hahei Beach Road",7,133,32,52,0,224,0
"Hikutaia","Hikutaia Public Hall, Paeroa Kopu Road (State Highway 26)",2,240,38,31,3,314,2
"Kaihere","Kaihere School, State Highway 27",8,169,18,10,1,206,0
"Katikati","Katikati Christian Centre, 11-13 Henry Road",26,998,237,146,26,1433,12
,"Katikati Primary School, 24 Beach Road",27,1498,417,232,26,2200,25
"Kauaeranga","Kauaeranga Hall, 437 Kauaeranga Valley Road",3,70,33,29,1,136,2
"Kennedy Bay","Te Kura Kaupapa Maori O Harataunga School, 1416 Kennedy Bay Road",0,19,23,8,0,50,0
"Kerepehi","Kerepehi School, McGowan Avenue",2,145,47,15,3,212,2
"Kopuarahi","Kopuarahi School, corner State Highway 25 & Bush Road",2,159,13,15,2,191,0
"Kuaotunu","Kuaotunu Hall, corner Black Jack & Irish Town Roads",5,135,41,75,2,258,1
"Manaia","Manaia School,  22 Goldfields Road",0,1,14,14,0,29,0
"Manawaru","Manawaru School, 442 Manawaru Road",7,209,25,20,3,264,1
"Matarangi","Matarangi Fire Station, Matarangi Drive",3,142,23,6,1,175,1
"Netherton","Netherton School, Old Netherton Road",8,190,19,7,1,225,2
"Ngatea","Ngatea School, 52 Orchard West Road",20,692,150,41,4,907,18
"Opoutere","Opoutere School, State Highway 25",3,97,30,27,0,157,1
"Paeroa","Miller Avenue School, 30 Miller Avenue",10,322,169,51,3,555,8
,"Paeroa Memorial Hall, 144 Normanby Road (State Highway 2)",31,731,425,107,13,1307,19
"Pauanui Beach","Pauanui Sport & Recreation Club, 31 Sheppard Avenue",2,393,50,46,1,492,8
"Puriri","Puriri School, 12 Puriri Valley Road",7,218,42,18,2,287,3
"Springdale","Springdale School, 994 No. 1 Road",10,152,19,9,0,190,1
"Tahuna","Tahuna School, 43 Tahuna-Ohinewai Road",16,266,40,17,3,342,5
"Tairua","Tairua School, 110 Main Road",8,358,117,111,7,601,4
"Tapu","Tapu Primary School, 719 Thames Coast Road",7,142,66,39,2,256,4
"Tararu","Tararu Cultural Centre, State Highway 25",3,226,108,36,3,376,9
"Tatuanui","Tatuanui School, State Highway 27",9,172,20,7,4,212,1
"Tauhei","Tauhei Combined School, 860 Tauhei Road",0,54,13,4,0,71,0
"Te Aroha","Contract Bridge Rooms, 105 Whitaker Street",13,229,137,30,8,417,12
,"Stanley Avenue School, 59-63 Stanley Avenue",21,454,216,68,4,763,12
,"Te Aroha Primary School, corner Whitaker Street & Jubilee Avenue",28,453,291,77,9,858,14
"Te Puru","Te Puru Community Centre, West Crescent",5,282,147,63,3,500,5
"Te Rerenga","Te Rerenga School, 1227 State Highway 25",1,45,17,13,0,76,0
"Thames","Moanataiari School, 101 Kuranui Street",2,204,123,54,7,390,3
,"Parawai School, 106 Lowe Avenue",6,282,115,66,1,470,4
,"Thames Civic Centre, 200 Mary Street",12,467,249,98,11,837,9
,"Thames High School, 300 Sealey Street",13,384,234,89,5,725,6
,"Thames South School, corner Grey & Rolleston Streets",8,439,240,96,2,785,8
"Turua","Turua School, Hauraki Road",8,322,60,34,2,426,8
"Waihi","Waihi Central School, Moresby Avenue",11,337,233,131,6,718,14
,"Waihi East School, 6-8 Donnelly Street",8,311,164,70,12,565,9
,"Waihi Memorial Hall, 41 Seddon Street",22,627,400,183,21,1253,23
"Waihi Beach","Waihi Beach School, Hillview Road",14,658,248,112,10,1042,18
"Waihou","Waihou Community Hall, Waihou Road (State Highway 26)",13,238,48,26,4,329,2
"Waikino","Victoria Hall, Main Road (State Highway 2)",1,141,64,63,8,277,1
"Waitakaruru","Waitakaruru School, Canal West Road (State Highway 25)",5,239,37,16,0,297,3
"Waitoa","Waitoa School, Main Road (State Highway 26)",12,146,60,15,3,236,0
