Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hamilton East 13","Candidate Vote Details"
,,"BENNETT, David Allister","JACKSON, Robyn Louise","KINGSBURY, Warren Bruce","McKENZIE, Carolyn Lee","MALLETT, Garry Bruce","MARRYATT, Nicholas John","SCHOENBERGER-ORGAD, Sehai","STEWART, Gordon James","Total Valid Candidate Votes","Informal Candidate Votes"
"Cambridge","Cambridge Primary School, corner Wilson & Duke Streets",16,0,0,0,0,2,2,0,20,0
"Chartwell","Chartwell Cooperating Parish Hall, corner Comries Road & Belmont Avenue",988,54,5,3,20,69,520,40,1699,35
,"Hukanui School, corner Hukanui Road & Pickering Crescent",1345,32,8,1,15,70,449,32,1952,23
"Claudelands","Peachgrove Intermediate School, 72 Peachgrove Road",235,10,5,5,1,42,183,9,490,16
,"Southwell School, 200 Peachgrove Road",517,22,6,6,9,44,245,18,867,13
,"St Aidans Parish Hall, 24 Thames Street",397,23,3,1,5,55,356,13,853,15
"Enderley","Te Kura Kaupapa Māori O Te Ara Rima School, 31 Fifth Avenue",170,20,3,0,0,29,221,29,472,10
"Fairfield","Fairfield Baptist Church, 1101 Heaphy Terrace",135,9,1,0,0,22,167,12,346,13
,"Fairfield College, 25 Bankwood Road",204,17,4,0,4,31,159,8,427,9
,"Fairfield Intermediate School, 261 Clarkin Road",230,16,1,0,0,28,238,24,537,14
,"Insoll Avenue School, 95 Insoll Avenue",355,13,3,0,2,40,400,41,854,28
,"Wesley Methodist Hall, 955 Heaphy Terrace",185,13,3,0,4,43,256,17,521,17
,"Woodstock Primary School, Fairfield Road",520,23,1,0,9,31,228,8,820,10
"Flagstaff","Alandale Retirement Village, 1199 River Road",1309,50,3,0,16,58,334,41,1811,32
"Frankton","Frankton School Hall, 206 Massey Street",10,0,0,0,0,2,7,0,19,0
"Hamilton City","Hamilton City Council, Garden Place",80,1,1,1,0,16,75,5,179,1
"Hamilton East","Air Training Corps Hall, corner Naylor & Dey Streets",405,23,3,3,4,58,326,12,834,10
,"Graceways Church, 69 Grey Street",214,19,0,3,2,35,176,14,463,6
,"Hamilton East Primary School, Dawson Street",263,10,4,1,8,37,224,13,560,22
,"Knox Presbyterian Hall, 48 Albert Street",415,23,3,2,5,99,414,26,987,15
,"Marian Catholic School, 119 Firth Street",399,24,2,0,6,43,307,20,801,18
"Hamilton West","Hamilton West School, 36 Hammond Street",17,0,0,0,1,1,9,1,29,1
,"Waikato Hospital, Fracture Clinic reception, Pembroke Street",47,0,0,0,0,5,23,2,77,2
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",707,25,6,1,4,76,425,23,1267,22
,"Knighton Normal School, Knighton Road",501,28,16,3,10,90,477,23,1148,18
"Horotiu","Horotiu School, Horotiu Bridge Road",10,0,0,0,0,2,6,0,18,0
"Pukete","Pukete School, 100 Pukete Road",50,2,0,0,2,2,23,2,81,0
"Rototuna","Chapel Hill Community Church, 2 Cate Road",1109,42,0,2,12,30,309,28,1532,24
,"Rototuna Primary School, 23 Strathmore Drive",1655,40,5,1,16,70,480,37,2304,25
"Rototuna North","Te Totara Primary School, 31 Hector Drive",784,18,3,0,7,24,220,8,1064,14
"Silverdale","Hillcrest High School, Masters Avenue",439,20,15,0,5,62,396,34,971,20
"St Andrews","Vardon School, 36 Cunningham Road",16,0,0,0,0,1,1,0,18,1
"Whangamata ","Whangamata Memorial Hall, 328 Port Road",48,1,0,0,1,4,7,1,62,1
"Whitiora","Whitiora School, 38 Willoughby Street",26,0,0,0,0,2,12,1,41,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Hamilton East",2634,95,14,14,35,176,1214,164,4346,112
,"Ordinary Votes BEFORE polling day - Taken in Hamilton West",398,20,2,1,8,34,242,21,726,10
,"Special Votes BEFORE polling day",232,9,3,0,2,41,148,18,453,9
,"Special Votes On polling day",1314,44,12,5,16,203,838,51,2483,68
,"Overseas Special Votes including Defence Force",126,6,2,1,1,20,113,1,270,1
,"Hamilton East Total",18505,752,137,54,230,1697,10230,797,32402,636
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33038
"Electorate Candidate Valid Votes","Party",,"BENNETT, David Allister - majority 8275"
"BENNETT, David Allister",National Party,18505,.5711067218
"JACKSON, Robyn Louise",Conservative Party,752,.0232084439
"KINGSBURY, Warren Bruce",Pirate Party of New Zealand,137,.0042281341
"McKENZIE, Carolyn Lee",Democrats for Social Credit,54,.0016665638
"MALLETT, Garry Bruce",ACT New Zealand,230,.0070983273
"MARRYATT, Nicholas John",Green Party,1697,.0523733103
"SCHOENBERGER-ORGAD, Sehai",Labour Party,10230,.3157212518
"STEWART, Gordon James",New Zealand First Party,797,.0245972471
