Electorate Candidate and Party Votes Recorded at Each Polling Place
"Invercargill 19","Candidate Vote Details"
,,"CARLINE, Ian Allan","de RUYTER, Stephnie Jane","KENNEDY, David John","PLEASANCE, Shane","ROY, Eric Wilbur","SOPER, Lesley Frances","Total Valid Candidate Votes","Informal Candidate Votes"
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",0,0,4,0,26,8,38,0
"Bluff","Bluff Community School, 39 Bradshaw Street",3,2,24,1,126,248,404,20
,"St Teresa's School, 181 Foyle Street",4,4,25,1,79,165,278,3
"Brydone","Brydone Hall, 12 Brydone-Glencoe Road",0,0,3,1,58,10,72,0
"Colac Bay","Colac Bay Fire Station, 16 Colac Bay Road",4,3,3,0,54,12,76,1
"Dacre","Dacre Coronation Hall, Edendale-Woodlands Highway",2,0,5,0,104,15,126,6
"Edendale","Edendale School, 24 Salford Street",6,3,21,1,280,71,382,22
"Frankton","St Margaret's Church, corner Kawarau Road & Ross Street",1,0,0,2,16,5,24,0
"Glenham","Glenham School, 22 Glenham School Road",2,0,1,0,74,5,82,0
"Gorge Road","Gorge Road School, 4 Factory Road",3,2,2,2,81,17,107,0
"Grove Bush","Grove Bush Hall, corner Grove Bush-Woodlands & Tussock Creek-Grove Bush Roads",4,2,5,0,77,15,103,0
"Hedgehope","Hedgehope School, 2250 Winton-Hedgehope Highway",2,2,2,1,75,2,84,3
"Invercargill","Ascot Community School Hall, 580 Tay Street",10,8,46,8,380,283,735,20
,"Aurora College, 234 Regent Street",4,6,24,0,107,187,328,6
,"CCS Disability Action Southland, 142 Don Street",3,3,18,2,100,95,221,7
,"Clarendon Kindergarten, 30 Waiau Place",4,7,24,2,64,149,250,9
,"Donovan Primary School, 200 Drury Lane",9,19,62,9,428,309,836,37
,"Eastside Baptist Church, corner Glengarry Crescent & Yarrow Street",5,10,41,3,184,258,501,24
,"Elles Road Bible Chapel, 198 Earn Street",4,11,59,4,226,369,673,25
,"Fernworth School Hall, 288 Pomona Street",2,18,69,5,302,557,953,27
,"Freedom Community Centre, 85 Adamson Crescent",0,8,35,1,104,128,276,10
,"Gladstone Scout Hall, corner Holywood Terrace & Russell Street",2,12,13,0,278,79,384,8
,"Grasmere Kindergarten, 10 Heywood Street",2,26,34,2,181,176,421,15
,"Holy Trinity Anglican Church Hall, 61 King Street",4,14,74,2,402,291,787,27
,"Invercargill Middle School Hall, 31 Jed Street",3,12,32,1,139,181,368,8
,"Invercargill Public Library, 50 Dee Street",1,10,60,0,125,127,323,8
,"James Hargest College Junior Campus, 6 Layard Street",3,12,53,2,459,154,683,13
,"James Hargest College Senior Campus, 288 Layard Street",2,6,33,1,282,133,457,11
,"Kew Kindergarten, 51 Selwyn Street",1,2,19,0,88,160,270,6
,"Knox Presbyterian Church Hall, 107 Pomona Street",3,11,47,0,181,294,536,19
,"Lindisfarne Kindergarten, 34 Mitchell Street",1,9,63,3,232,200,508,12
,"New River School Hall, 117 Elizabeth Street",3,9,36,1,133,218,400,18
,"Newfield Park School Hall, 82 Wilfrid Street",1,11,31,1,191,205,440,6
,"Newfield Public Hall, 707 Tweed Street",5,11,49,0,404,437,906,22
,"Pacific Island Advisory and Cultural Trust Southland, 135 Bowmont Street",2,4,14,1,31,107,159,6
,"Rosedale Gospel Chapel, 212 Bourke Street",2,6,24,0,195,103,330,4
,"Salford School Hall, 110 Lamond Street",2,5,26,4,302,135,474,9
,"Southland Girls' High School Hall, 328 Tweed Street",5,5,65,4,158,209,446,9
,"St Andrew's Youth Centre, 141 Manse Street",2,13,68,2,290,455,830,30
,"St John's Girls' School, 349 Dee Street",4,5,42,3,237,129,420,3
,"St John's Parish Hall, 108 Tay Street",2,4,23,5,102,108,244,6
,"St Joseph's School, 70 Eye Street",1,2,21,1,45,81,151,5
,"St Stephen's Church Hall, 290 North Road",10,20,56,1,603,345,1035,35
,"Waihopai School Hall, 121 Herbert Street",4,7,52,2,419,145,629,8
,"Waverley Park School, 55 Eden Crescent",3,3,27,1,117,117,268,6
,"Windsor Community Church (Presbyterian), 19 Windsor Street",5,19,53,5,503,205,790,20
,"Windsor North School Hall, corner Windsor & Chelmsford Streets",3,8,39,3,383,168,604,17
"Kennington","Kennington Public Hall, 21 Rimu Road",4,3,12,2,146,40,207,2
"Lochiel","Lochiel School, corner Lochiel Bridge & Smith Roads",1,5,7,0,119,4,136,2
"Makarewa","Makarewa School, 56 Flora Road East",3,11,27,3,389,144,577,11
"Mokoreta","Mokoreta-Redan Centennial Hall, 1725 Wyndham-Mokoreta Road",4,0,1,0,54,8,67,4
"Mokotua","Mokotua Public Hall, 12 Clearwater Road",12,2,4,0,119,22,159,5
"Myross Bush","Myross Bush Community Hall, 238 Mill Road",5,9,25,1,355,86,481,6
"Orepuki","Orepuki and Districts Community Centre, 32 Oldham Street",1,1,3,1,38,25,69,0
"Otatara","Otatara Primary School, Dunns Road",8,13,126,7,732,350,1236,40
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",0,1,5,0,21,7,34,0
"Rimu","Rimu School, 442 Rimu Road",4,3,12,0,80,31,130,3
"Riverton","Riverton Primary School Hall, 7 Leader Street",6,6,52,1,474,215,754,17
"Roslyn Bush","Roslyn Bush Playcentre, corner Kennington- Roslyn Bush Road & Lorne-Dacre Highway",1,2,2,0,79,12,96,0
"Ryal Bush","Ryal Bush Community Centre, 55 Ryal Bush School Road",5,0,8,1,90,26,130,1
"Seaward Downs","Seaward Downs Public Hall, cnr Edendale- Seaward Downs Rd & Mataura Island Highway",1,0,1,0,89,8,99,1
"Stewart Island","Halfmoon Bay School, 6 Ayr Street",2,3,33,0,95,31,164,3
"Te Anau","Te Anau School Hall, 167 Milford Road",0,0,5,0,51,11,67,3
"Te Tipua","Te Tipua School, State Highway 96",0,0,1,0,39,4,44,0
