Electorate Candidate and Party Votes Recorded at Each Polling Place
"Kaikōura 20","Candidate Vote Details"
,,"BROWNING, Steffan John","COLLYNS, Elizabeth Julia","EVANS, Richard Warwick","HAYES, Ian","KING, Colin McDonald","McCASKEY, John Stuart James","Total Valid Candidate Votes","Informal Candidate Votes"
"Amberley","Amberley School, 2 Lawcocks Road",45,90,1,2,323,12,473,15
,"Hurunui District Council, 66 Carters Road",81,129,2,4,436,13,665,20
"Ashley","Ashley School, corner Boundary & Fawcetts Roads",56,68,5,1,406,10,546,20
"Balcairn","Balcairn Hall, 4 Ashbys Road",26,24,4,0,166,5,225,5
"Blenheim","Alzheimers Centre, 8 Wither Road",48,224,7,2,341,6,628,28
,"Baptist Church Hall, 8 Beaver Road",46,161,13,1,294,3,518,15
,"Bohally Intermediate School Hall, 37-49 McLauchlan Street",84,190,4,2,292,6,578,14
,"Bright Centre, 2 Dillons Point Road",39,126,2,2,173,3,345,14
,"Marlborough Boys' College Pavilion, Francis Street",111,320,13,3,540,5,992,23
,"Mayfield School Hall, 79 Hutcheson Street",56,209,7,5,302,5,584,18
,"Nativity Anglican Church Hall, 76 Alfred Street",39,113,7,0,157,2,318,7
,"NMIT Marlborough Campus, Room E1, 85 Budge Street",38,232,7,4,225,4,510,32
,"Redwoodtown School, 88-92 Cleghorn Street",204,794,34,4,970,11,2017,86
,"Salvation Army Hall, 35 George Street",35,150,6,0,146,1,338,8
,"Springlands School Hall, Aston Street",114,334,29,3,787,7,1274,36
,"St Mark's Hobbies Room, 61 Main Street",27,96,3,1,128,4,259,12
,"St Ninian's Church Hall, corner Alabama Road & Riley Crescent",52,238,5,0,379,5,679,33
,"Whitney Street School Hall, Whitney Street",68,241,15,1,341,4,670,18
,"Witherlea School Hall, Upper Weld Street",93,270,12,2,584,9,970,29
"Broomfield","Broomfield School, 115 Mt Brown Road",16,14,3,0,131,7,171,3
"Canvastown","Canvastown School, 5044 State Highway 6",24,37,3,3,77,1,145,3
"Cheviot","Knox Church Hall, 13 Reeves Street",43,73,3,0,244,4,367,9
