Electorate Candidate and Party Votes Recorded at Each Polling Place
"Māngere 22","Candidate Vote Details"
,,"COSTELLO, Cassandra Jane","GAGAMOE, Fa'avae Cherry","HAUITI, Claudette","ILALIO, Oliva","PAPALI'I, James Philip","ROSS, Todd Caleb","SIO, Su'a Viliamu","Total Valid Candidate Votes","Informal Candidate Votes"
"Favona","Favona School, Cadrona Place entrance",4,44,62,27,18,37,852,1044,26
,"Koru School, 71 Robertson Road",4,15,97,30,15,30,730,921,39
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",2,1,11,1,1,3,16,35,1
"Mangere","Jean Batten School, 6 Imrie Avenue",2,18,97,24,9,23,798,971,52
,"Mangere Central School, 254 Kirkbride Road",2,18,80,13,15,26,565,719,28
,"Mangere College, 23 Bader Drive",3,14,50,16,17,19,642,761,36
,"Martin Hautus Pacific Peoples Learning Institute, 55-57 Plumley Crescent",0,12,39,8,3,8,339,409,14
,"Nga Iwi School, 60 Mascot Avenue",3,12,49,19,20,18,756,877,33
,"Robertson Road School, 205 Robertson Road",3,13,49,27,16,29,784,921,27
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",1,7,17,7,2,10,209,253,6
,"Southern Cross Campus, 253 Buckland Road West",2,18,38,19,12,17,783,889,43
,"Te Kura Kaupapa Maori a Rohe o Mangere, 7 Comet Crescent",1,6,11,8,8,0,254,288,8
,"Viscount Learning Community School, 65 Viscount Street",2,11,22,11,21,18,688,773,28
"Mangere Bridge","Mangere Bridge School, Taylor Road Entrance",10,23,285,20,25,98,543,1004,34
,"St James Anglican Church Hall, 27 Church Road",8,51,388,36,19,119,432,1053,25
,"Waterlea School, 17 House Avenue",11,72,397,38,8,91,382,999,26
"Mangere East","De La Salle College, 81 Gray Avenue",3,14,104,11,7,30,490,659,28
,"Kingsford School, 54 Raglan Street",5,8,48,26,12,21,745,865,34
,"Mangere East Primary School, 21 Yates Road",1,12,39,27,15,27,846,967,32
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",9,32,109,14,17,38,639,858,41
,"Sutton Park School, 89 Vine Street",1,9,26,12,7,21,582,658,23
"Otahuhu","Middlemore Hospital, Hospital Road",1,2,4,2,3,2,65,79,1
"Papatoetoe","Aorere College, 6-8 Selfs Road",2,11,48,5,2,12,224,304,12
,"Kedgley Intermediate School, 181 Portage Road",4,10,116,20,6,39,441,636,24
,"Papatoetoe West School, 1-3 Hillcrest Road",4,5,76,10,9,20,227,351,16
,"Wesley Methodist Church Hall, 37 Kolmar Road",0,0,5,1,1,3,18,28,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Māngere",21,88,414,95,59,122,2798,3597,104
,"Ordinary Votes BEFORE polling day - Taken in Manukau East",1,6,47,10,2,21,185,272,17
,"Ordinary Votes BEFORE polling day - Taken in Manurewa",0,2,3,3,0,4,14,26,0
,"Special Votes BEFORE polling day",0,9,42,8,11,15,480,565,18
,"Special Votes On polling day",11,40,217,48,61,103,1582,2062,76
,"Overseas Special Votes including Defence Force",0,1,28,1,1,6,68,105,3
,"Māngere Total",121,584,3018,597,422,1030,18177,23949,856
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",24805
"Electorate Candidate Valid Votes","Party",,"SIO, Su'a Viliamu - majority 15159"
"COSTELLO, Cassandra Jane",ACT New Zealand,121,.005052403
"GAGAMOE, Fa'avae Cherry",Conservative Party,584,.0243851518
"HAUITI, Claudette",National Party,3018,.1260177878
"ILALIO, Oliva",New Zealand First Party,597,.0249279719
"PAPALI'I, James Philip",Mana,422,.0176207775
"ROSS, Todd Caleb",Green Party,1030,.0430080588
"SIO, Su'a Viliamu",Labour Party,18177,.7589878492
