Electorate Candidate and Party Votes Recorded at Each Polling Place
"Manukau East 23","Candidate Vote Details"
,,"BAKSHI, Kanwaljit Singh","COGGAN, Felicity Jane","MACFARLANE, Jonathan","MINTO, John Bernard","NAEA, Frank John","ROBERTSON, Harold Valentine Ross","LOLE-TAYLOR, Asenati","Total Valid Candidate Votes","Informal Candidate Votes"
"Favona","Koru School, 71 Robertson Road",4,0,0,1,0,17,0,22,0
"Flat Bush","Dawson Road Primary School, Haumia Way",1,0,0,0,0,76,1,78,8
,"Kia Aroha College, 51 Othello Drive",1,0,0,2,0,30,1,34,3
"Mangere","Robertson Road School, 205 Robertson Road",1,0,0,0,0,15,0,16,0
,"Southern Cross Campus, 253 Buckland Road West",0,0,0,0,0,8,1,9,1
"Mangere East","De La Salle College, 81 Gray Avenue",6,0,0,0,0,42,0,48,7
,"Kingsford School, 54 Raglan Street",1,0,0,0,1,4,0,6,1
,"Mangere East Primary School, 21 Yates Road",1,0,0,0,0,26,1,28,0
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",1,0,0,1,0,17,1,20,5
"Manukau","Latter Day Saints Church, 17 Redoubt Road",8,0,0,1,1,34,2,46,0
"Mt Wellington","Riverside Community Centre, corner Bernard Street & Peace Avenue",123,0,11,15,18,649,44,860,79
"Otahuhu","Fairburn School, 10 Pukeora Road",78,2,4,10,6,425,19,544,31
,"McAuley High School, 26 High Street",121,6,4,14,23,778,50,996,60
,"Middlemore Hospital, Hospital Road",13,0,0,0,1,61,2,77,3
,"Otahuhu College, 74-78 Mangere Road",79,3,8,14,7,339,23,473,17
,"Otahuhu Intermediate School, 22-24 Luke Street",130,2,5,12,9,650,49,857,46
,"Otahuhu Primary School, 41 Station Road",115,1,12,16,13,518,34,709,46
"Otara","Bairds Mainfreight Primary School, 12 Edward Avenue",14,0,4,16,3,433,27,497,19
,"East Tamaki Primary School, 196 Preston Road",5,0,0,12,2,257,13,289,0
,"Ferguson Intermediate School, 20-40 Ferguson Road",17,0,2,19,6,812,28,884,51
,"Flat Bush School, 20 Flat Bush Road",4,0,1,13,2,425,14,459,24
,"Maori Anglican Church Hall, 183 Bairds Road",5,2,0,13,2,369,11,402,16
,"Mayfield School, 12 Pearl Baker Drive",17,0,2,17,7,661,16,720,39
,"Sir Edmund Hillary Collegiate, 67 Otara Road",7,0,1,18,2,583,12,623,28
,"Wymondley Road School, 77 Wymondley Road",6,0,1,8,0,238,11,264,8
"Papatoetoe","Aorere College, 6-8 Selfs Road",34,0,2,8,2,215,9,270,6
,"Holy Cross Church Hall, corner St George Street & Carruth Road",263,5,15,23,31,839,43,1219,71
,"Kedgley Intermediate School, 181 Portage Road",10,0,0,0,0,68,1,79,2
,"Manukau Indian Association Hall, 57 Hillside Road",71,0,7,9,15,346,15,463,20
,"Omana Kindergarten, 42 Omana Avenue",176,3,15,4,15,406,32,651,46
,"Papatoetoe Central Primary School, 317 Great South Road",217,1,16,13,12,678,33,970,60
,"Papatoetoe East Primary School, 138 Tui Road",190,2,17,12,24,784,43,1072,79
,"Papatoetoe High School, 19 Nicholson Avenue",154,4,13,7,20,515,24,737,42
,"Papatoetoe Intermediate School, 175 Motatau Road",187,4,16,7,22,534,24,794,41
,"Papatoetoe South School, Milan Road (Kenderdine Road entrance)",120,2,5,10,12,613,22,784,41
,"Papatoetoe West School, 1-3 Hillcrest Road",117,2,8,11,17,658,27,840,35
,"Puhinui Primary School, 116 Puhinui Road",121,1,6,5,13,396,14,556,30
,"Puhinui Scout Hall, York Road",83,1,7,3,6,297,21,418,12
,"St John's Presbyterian Church Hall, 120 Great South Road",70,2,6,4,8,190,13,293,22
,"Wesley Methodist Church Hall, 37 Kolmar Road",87,2,6,4,15,330,29,473,23
,"Whitehaven Pensioners Flats Hall, 146 Kolmar Road",68,0,6,2,4,206,10,296,14
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Botany",5,0,3,3,1,137,5,154,3
,"Ordinary Votes BEFORE polling day - Taken in Māngere",7,0,1,6,4,70,5,93,1
,"Ordinary Votes BEFORE polling day - Taken in Manukau East",491,6,19,65,59,2313,151,3104,170
,"Ordinary Votes BEFORE polling day - Taken in Manurewa",1,0,0,0,0,7,0,8,0
,"Ordinary Votes BEFORE polling day - Taken in Maungakiekie",11,0,0,0,1,9,2,23,1
,"Special Votes BEFORE polling day",77,2,3,15,12,418,23,550,18
,"Special Votes On polling day",225,10,21,47,29,1843,91,2266,140
,"Overseas Special Votes including Defence Force",18,0,1,1,0,60,2,82,2
,"Manukau East Total",3561,63,248,461,425,19399,999,25156,1371
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",26527
"Electorate Candidate Valid Votes","Party",,"ROBERTSON, Harold Valentine Ross - majority 15838"
"BAKSHI, Kanwaljit Singh",National Party,3561,.1415566863
"COGGAN, Felicity Jane",Communist League,63,.0025043727
"MACFARLANE, Jonathan",ACT New Zealand,248,.0098584831
"MINTO, John Bernard",Mana,461,.018325648
"NAEA, Frank John",Conservative Party,425,.0168945778
"ROBERTSON, Harold Valentine Ross",Labour Party,19399,.7711480363
"LOLE-TAYLOR, Asenati",New Zealand First Party,999,.0397121959
