Electorate Candidate and Party Votes Recorded at Each Polling Place
"Manurewa 24","Candidate Vote Details"
,,"ADDIS, Richard","CALDER, Campbell Gordon","COOPER, Richard Shortland","HALL, John Harold","PETERSON, David Christopher Malcolm","WALL, Louisa Hareruia","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfriston","Alfriston School, Alfriston Road",2,30,0,1,0,11,44,2
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",3,62,0,3,2,51,121,4
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",18,163,7,10,7,385,590,20
"Flat Bush","Dawson Road Primary School, Haumia Way",1,6,2,5,0,113,127,10
,"Kia Aroha College, 51 Othello Drive",8,27,2,18,0,189,244,13
"Manukau","Everglade Primary School, 64 Everglade Drive",68,1099,18,81,28,1070,2364,98
,"Latter Day Saints Church, 17 Redoubt Road",15,230,14,17,9,264,549,22
,"Wiri Community Hall, 11 Inverell Avenue",10,53,9,9,4,468,553,32
"Manurewa","1st Manurewa Scout Hall, corner Sturdee & Browns Roads",16,181,10,38,5,534,784,38
,"Alfriston College, Alfriston Road entrance",5,40,4,3,1,59,112,4
,"Clayton Park School, Wattle Farm Road entrance",3,37,3,9,2,62,116,4
,"Clendon Park School, 145 Rowandale Avenue",12,86,17,26,2,505,648,29
,"Elmwood Village Community Centre,131 Hill Road",0,21,0,3,1,29,54,4
,"Finlayson Park School, 87 John Walker Drive",7,117,8,45,3,829,1009,58
,"Greenmeadows Intermediate, Ferguson Road entrance",14,48,2,17,4,159,244,7
,"Hillpark School Hall, 57 Grande Vue Road",64,757,15,67,21,535,1459,45
,"James Cook High School, 12 Dr Pickering Avenue",6,100,10,34,4,308,462,22
,"Manurewa Central School, corner Great South & Hill Roads",13,148,5,32,3,231,432,50
,"Manurewa East School, Scotts Road",9,68,8,15,2,224,326,6
,"Manurewa Library, 7 Hill Road",42,391,17,65,9,689,1213,75
,"Manurewa South Primary School, 39 Tawa Crescent (Totara Road entrance)",13,85,3,25,3,217,346,14
,"Manurewa West Primary School, 31 McKean Avenue",10,108,12,30,1,331,492,25
,"Roscommon School, 23 Burundi Avenue",12,81,14,30,2,698,837,25
,"Rowandale School, 73 Rowandale Avenue",29,96,17,42,1,573,758,28
,"St Elizabeth's Anglican Church, 182 Finlayson Avenue",9,52,7,7,0,198,273,3
,"St Luke's Anglican Church Hall, 3 Russell Road (Weymouth Road entrance)",18,191,13,43,3,427,695,39
,"Table Tennis Club Hall, corner Browns & McVilly Roads",18,95,7,39,3,386,548,25
,"Te Matauranga School, 206 Finlayson Avenue",4,70,10,19,3,374,480,25
,"The Gardens School, 101 Charles Prevost Drive",2,17,2,1,1,22,45,1
"Otahuhu","Middlemore Hospital, Hospital Road",1,12,4,1,0,36,54,4
"Papatoetoe","Puhinui Primary School, 116 Puhinui Road",30,149,5,30,3,409,626,46
"Takanini","Takanini School Hall, 39 Takanini School Road ",1,1,0,2,0,12,16,1
"Weymouth","Weymouth Primary School, 23 Evans Road",35,401,15,94,8,616,1169,36
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Botany",3,36,1,2,1,115,158,8
,"Ordinary Votes BEFORE polling day - Taken in Manukau East",5,16,0,8,2,67,98,4
,"Ordinary Votes BEFORE polling day - Taken in Manurewa",76,670,56,162,23,1842,2829,139
,"Ordinary Votes BEFORE polling day - Taken in Papakura",0,7,2,0,2,2,13,1
,"Special Votes BEFORE polling day",4,83,8,16,3,324,438,25
,"Special Votes On polling day",45,469,59,68,22,1518,2181,114
,"Overseas Special Votes including Defence Force",5,48,1,5,1,79,139,2
,"Manurewa Total",636,6351,387,1122,189,14961,23646,1108
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",24754
"Electorate Candidate Valid Votes","Party",,"WALL, Louisa Hareruia - majority 8610"
"ADDIS, Richard",Conservative Party,636,.0268967267
"CALDER, Campbell Gordon",National Party,6351,.2685866531
"COOPER, Richard Shortland",Mana,387,.0163664045
"HALL, John Harold",New Zealand First Party,1122,.0474498858
"PETERSON, David Christopher Malcolm",ACT New Zealand,189,.0079928952
"WALL, Louisa Hareruia",Labour Party,14961,.6327074347
