Electorate Candidate and Party Votes Recorded at Each Polling Place
"Mt Albert 26","Candidate Vote Details"
,,"BOYLE, Stephen James","CLENDON, David James ","LEE, Melissa Ji-Yun","POCHING, Frank Su'e ","SHEARER, David James","Total Valid Candidate Votes","Informal Candidate Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",0,4,7,0,14,25,1
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",3,2,5,1,24,35,2
"Avondale","Avondale Baptist Church, 1288 New North Road",7,21,50,10,109,197,9
,"Avondale College Drama Room, 47 Victor Street (Gate 1 entrance)",14,59,176,18,503,770,46
,"Avondale Community Centre, 99 Rosebank Road",11,30,88,12,446,587,25
,"Avondale Primary School, Crayford Street West",3,9,40,6,133,191,6
,"Rosebank School Hall, 217 Rosebank Road",13,68,241,32,1083,1437,70
"Balmoral","Auckland Deaf Society Incorporated, 164 Balmoral Road",2,20,39,2,78,141,4
,"Balmoral Scout Group, Pollard Park, 1a Waitomo Avenue",2,6,19,4,35,66,0
"Grafton","Auckland City Hospital, Park Road",2,6,12,0,36,56,2
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",1,13,11,0,40,65,2
,"Grey Lynn Primary School, 44 Surrey Crescent",1,5,8,1,29,44,1
,"Richmond Road School, 113 Richmond Road ",0,5,2,1,15,23,0
,"St Joseph's School Hall, 456 Great North Road",1,11,13,1,32,58,2
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",8,62,115,3,229,417,5
,"Kowhai Intermediate School, 26 Onslow Road",19,136,259,19,570,1003,11
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",10,70,154,17,340,591,23
"Mt Albert","Gladstone Primary School Hall, 8 Seaview Terrace",16,77,250,28,626,997,33
,"Marist College, 31 Alberton Avenue",17,58,300,23,488,886,17
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",11,77,208,28,410,734,25
,"Mt Albert Kindergarten, 24 Mark Road",11,34,121,21,276,463,13
,"Mt Albert Methodist Church Hall, corner New North Road & Alexis Avenue",6,38,183,19,343,589,12
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",18,44,301,27,461,851,36
,"Mt Albert Primary School Hall, 6 Sainsbury Road (Taylors Road entrance)",7,91,245,26,546,915,14
,"Owairaka District School Hall, 113 Richardson Road",8,86,271,29,914,1308,57
,"Rossgrove Chapel, 12 Rossgrove Terrace",12,90,247,37,544,930,18
,"Salvation Army Community Church Hall, 218 Mt Albert Road (Duncan Avenue entrance)",10,65,250,30,549,904,22
"Mt Eden","Auckland Provincial Guide Centre, 132 Grange Road",2,26,119,6,122,275,6
,"Balmoral School Hall, 19 Brixton Road",7,53,170,12,314,556,9
,"Ficino School, 27 Esplanade Road",0,5,10,1,12,28,1
,"Good Shepherd Parish Hall, 30 Telford Avenue",8,43,191,15,300,557,15
,"Maungawhau School, 43 Ellerton Road",0,5,11,1,15,32,0
,"Mt Eden Normal Primary School, 73 Valley Road",0,16,63,3,70,152,4
,"St Albans Anglican Church Hall, 443 Dominion Road",8,28,60,5,100,201,3
,"Valley Road International Church Hall, 393 Mt Eden Road",0,5,8,0,11,24,1
"Mt Roskill","Christ The King Parish School Hall, 288 Richardson Road",0,2,2,1,15,20,0
,"Dominion Road School, 1 Quest Terrace",1,14,45,4,60,124,1
,"May Road School, 504 Richardson Road",1,2,5,1,17,26,2
,"Monte Cecilia Catholic School, 72 Hillsborough Road",0,0,2,2,3,7,0
,"Mt Roskill Intermediate School, 62 Denbigh Avenue",0,1,5,0,2,8,3
,"St John's Presbyterian Church, 422 Mt Albert Road",1,4,20,1,23,49,6
,"Wesley Intermediate School, 798 Sandringham Road",0,3,4,1,37,45,3
,"Wesley Primary School, 24 Porter Avenue",1,0,1,0,14,16,0
"New Lynn","New Lynn Salvation Army Hall, 32 Delta Avenue",2,11,16,1,33,63,5
"New Windsor","New Windsor School, 185 New Windsor Road (64 Peter Buck Road entrance)",0,1,4,0,15,20,1
"Newton","Newton Central School, Monmouth Street",1,1,4,0,8,14,0
"Point Chevalier","Baptist Church Hall, 126 Point Chevalier Road",10,92,349,31,659,1141,31
,"Pasadena Intermediate School Hall, 26 Moray Place",3,45,110,7,260,425,14
,"Point Chevalier Primary School, 7-31 Te Ra Road",13,142,553,31,772,1511,22
,"Selwyn Village Theatre, 43 Target Street",2,15,108,11,168,304,22
"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",1,5,4,0,19,29,1
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",10,52,190,27,409,688,32
,"Edendale Primary School Hall, 419 Sandringham Road",17,114,389,34,1053,1607,61
"Three Kings","Mt Roskill Primary School, 37 Frost Road",0,1,7,0,6,14,1
"Waterview","Waterview Methodist Church Hall, corner of Great North Road & Fir Street",8,76,220,27,449,780,21
,"Waterview Primary School, 10 Herdman Street",2,52,87,13,318,472,19
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",10,103,193,18,426,750,10
"Westmere","Westmere School, corner Larchwood Avenue & Garnet Street",0,2,10,1,22,35,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Auckland Central",3,37,107,3,140,290,2
,"Ordinary Votes BEFORE polling day - Taken in Mt Albert",37,195,736,50,1398,2416,120
,"Ordinary Votes BEFORE polling day - Taken in Mt Roskill",4,20,75,9,229,337,8
,"Ordinary Votes BEFORE polling day - Taken in New Lynn",1,2,22,4,74,103,4
,"Special Votes BEFORE polling day",6,58,154,9,333,560,20
,"Special Votes On polling day",46,503,868,56,1659,3132,64
,"Overseas Special Votes including Defence Force",7,79,158,6,278,528,1
,"Mt Albert Total",425,3000,8695,786,18716,31622,969
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32591
"Electorate Candidate Valid Votes","Party",,"SHEARER, David James - majority 10021"
"BOYLE, Stephen James",ACT New Zealand,425,.0134400101
"CLENDON, David James ",Green Party,3000,.0948706597
"LEE, Melissa Ji-Yun",National Party,8695,.2749667953
"POCHING, Frank Su'e ",Conservative Party,786,.0248561128
"SHEARER, David James",Labour Party,18716,.5918664221
