Electorate Candidate and Party Votes Recorded at Each Polling Place
"Mt Roskill 27","Candidate Vote Details"
,,"BINDRA, Mahesh Jaichand","BLUE, Jacqueline Diane","BROWN, Patrick James","GENTER, Julie Anne","GOFF, Philip Bruce","HEWLETT, Jasmin Elizabeth Beverley","KEY, Feleti","MOCKRIDGE, Bryan","NAND, Pratima Devi","Total Valid Candidate Votes","Informal Candidate Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",1,6,0,2,11,1,1,0,0,22,0
"Avondale","Avondale Baptist Church, 1288 New North Road",11,103,0,24,176,3,5,0,3,325,23
,"Avondale Primary School, Crayford Street West",1,5,0,1,34,0,0,0,0,41,2
,"Liberty Christian Church, 96 Lansford Crescent",0,28,0,2,37,0,3,0,1,71,2
"Balmoral","Auckland Deaf Society Incorporated, 164 Balmoral Road",1,66,0,20,84,2,3,0,3,179,2
,"Balmoral Scout Group, Pollard Park, 1a Waitomo Avenue",8,219,1,30,209,5,9,0,4,485,6
"Blockhouse Bay","Bay Roskill Sports Club, 231 Whitney Street",4,56,0,13,57,0,2,0,1,133,3
,"Blockhouse Bay Community Church, 76 Dundale Avenue",11,88,1,9,179,2,8,1,4,303,14
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",3,63,0,13,60,0,3,1,3,146,4
,"Church of the Saviour, 2 Heaphy Street",5,25,1,3,28,0,2,0,0,64,3
,"Glenavon School, 340 Blockhouse Bay Road",7,115,0,7,363,3,12,0,3,510,19
,"Iona Presbyterian Church, 38 Donovan Street",4,49,1,6,71,0,7,0,0,138,1
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",0,20,0,1,8,0,0,0,1,30,2
,"Epsom Normal School, 41 The Drive",1,13,0,1,17,0,1,0,2,35,1
,"Sacred Heart Parish Hall, 19 Banff Avenue",1,7,0,0,8,0,0,0,0,16,2
"Grafton","Auckland City Hospital, Park Road",0,12,0,2,28,1,0,0,0,43,2
"Hillsborough","Hillsborough Baptist Church, 179 Hillsborough Road",10,365,1,28,327,2,22,3,4,762,19
,"St David's Church, 202 Hillsborough Road",18,434,1,40,409,4,27,3,8,944,26
,"St Margaret's Anglican Church, 102 Hillsborough Road",6,134,0,18,142,1,8,0,1,310,8
,"Waikowhai Primary School, 381 Hillsborough Road",4,294,1,31,310,1,10,2,6,659,8
"Lynfield","Halsey Drive Primary School, 106 Halsey Drive",11,543,3,26,420,2,16,0,10,1031,10
,"Lynfield College School, 191 White Swan Road (main entrance)",15,215,0,21,292,3,7,0,2,555,7
,"Lynfield Tennis Club, 18 The Avenue",19,479,2,31,525,6,27,4,7,1100,42
"Mt Albert","Marist College, 31 Alberton Avenue",0,12,0,2,19,0,0,0,0,33,0
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",0,9,0,1,18,1,0,1,0,30,1
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",0,6,0,0,11,0,1,0,3,21,0
,"Owairaka District School Hall, 113 Richardson Road",4,46,0,7,136,0,4,1,3,201,7
,"Salvation Army Community Church Hall, 218 Mt Albert Road (Duncan Avenue entrance)",1,40,1,15,141,0,2,2,2,204,6
"Mt Eden","Auckland Normal Intermediate, 24 Poronui Street",0,8,0,3,7,1,0,0,0,19,1
,"Auckland Provincial Guide Centre, 132 Grange Road",0,28,0,2,24,0,0,0,0,54,1
,"Balmoral School Hall, 19 Brixton Road",1,20,0,5,12,0,0,0,0,38,1
,"Good Shepherd Parish Hall, 30 Telford Avenue",2,44,0,12,55,0,2,0,1,116,1
,"Maungawhau School, 43 Ellerton Road",9,628,1,113,485,12,18,2,14,1282,6
,"St Albans Anglican Church Hall, 443 Dominion Road",0,11,0,4,18,0,0,0,0,33,0
"Mt Roskill","Christ The King Parish School Hall, 288 Richardson Road",17,264,1,19,678,2,19,4,7,1011,28
,"Dominion Road School, 1 Quest Terrace",7,146,0,35,419,3,15,2,8,635,14
,"Hay Park School, 670 Richardson Road",10,339,0,29,913,8,20,5,2,1326,23
,"Marshall Laing Primary School, 39 Marshall Laing Avenue",20,312,2,13,572,7,19,0,12,957,22
,"May Road School, 504 Richardson Road",13,439,1,53,1248,11,28,3,14,1810,64
,"Monte Cecilia Catholic School, 72 Hillsborough Road",7,185,0,10,193,4,17,1,3,420,6
,"Mt Roskill Intermediate School, 62 Denbigh Avenue",6,200,0,13,489,0,12,2,8,730,16
,"St Giles Presbyterian Church, 1207 Dominion Road",17,379,3,31,585,4,18,3,11,1051,22
,"St John's Presbyterian Church, 422 Mt Albert Road",5,122,0,26,286,1,19,1,2,462,7
,"Sunnydene Special School, 48 Smallfield Avenue",4,61,0,11,275,3,7,0,1,362,20
,"Tri-Star Gymnastic Club Incorporated, 55 Arundel Street",3,130,0,12,167,0,7,0,0,319,6
,"Wesley Intermediate School, 798 Sandringham Road",6,136,2,22,635,1,15,3,6,826,26
,"Wesley Primary School, 24 Porter Avenue",7,23,1,8,374,1,2,1,0,417,23
"New Lynn","New Lynn Friendship Club Hall, 3063 Great North Road",0,3,0,1,11,2,1,0,0,18,3
,"New Lynn Salvation Army Hall, 32 Delta Avenue",1,10,0,1,24,0,1,0,0,37,2
"New Windsor","New Windsor School, 185 New Windsor Road (64 Peter Buck Road entrance)",21,450,1,67,785,9,33,5,22,1393,41
"Onehunga","Onehunga High School, 24 Pleasant Street",3,99,0,7,78,0,7,0,2,196,7
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (Trafalgar Street entrance)",4,79,0,5,77,0,2,0,0,167,0
,"Royal Oak Primary School, Chandler Avenue (663 Manukau Road entrance)",2,43,1,5,30,0,0,0,0,81,1
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",2,21,0,3,44,0,2,0,0,72,3
,"Edendale Primary School Hall, 419 Sandringham Road",1,13,0,2,46,1,1,0,2,66,0
"Three Kings","Mt Roskill Primary School, 37 Frost Road",11,247,1,16,583,2,9,0,6,875,35
,"Three Kings School, 944 Mt Eden Road",12,322,0,41,415,2,8,1,4,805,10
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Epsom",1,131,0,10,62,1,1,0,0,206,1
,"Ordinary Votes BEFORE polling day - Taken in Maungakiekie",1,77,2,14,59,0,1,1,0,155,2
,"Ordinary Votes BEFORE polling day - Taken in Mt Albert",4,50,0,5,71,2,0,1,0,133,6
,"Ordinary Votes BEFORE polling day - Taken in Mt Roskill",68,1070,2,92,2088,20,38,6,26,3410,82
,"Ordinary Votes BEFORE polling day - Taken in New Lynn",8,84,0,7,89,2,3,0,1,194,6
,"Special Votes BEFORE polling day",10,190,0,22,403,6,6,1,3,641,6
,"Special Votes On polling day",37,724,1,167,1344,24,38,15,13,2363,52
,"Overseas Special Votes including Defence Force",2,95,0,18,142,1,1,2,1,262,2
,"Mt Roskill Total",468,10635,32,1258,17906,167,550,77,240,31333,766
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32099
"Electorate Candidate Valid Votes","Party",,"GOFF, Philip Bruce - majority 7271"
"BINDRA, Mahesh Jaichand",New Zealand First Party,468,.0149363291
"BLUE, Jacqueline Diane",National Party,10635,.3394185045
"BROWN, Patrick James",Communist League,32,.0010212875
"GENTER, Julie Anne",Green Party,1258,.0401493633
"GOFF, Philip Bruce",Labour Party,17906,.5714741646
"HEWLETT, Jasmin Elizabeth Beverley",Aotearoa Legalise Cannabis Party,167,.0053298439
"KEY, Feleti",Conservative Party,550,.0175533782
"MOCKRIDGE, Bryan",United Future,77,.002457473
"NAND, Pratima Devi",ACT New Zealand,240,.007659656
