Electorate Candidate and Party Votes Recorded at Each Polling Place
"Napier 28","Candidate Vote Details"
,,"BAILEY, Paul Edward","BROWN, Roy Kerry","NASH, Stuart Alexander","O'NEILL, Mary Jelena","ORMOND, John Davies","PAUL, Roderick Whare","TREMAIN, Christopher James","Total Valid Candidate Votes","Informal Candidate Votes"
"Ahuriri","Port Ahuriri School, 15 Lever Street",50,18,468,2,10,2,696,1246,19
"Bay View","King George Hall, 1 Hill Road",47,21,360,2,5,6,775,1216,15
"Bluff Hill","Napier Central School, 32 Napier Terrace",41,16,447,1,11,1,609,1126,11
,"Napier Girls' High School, 4 Clyde Road",24,5,144,0,1,0,160,334,3
"Camberley","Hawkes Bay Regional Hospital, Main Entrance, Omahu Road",4,1,39,0,1,4,26,75,0
"Clive","Clive Community Hall, 164 Main Road",5,2,19,0,1,0,28,55,0
"Eskdale","Eskdale School, 324 Hill Road",10,5,50,0,2,1,139,207,1
"Frasertown","Frasertown School, 4 Russell Parade",6,7,60,0,1,4,167,245,4
"Greenmeadows","Girl Guides Mahoe Hall, corner Auckland Road & York Avenue",44,48,597,1,8,1,993,1692,40
,"Greenmeadows Game Farm, 22 Burness Road",12,5,79,0,2,0,150,248,2
,"Greenmeadows Primary Public School, 45 Osier Road",52,37,532,2,3,1,757,1384,26
,"Salvation Army Hall, 56 Tait Drive  ",28,9,279,2,5,2,263,588,10
"Kotemaori ","Kotemaori School, State Highway 2",1,3,12,0,2,0,36,54,1
"Mahia   ","Te Mahia School, 457 Mahia East Coast Road, RD8",3,3,54,0,1,4,102,167,8
"Maraenui","Maraenui Bilingual School, 2a Lister Crescent",7,3,148,0,0,1,33,192,15
,"Richmond School, 13a Barnard Avenue",8,3,234,0,1,1,43,290,12
"Marewa","Church of Christ Building, 19 Douglas McLean Avenue",26,8,378,1,1,0,281,695,16
,"Marewa School, 80 Latham Street",37,29,588,3,1,3,267,928,23
"Meeanee","Meeanee School, 6 Gavin Black Street",11,12,130,0,6,0,266,425,6
"Napier City","Courthouse, 251 Hastings Street ",32,14,267,1,2,4,264,584,8
,"Napier Intermediate, 3 Jull Street",34,7,282,0,9,0,209,541,11
"Napier South","Nelson Park School, 48 Kennedy Road",39,18,538,3,5,0,431,1034,18
,"St Luke's Church, 196 Vigor Brown Street",14,17,255,0,1,0,159,446,15
"Nuhaka   ","Nuhaka School, Tamakahu Street ",5,2,33,0,0,3,90,133,1
"Onekawa","Henry Charles Hall, Henry Charles Terrace",6,8,180,0,0,1,106,301,17
,"Henry Hill School, 13a Dick Place",19,11,269,1,1,2,198,501,12
,"Onekawa Primary School, 235 Kennedy Road",32,12,437,1,1,0,436,919,19
,"Te Kura Kaupapa Māori O Te Ara Hou, 22 Wycliffe Street",11,13,187,2,2,2,117,334,8
"Patoka","Patoka School, corner Hendley & Puketitiri Roads",7,1,21,1,4,0,102,136,1
"Pirimai","Baptist Church, 69 Bill Hercock Street ",33,14,377,1,1,1,403,830,16
"Poraiti","Hohepa Homes, School Cafeteria, 21 Fryer Road",29,8,84,0,0,1,218,340,6
"Puketapu ","Puketapu School, 708 Puketapu Road",24,9,84,0,5,0,340,462,7
"Raupunga  ","Ngati-Pahauwera Society Offices, 30 Putere Road",2,0,5,0,1,0,18,26,5
"Ruakituri","Ruakituri School, 1607 Ruakituri Valley Road, RD5",1,0,4,0,0,0,24,29,1
"Tamatea","Porritt School, 36 Lyttelton Crescent",19,5,216,2,3,1,203,449,12
,"Tamatea Intermediate, 15 Freyberg Avenue",30,14,295,1,2,3,340,685,11
,"Tamatea Primary School, 10 Durham Avenue",45,21,569,1,3,1,528,1168,32
"Taradale","Bledisloe School, 30a Meeanee Road",34,20,287,0,2,1,376,720,13
,"Taradale Intermediate, 6 Murphy Road",39,12,373,0,0,2,471,897,26
,"Taradale Primary School, 10 Church Road",67,71,768,2,10,0,1519,2437,42
,"Taradale Senior Citizens (Friendship Centre), 10 Symons Lane",19,20,294,0,4,0,359,696,14
"Te Awa","Te Awa School, 1a Te Awa Avenue",27,15,256,2,2,4,259,565,11
