Electorate Candidate and Party Votes Recorded at Each Polling Place
"North Shore 32","Candidate Vote Details"
,,"BARRY, Margaret Mary","BRASH, Donald Thomas","CLARK, Benjamin Charles","JENSEN, Craig Hans","LIGHT, Damian Francis","MURPHY, Michael Myles","WATSON, Pieter Rowley Burges","WILLIAMS, Andrew Bruce Forbes","Total Valid Candidate Votes","Informal Candidate Votes"
"Bayswater","Bayswater School, Bayswater Avenue",810,47,467,51,12,5,159,55,1606,29
"Belmont","Belmont Primary School, 3a Harrison Avenue",360,20,171,22,6,2,62,24,667,15
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",25,2,10,0,0,0,4,1,42,0
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Road",822,34,149,30,4,6,55,30,1130,15
,"Campbells Bay School Hall, 77 Aberdeen Road",738,32,151,18,2,2,38,17,998,15
"Castor Bay","Presbyterian Church Hall, corner Seaview Road & Katui Street",855,43,151,25,5,1,90,17,1187,16
"Devonport","Devonport Community House, 32 Clarence Street",630,21,346,23,6,12,189,35,1262,14
,"Devonport Holy Trinity Parish Hall, 20 Church Street",629,22,287,21,2,3,144,33,1141,8
,"Devonport Presbyterian Church Hall, corner Victoria & Albert Streets",429,21,298,15,9,1,143,26,942,15
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",1054,72,450,70,9,4,100,50,1809,55
"Glenfield","Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",27,6,15,1,1,0,5,0,55,0
,"Glenfield Primary School, 101 Chivalry Road",11,0,3,1,7,1,0,0,23,0
,"Target Road Primary School, 80 Target Road",42,4,28,1,0,0,4,1,80,1
"Hauraki","Hauraki School, 82 Jutland Road",457,42,127,10,0,4,57,9,706,8
,"Takapuna Bible Chapel Hall, 13 Jutland Road",784,47,295,38,10,3,75,25,1277,23
,"Takapuna Grammar School, 210 Lake Road",317,18,123,9,2,0,43,17,529,9
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",906,44,165,35,5,5,70,21,1251,15
,"Mairangi Bay School, Galaxy Drive entrance",823,60,175,33,7,4,76,22,1200,11
,"Rangitoto College, 564 East Coast Road",245,15,62,16,3,3,29,11,384,12
"Mangawhai Heads","Mangawhai Community Centre, Fagan Place",27,0,3,1,0,0,1,1,33,0
"Milford","Carmel College, 114 Shakespeare Road",453,21,123,31,1,3,39,26,697,16
,"Milford Baptist Church Hall, 3 Dodson Avenue",1054,43,240,38,4,3,75,41,1498,19
,"Milford School, 34 Shakespeare Road",1245,51,324,44,6,4,112,41,1827,24
,"North Shore Hospital, Shakespeare Road",77,2,55,4,0,0,7,8,153,4
"Murrays Bay","Murrays Bay Intermediate School, 37 Sunrise Avenue",160,14,41,4,1,1,22,8,251,2
"Narrow Neck","Vauxhall School, Morrison Avenue",427,18,241,14,7,3,99,13,822,10
"Northcote","Northcote Intermediate, 145 Lake Road",13,5,11,0,0,1,0,1,31,1
"Stanley Bay","Stanley Bay School, 15 Russell Street",370,15,117,10,6,2,80,5,605,6
"Sunnynook","Sunnynook School, 27 Lyford Crescent",484,51,260,31,9,4,63,29,931,23
,"Wairau Intermediate School, 113 Becroft Drive",1002,70,432,65,7,7,81,52,1716,38
"Takapuna","St Peters Church Hall, 11 Killarney Street",474,22,82,11,0,1,23,12,625,5
,"Takapuna Methodist Church Hall, corner Lake Road & Tennyson Avenue",755,45,180,30,3,2,73,30,1118,26
,"Takapuna Normal Intermediate School, 54b Taharoto Road",254,15,106,11,2,1,21,17,427,8
,"Takapuna School, 23 Auburn Street (or Anzac Street entrance)",709,38,176,24,5,2,74,35,1063,26
"Westlake","Westlake Boys High School, 30 Forrest Hill Road",321,29,159,15,3,1,34,5,567,10
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Auckland Central",56,5,10,3,0,0,5,0,79,0
,"Ordinary Votes BEFORE polling day - Taken in East Coast Bays",236,19,38,5,3,0,16,4,321,5
,"Ordinary Votes BEFORE polling day - Taken in North Shore",2277,99,610,73,6,5,227,98,3395,60
,"Ordinary Votes BEFORE polling day - Taken in Northcote",134,14,56,5,1,0,16,6,232,2
,"Special Votes BEFORE polling day",353,13,105,10,3,1,56,17,558,11
,"Special Votes On polling day",1489,102,495,53,13,9,274,53,2488,31
,"Overseas Special Votes including Defence Force",375,52,144,3,3,2,61,4,644,4
,"North Shore Total",22709,1293,7481,904,173,108,2802,900,36370,592
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36962
"Electorate Candidate Valid Votes","Party",,"BARRY, Margaret Mary - majority 15228"
"BARRY, Margaret Mary",National Party,22709,.6243882321
"BRASH, Donald Thomas",ACT New Zealand,1293,.0355512785
"CLARK, Benjamin Charles",Labour Party,7481,.205691504
"JENSEN, Craig Hans",Conservative Party,904,.0248556503
"LIGHT, Damian Francis",United Future,173,.0047566676
"MURPHY, Michael Myles",Libertarianz,108,.0029694803
"WATSON, Pieter Rowley Burges",Green Party,2802,.0770415177
"WILLIAMS, Andrew Bruce Forbes",New Zealand First Party,900,.0247456695
