Electorate Candidate and Party Votes Recorded at Each Polling Place
"Christchurch Central 4","Candidate Vote Details"
,,"BURNS, Brendon","CHANDLER, Luke Alex","COOKE, Michael Francis","MOORHOUSE, David Peter","SEVERIN, Toni Gae","WAGNER, Nicola Joanne","Total Valid Candidate Votes","Informal Candidate Votes"
"Akaroa","Akaroa Sports Centre, Rue Jolie",4,0,0,2,0,16,22,0
"Avonside/Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",506,6,11,90,2,219,834,14
"Bishopdale","Bishopdale School Hall, 465 Greers Road",67,0,1,3,1,68,140,4
,"St Margaret's Church, The Hub, 94 Farrington Avenue",11,0,0,4,0,19,34,1
"Burwood","Burwood School, 255 New Brighton Road",11,0,2,2,0,12,27,1
"Christchurch City","ABC Salisbury Street Pre School, 150 Salisbury Street",174,3,6,42,0,183,408,12
,"Christchurch East School, 311 Gloucester Street",498,4,6,84,5,278,875,10
,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",78,2,1,24,0,73,178,6
,"First Church of Christ Scientist, 66 Carlton Mill Road",33,0,0,11,0,56,100,0
,"HMNZS Pegasus, 419 Montreal Street",143,1,8,25,0,217,394,5
,"St Michael and All Angels Church School, 249 Durham Street South",48,1,2,13,1,82,147,2
"Dallington","Banks Avenue School, 71 Banks Avenue",35,0,1,3,0,23,62,0
"Fendalton","Christchurch Boys' High School, Big Room, Te Kura Street ",7,1,0,3,0,26,37,0
"Ilam","Ilam School Hall, 66 Ilam Road",14,1,0,2,0,10,27,0
"Linwood","Aspire Canterbury, 314 Worcester Street",204,2,8,29,0,97,340,7
,"Linwood Avenue School, 260 Linwood Avenue",219,4,8,31,1,89,352,8
,"Linwood College, 85 Aldwins Road",184,6,2,22,1,80,295,10
,"Linwood Intermediate School, 7 McLean Street",147,3,11,25,1,50,237,3
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",116,1,7,14,1,45,184,6
,"Union Church Hall, 378 Linwood Avenue",47,0,2,8,0,22,79,2
"Mairehau","Glenmoor School, 96 Philpotts Road",103,0,8,19,2,139,271,6
,"Mairehau High School, 440 Hills Road",210,1,5,25,3,253,497,6
,"Mairehau Primary School, 43 Mahars Road",289,4,15,69,4,299,680,12
,"St Albans Uniting Parish, 262 Knowles St",207,4,12,34,0,253,510,7
"Merivale","Heaton Normal Intermediate School Hall, 125-133 Heaton Street",97,1,4,24,2,297,425,7
,"Rangi Ruru Girls' School, Helen Kitson Function Centre, 59 Hewitts Road",34,0,1,5,0,106,146,1
"Opawa","Opawa Baptist Friendship Centre, 282 Wilsons Road",6,1,2,1,1,3,14,1
"Papanui","Papanui Baptist Church, 144 Sawyers Arms Road ",168,3,2,17,2,142,334,20
,"Papanui Primary School, 40 Winters Road",166,1,6,29,1,280,483,8
,"Paparoa Street School, 120 Paparoa Street",260,2,10,96,2,678,1048,6
,"St Giles Church Hall, 450 Papanui Road (Frank Street entrance)",72,0,5,16,0,123,216,5
,"St Joseph's School, 4 Vagues Road",155,2,12,27,5,227,428,11
,"St Paul's Anglican Church Parish Hall, 1 Harewood Road",144,1,2,23,0,140,310,11
,"Waimairi School Hall, 1 Tillman Avenue",8,1,0,3,0,12,24,0
"Phillipstown","Phillipstown Community Centre, 39A Nursery Road",387,7,22,76,5,196,693,20
