Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rodney 44","Candidate Vote Details"
,,"CRAIG, Colin","HOULBROOKE, Beth Patricia","MARTIN, Tracey Anne","MITCHELL, Mark Patrick","MOORE, Teresa Janet","ROSE, Christine Anne","Total Valid Candidate Votes","Informal Candidate Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",89,6,8,260,20,37,420,5
,"Massey University, Gate 4, 82 Turtea Drive",11,0,1,29,5,4,50,1
"Dairy Flat","Dairy Flat School, 1220 State Highway 17, RD4",288,9,34,916,107,123,1477,16
"Gulf Harbour","Gulf Harbour School, 65 Alec Craig Way",199,2,18,484,41,103,847,18
,"Wentworth College, 65 Gulf Harbour Drive",242,3,23,690,58,100,1116,14
"Kaukapakapa","Kaukapakapa Village Hall, 977 Kaipara Coast Highway",47,2,16,121,11,36,233,4
"Leigh","Leigh School, House of Learning, 26 Hauraki Road",59,4,20,145,51,115,394,7
"Mangawhai Heads","Mangawhai Community Centre, Fagan Place",0,0,0,13,2,3,18,0
"Manly","Manly Methodist Church, 945 Whangaparaoa Road",342,4,42,650,60,169,1267,21
,"Whangaparaoa Primary School, 39 Ladies Mile",292,0,27,554,66,128,1067,10
"Matakana","Matakana School, 952 Matakana Road",140,7,34,554,120,132,987,9
"Orewa","Orewa College, 76 Riverside Road",248,4,41,600,46,151,1090,25
,"Orewa Community Centre, Main Hall, Orewa Square",464,9,107,1013,177,373,2143,33
,"Orewa North School, 280 Centreway Road",228,5,42,706,68,166,1215,38
,"Orewa Primary School, 86 Maire Road",98,0,7,284,24,44,457,8
"Point Wells","Point Wells Community Hall, 5 Point Wells Road",95,3,20,343,32,60,553,3
"Puhoi","Puhoi Centennial Hall, 86 Puhoi Road",94,5,22,264,91,101,577,8
"Red Beach","Red Beach Methodist Church, 76 Red Beach Road",461,7,66,841,81,196,1652,26
,"Red Beach School, 20 Albert Hall Drive",301,1,31,699,81,132,1245,15
"Redvale","East Coast Bays Bible Baptist Church, 1092 East Coast Road",84,4,7,244,17,20,376,2
"Silverdale","Stella Maris School, 50 Silverdale Street",347,13,39,855,121,128,1503,17
"Snells Beach","Mahurangi East Community Centre, 21 Hamatana Road",294,3,81,626,87,210,1301,31
,"Snells Beach Primary School, 62 Dawson Road",152,2,30,312,49,100,645,13
"Stanmore Bay","Hibiscus Coast Leisure Centre, 159 Brightside Road",523,6,45,924,148,249,1895,31
,"Stanmore Bay School, 30 Waiora Road",239,3,20,381,52,108,803,9
"Wainui","Wainui School, 492 Waitoki Road",95,3,11,235,28,32,404,3
"Waitoki","Waitoki School Hall, 1119 Kahikatea Flat Road",50,1,4,170,27,26,278,2
"Warkworth","Masonic Lodge, Upstairs, 12 Baxter Street",203,16,72,632,88,204,1215,7
,"Warkworth Methodist Church Hall, 1 Hexham Street",170,8,37,330,51,95,691,15
,"Warkworth Primary School, 35 Hill Street",146,2,69,320,58,92,687,12
"Whangaparaoa","Whangaparaoa Ratepayers Association Hall, 717 Whangaparaoa Road",435,6,58,833,125,239,1696,30
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Helensville",61,0,8,251,21,30,371,3
,"Ordinary Votes BEFORE polling day - Taken in North Shore",2,0,3,18,4,12,39,3
,"Ordinary Votes BEFORE polling day - Taken in Northland",5,0,6,19,4,11,45,0
,"Ordinary Votes BEFORE polling day - Taken in Rodney",1060,40,322,3290,334,959,6005,127
,"Special Votes BEFORE polling day",64,3,33,298,45,115,558,10
,"Special Votes On polling day",383,19,65,1172,269,326,2234,38
,"Overseas Special Votes including Defence Force",20,4,7,177,25,41,274,1
,"Rodney Total",8031,204,1476,20253,2694,5170,37828,615
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38443
"Electorate Candidate Valid Votes","Party",,"MITCHELL, Mark Patrick - majority 12222"
"CRAIG, Colin",Conservative Party,8031,.2123030559
"HOULBROOKE, Beth Patricia",ACT New Zealand,204,.0053928307
"MARTIN, Tracey Anne",New Zealand First Party,1476,.0390187163
"MITCHELL, Mark Patrick",National Party,20253,.5353970604
"MOORE, Teresa Janet",Green Party,2694,.0712170879
"ROSE, Christine Anne",Labour Party,5170,.1366712488
