Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rongotai 45","Candidate Vote Details"
,,"FINLAYSON, Christopher Francis","KING, Annette Faye","LATIMER, Joel Neurangi","NORMAN, Russel","PIERSON, Brent Steven","RICHARDS, Donald William","RICKUS, Louise Aroha","WELSH, Bruce Alexander","Total Valid Candidate Votes","Informal Candidate Votes"
"Berhampore","Berhampore School Hall, 105 Britomart Street (Stanley Street entrance)",121,471,2,217,10,6,0,9,836,13
,"South Wellington Intermediate School Library, 165 Rintoul Street",82,242,4,76,12,0,0,1,417,12
,"St Cuthbert's Church Hall, 23 Luxford Street",43,193,0,61,8,2,0,3,310,4
"Breaker Bay","Breaker Bay Hall, 150 Breaker Bay Road",39,65,3,43,3,0,0,6,159,2
"Brooklyn","Brooklyn Community Centre, 18 Harrison Street",19,46,2,38,1,0,2,1,109,3
,"Brooklyn School, 58 Washington Avenue",53,108,0,69,2,1,0,2,235,0
,"St Bernard's School, 40 Taft Street",34,49,1,36,0,0,0,2,122,2
"Chatham Islands","Chatham Islands Council Building, 9 Tuku Road, Waitangi",33,31,0,3,0,0,1,0,68,5
"Hataitai","Garage, 38 Upoko Road",55,111,0,62,0,1,2,3,234,1
,"Hataitai School Hall, corner Arawa, Hataitai & Hohiria Roads",468,574,13,354,16,2,9,11,1447,14
,"Kilbirnie School Hall, 72 Hamilton Road",275,456,5,204,16,7,11,8,982,11
"Houghton Bay","Houghton Valley School Hall, 110 Houghton Bay Road",79,255,1,116,4,4,2,4,465,4
"Island Bay","Island Bay Presbyterian Church Lounges, 88 The Parade",275,522,7,215,21,5,4,17,1066,14
,"Island Bay School Hall, 6 Thames Street",167,313,5,145,10,3,0,13,656,7
,"St Hilda's Church Parish Centre, 311 The Parade",360,615,2,245,23,9,4,23,1281,23
,"Wellington South Baptist Church, 284 The Parade",99,179,0,71,10,2,1,12,374,7
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",3,5,0,2,0,0,0,0,10,1
"Kilbirnie","Evans Bay Intermediate School, 14 Kemp Street",90,297,2,89,3,1,0,8,490,21
,"St Patrick's College, Staffroom, corner Evans Bay Parade & Cobham Drive",148,247,3,107,5,5,2,7,524,10
"Kingston","Capital Montessori School, Rata Classroom, 14 Camrose Grove",71,177,3,55,6,1,1,5,319,4
"Lyall Bay","Lyall Bay School Hall, 40-46 Freyberg Street",254,643,8,207,22,4,5,18,1161,17
,"Lyall Bay Surf Club, Lyall Bay Parade (opposite 88 Lyall Bay Parade)",133,319,0,179,11,4,5,4,655,5
"Maupuia","Garage, 15 Kaikoura Street",143,213,0,41,2,0,1,7,407,9
"Miramar","Holy Cross School Hall, 117 Miramar Avenue",353,526,2,128,13,3,5,11,1041,10
,"Miramar Baptist Church, 33 Park Road",238,432,6,108,13,1,2,20,820,16
,"Miramar Central School Hall, 38 Park Road",296,558,2,101,24,4,3,16,1004,18
,"Miramar Christian School, Kowhai Class, 41 Camperdown Road",193,365,3,110,7,6,3,9,696,8
,"Miramar South School Hall, 7 Kauri Street",190,416,2,64,17,1,1,6,697,17
"Mornington","Ridgway School Hall, 120 Mornington Road",102,304,5,112,9,2,2,8,544,5
"Mt Cook","St Paul's Lutheran Church, 12 King Street",14,33,0,22,1,0,1,1,72,2
"Mt Victoria","Clyde Quay School, 27 Elizabeth Street",16,39,1,16,0,0,0,0,72,2
,"St Joseph's Church, Bill Pearce Room, 150 Brougham Street",5,17,0,6,0,0,1,0,29,0
"Newtown","Newtown Park Stadium, Function Room, Daniell Street or Mansfield Street entrances",43,185,2,81,0,0,1,3,315,8
,"Newtown School Hall, corner Riddiford & Mein Streets",166,777,3,336,11,12,8,12,1325,24
,"Salvation Army Hall, 16-22 Constable Street",116,405,1,170,8,2,8,7,717,25
,"St James' Presbyterian Church Lounge, 235 Adelaide Road",38,86,2,59,3,2,1,1,192,2
,"Te Whaea New Zealand School of Dance, 11 Hutchison Road",36,67,0,33,2,0,0,1,139,6
,"Wellington Chinese Baptist Church Hall, 24 Donald McLean Street",61,288,1,80,13,4,2,5,454,12
,"Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",20,47,0,22,2,1,2,0,94,0
,"Wellington Pipe Band Hall, corner Stoke & Hanson Streets",49,114,1,56,6,0,0,2,228,6
"Oriental Bay","Band Rotunda, 245B Oriental Parade",29,40,0,14,0,1,1,0,85,0
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",143,319,4,162,9,1,3,2,643,11
"Rongotai","Rongotai College, Renner Hall, 170 Coutts Street",274,694,5,136,10,6,4,26,1155,37
"Roseneath","Roseneath School Hall, 13 Maida Vale Road",233,181,3,125,2,1,3,7,555,5
"Seatoun","Seatoun School Hall, 59 Burnham Street",212,144,5,73,8,1,1,10,454,5
,"St Christopher's Church Hall, 26a Ventnor Street",366,303,5,101,3,2,1,13,794,6
"Strathmore Park","Strathmore Community School Hall, 108 Strathmore Avenue",244,605,2,118,16,4,4,11,1004,22
"Wellington City","Aro Valley Community Centre, 48 Aro Street",5,20,0,16,0,0,1,0,42,0
,"Capital E, Civic Square",26,65,0,33,0,0,1,2,127,2
,"Chaffers Dock Atrium, 18 Herd Street",26,21,0,22,0,0,2,0,71,0
,"Davidic Centre, 28-30 Hopper Street",2,17,0,8,0,1,0,0,28,0
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",40,94,0,51,2,0,1,3,191,3
,"Mount Cook Primary School, 160 Tory Street",9,34,0,22,0,0,0,0,65,0
,"St John's Church Conference Centre, corner Dixon & Willis Streets",11,23,0,10,0,0,0,0,44,2
,"Wellington High School, 249 Taranaki Street",11,14,0,12,0,0,0,0,37,0
"Worser Bay","Worser Bay School, Middle Area, 168 Seatoun Heights Road",104,192,2,55,3,1,0,8,365,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Rongotai",1043,2038,14,588,78,13,15,49,3838,91
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",313,481,11,285,7,5,1,7,1110,6
,"Special Votes BEFORE polling day",172,319,2,183,13,3,7,5,704,23
,"Special Votes On polling day",669,1375,17,884,22,13,24,24,3028,44
,"Overseas Special Votes including Defence Force",220,410,6,225,1,5,9,2,878,8
,"Rongotai Total",9132,18179,168,7262,488,152,168,435,35984,617
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36601
"Electorate Candidate Valid Votes","Party",,"KING, Annette Faye - majority 9047"
"FINLAYSON, Christopher Francis",National Party,9132,.2537794575
"KING, Annette Faye",Labour Party,18179,.5051967541
"LATIMER, Joel Neurangi",ACT New Zealand,168,.0046687417
"NORMAN, Russel",Green Party,7262,.2018119164
"PIERSON, Brent Steven",New Zealand First Party,488,.0135615829
"RICHARDS, Donald William",Independent,152,.0042240996
"RICKUS, Louise Aroha",Māori Party,168,.0046687417
"WELSH, Bruce Alexander",Conservative Party,435,.0120887061
