Electorate Candidate and Party Votes Recorded at Each Polling Place
"Selwyn 47","Candidate Vote Details"
,,"ADAMS, Amy Juliet","GRAY, Henry Robert Wilton","McLEAN, Joanne Mihirau","SAGE, Eugenie Meryl","WOODS, William Edward","Total Valid Candidate Votes","Informal Candidate Votes"
"Aidanfield","Aidanfield Christian School Library, 2 Nash Road",400,20,74,40,18,552,4
"Akaroa","Akaroa Sports Centre, Rue Jolie",371,7,68,94,7,547,10
"Arthurs Pass","Arthurs Pass Visitors Centre, Main Highway",15,0,4,16,0,35,0
"Broadfield","Broadfield School, corner Shands & Robinsons Roads, RD6",287,7,24,25,17,360,3
"Brookside","Brookside St Luke's Sunday School Hall, Brookside-Burnham Road",89,3,15,13,6,126,0
"Burnham","Burnham School, Whare, corner Chaytor Avenue & Godley Road",233,8,45,26,21,333,1
"Cashmere","Princess Margaret Hospital, 97 Cashmere Road (Entrance 4)",63,4,20,14,0,101,0
"Christchurch City","ABC Salisbury Street Pre School, 150 Salisbury Street",4,0,1,1,0,6,0
,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",37,0,4,9,3,53,1
,"First Church of Christ Scientist, 66 Carlton Mill Road",3,0,1,2,0,6,0
,"HMNZS Pegasus, 419 Montreal Street",6,0,0,5,0,11,0
,"St Michael and All Angels Church School, 249 Durham Street South",12,0,4,3,0,19,0
"Darfield","Darfield High School, McLaughlins Road",497,12,96,59,41,705,14
,"Darfield Service Centre, 1 South Terrace",481,12,113,54,68,728,16
"Diamond Harbour","Diamond Harbour Community Centre, Waipapa Avenue",125,3,54,135,6,323,0
,"Diamond Harbour School Hall, Marine Drive",183,4,80,127,5,399,5
"Dunsandel","Dunsandel Sports Centre, Tramway Road (off Main Road)",413,14,44,36,13,520,15
"Duvauchelles","Duvauchelles Hall, Main Road",124,5,35,27,6,197,3
"Glentunnel","Glentunnel School, Homebush Road",205,1,57,48,31,342,10
"Governors Bay","Governors Bay School Library, 1 Jetty Road",200,2,86,108,10,406,2
"Greendale","Greendale School, corner Greendale & Bridge Roads",122,0,8,17,9,156,1
"Greenpark","Greenpark School Library, 155 Greenpark Road, RD4 ",173,2,17,22,12,226,2
"Halswell","Halswell School, corner Kennedys Bush & School Roads",654,18,199,113,30,1014,19
,"St Mary's Anglican Church Hall, 329 Halswell Road",1238,42,363,131,46,1820,44
,"Sts Peter & Paul Catholic Church Hall, 56 Nicholls Road",805,20,267,83,35,1210,34
"Harewood","Harewood Playcentre, 719 Harewood Road",187,6,34,24,13,264,3
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",99,1,31,8,9,148,2
"Hoon Hay","Hoon Hay School, 91 Sparks Road",63,0,31,10,5,109,2
,"Rowley Avenue School, 48 Rowley Avenue",13,2,13,3,1,32,1
"Hornby","Hornby Community Care Centre, 8 Goulding Avenue",32,2,15,8,4,61,4
,"Sockburn School, 34 Springs Road",21,1,2,0,0,24,0
,"South Hornby School, 52 Shands Road",46,0,9,4,2,61,1
,"St Columba's Church Hall, 452 Main South Road",22,1,13,4,1,41,0
"Hororata","Hororata Primary School Library, 2548 Bealey Road",258,8,35,21,22,344,5
"Irwell","Irwell Hall, corner Leeston & Selwyn Lake Roads",199,7,21,20,11,258,2
"Killinchy","Killinchy Community Centre, Leeston-Dunsandel Road",114,4,13,13,7,151,3
"Kirwee","Kirwee Model School, School Lane",428,14,52,41,16,551,5
"Ladbrooks","Ladbrooks School, 9 Barnes Road, RD4",264,1,29,34,6,334,4
"Lakeside","Lakeside Domain Aquatic Club, Timberyard Road",81,1,10,5,3,100,0
"Le Bons Bay","Le Bons Bay School, Le Bons Bay Road",27,0,3,25,0,55,0
"Leeston","Leeston Consolidated School, 3 Selwyn Street",623,37,161,86,40,947,22
"Lincoln","Lincoln High School, 134 North Belt",911,33,153,141,49,1287,25
,"Lincoln University, George Forbes Building, corner Springs & Ellesmere Junction Road",171,8,48,61,12,300,6
"Little Akaloa","Little Akaloa Community Hall, Main Road",32,0,2,5,3,42,0
"Little River","Community Centre, Main Road Akaroa Highway",167,3,93,121,19,403,5
"Motukarara","Motukarara Community Hall, Park Road",137,3,25,34,8,207,3
"Oaklands","Oaklands School, Cunningham Place",309,8,148,53,13,531,4
"Okains Bay","Okains Bay School, Okains Bay Road",37,2,3,10,1,53,0
"Pigeon Bay","Pigeon Bay Hall, Wharf Road",32,0,6,9,0,47,0
"Port Levy","Old Port Levy School, Western Valley Road",31,4,3,4,1,43,0
"Prebbleton","Prebbleton School, Blakes Road",1121,22,189,115,38,1485,15
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue and Mackie Street",58,0,7,9,1,75,0
"Riccarton","Riccarton Mall, Riccarton Road (in aisle opposite K Mart)",70,0,13,11,4,98,1
,"Wharenui School, 32 Matipo Street",29,1,7,6,2,45,0
"Rolleston","Rolleston Community Centre, 94 Rolleston Drive",2434,86,497,205,111,3333,42
"Russley","St Stephen's Methodist Church, 376 Yaldhurst Road",29,0,12,1,2,44,1
"Sheffield","Sheffield School Library, Wrights Road",181,2,23,28,26,260,4
"Southbridge","Southbridge School, 25 Hastings Street",415,14,71,56,32,588,8
"Springfield","Tawera Memorial Hall, Main West Coast Road",107,1,22,33,24,187,5
"Springston","Springston Primary School Library, 16-20 Leeston Road",351,9,66,55,10,491,5
"Springston South","Springston South Soldiers' Memorial Hall, Days Road",113,3,13,18,10,157,3
"Tai Tapu","Tai Tapu School, Main Akaroa Highway",415,18,60,91,8,592,8
"Templeton","Templeton Primary School, 40 Kirk Road",693,13,221,61,60,1048,13
"Wainui","Wainui Community Centre, Wainui Main Road",42,1,7,11,0,61,0
"Weedons","Weedons School, Weedons-Ross Road, RD5 ",395,8,43,36,14,496,12
"West Melton","West Melton School, corner Weedons-Ross Road & Westview Crescent",964,18,109,93,42,1226,12
"Westmorland","Garage, 4 Brookford Place",238,4,52,24,5,323,3
