Electorate Candidate and Party Votes Recorded at Each Polling Place
"Christchurch East 5","Candidate Vote Details"
,,"BAKER, Leighton James","BRITNELL, Michael Allan","DALZIEL, Lianne Audrey","GILMORE, Aaron Wayne","MATHERS, Mojo Celeste","MILLER, Johnny Isaac","Total Valid Candidate Votes","Informal Candidate Votes"
"Akaroa","Akaroa Sports Centre, Rue Jolie",0,0,2,9,2,1,14,0
"Aranui","Aranui Primary School, 257 Breezes Road",15,6,527,116,19,2,685,19
,"St Ambrose Church, 309 Breezes Road",15,6,329,100,16,2,468,10
,"St James School, 25 Rowan Avenue",13,1,329,60,10,0,413,6
"Avondale","Avondale Primary School, 132 Breezes Road",17,7,428,235,31,3,721,12
,"Woolley Street Kindergarten, 63 Woolley Street",4,5,247,193,12,1,462,12
"Avonside/Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",2,2,87,33,9,2,135,2
"Bromley","Bromley School, 33 Keighleys Road",1,0,25,4,2,0,32,0
"Brooklands","Community Centre Hall, 5 Anfield Street",5,2,357,164,14,3,545,6
"Burwood","ABC Learning Centre, Tumara Park 2, 1 Pohutakawa Crescent, Tumara Park",8,3,241,508,24,1,785,7
,"Burwood Christian Centre, 54 Bassett Street",23,7,382,327,22,1,762,17
,"Burwood School, 255 New Brighton Road",12,10,521,482,37,4,1066,18
,"Private Garage, 165 Queensbury Street",1,1,254,131,11,3,401,9
,"Windsor School Community Hall, 170 Burwood Road",32,8,629,706,32,2,1409,18
"Christchurch City","ABC Salisbury Street Pre School, 150 Salisbury Street",1,1,5,4,2,0,13,0
,"Christchurch East School, 311 Gloucester Street",3,2,18,9,6,1,39,0
,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",0,4,40,25,4,0,73,0
,"First Church of Christ Scientist, 66 Carlton Mill Road",0,0,3,5,0,0,8,0
,"HMNZS Pegasus, 419 Montreal Street",0,0,5,2,0,0,7,0
,"St Michael and All Angels Church School, 249 Durham Street South",0,1,12,5,2,0,20,0
"Dallington","Banks Avenue School, 71 Banks Avenue",11,3,334,159,31,5,543,8
,"Dallington Scout Group, 3 Halberg Street",8,3,219,101,8,1,340,8
"Kainga","Kainga Public Hall, Kainga Road",5,6,109,97,18,0,235,4
"Linwood","Linwood Avenue School, 260 Linwood Avenue",2,0,41,16,2,1,62,0
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",0,5,76,22,10,0,113,2
"Mairehau","Mairehau High School, 440 Hills Road",0,0,20,39,7,0,66,1
,"Mairehau Primary School, 43 Mahars Road",0,3,16,11,3,0,33,0
"Marshland","Marshland School, 329 Prestons Road",4,3,115,222,13,1,358,8
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",26,13,1058,383,118,6,1604,35
"North New Brighton","Freeville School, 11 Sandy Avenue",22,4,493,370,43,4,936,2
,"North New Brighton School, 150 Leaver Terrace",21,13,671,314,80,3,1102,17
"Ouruhia","Ouruhia School Library, 21 Turners Road",1,7,102,109,9,1,229,3
"Papanui","St Giles Church Hall, 450 Papanui Road (Frank Street entrance)",1,0,2,11,2,0,16,0
"Parklands","Parkview School Hall, 10 Chadbury Street",36,13,888,796,75,5,1813,28
"Phillipstown","Phillipstown Community Centre, 39A Nursery Road",0,0,14,7,2,0,23,0
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",24,7,542,600,60,5,1238,14
"Riccarton","Riccarton Mall, Riccarton Road (in aisle opposite K Mart)",1,0,21,26,5,0,53,0
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",0,0,27,16,0,1,44,0
,"Richmond Kindergarten, 41 North Avon Road",0,1,12,10,2,0,25,0
,"Richmond Primary School Hall, 19 Pavitt Street",0,1,13,6,3,0,23,0
"Shirley","Hammersley Park School, 102 Quinns Road",9,1,203,167,14,4,398,8
,"Shirley Intermediate School, 60 Shirley Road (North Parade entrance)",12,5,236,202,17,2,474,14
,"Shirley Primary School, 11 Shirley Road",1,1,67,52,5,0,126,1
"South New Brighton","South Brighton Croquet Club Rooms, 132 Union Street",6,8,320,117,54,1,506,3
,"South New Brighton School, 166 Estuary Road",16,13,678,301,79,4,1091,13
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",9,4,181,79,11,1,285,5
,"Ottawa Gardens Pre-School, 49 Ottawa Road",6,2,188,79,13,2,290,6
,"Wainoni School, 115 Eureka Street",8,7,186,40,13,4,258,12
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Christchurch Central",8,2,261,148,15,3,437,15
,"Ordinary Votes BEFORE polling day - Taken in Christchurch East",79,11,2493,1491,167,14,4255,115
,"Ordinary Votes BEFORE polling day - Taken in Ilam",2,1,33,47,5,0,88,1
,"Ordinary Votes BEFORE polling day - Taken in Port Hills",0,0,50,25,0,1,76,0
,"Ordinary Votes BEFORE polling day - Taken in Selwyn",1,0,23,15,1,1,41,1
,"Ordinary Votes BEFORE polling day - Taken in Waimakariri",0,1,15,12,0,0,28,1
,"Ordinary Votes BEFORE polling day - Taken in Wigram",3,1,64,63,8,1,140,2
,"Special Votes BEFORE polling day",7,4,250,171,24,1,457,5
,"Special Votes On polling day",39,44,1038,713,165,10,2009,39
,"Overseas Special Votes including Defence Force",2,1,59,70,10,0,142,2
,"Christchurch East Total",522,254,15559,10225,1347,108,28015,509
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",28524
"Electorate Candidate Valid Votes","Party",,"DALZIEL, Lianne Audrey - majority 5334"
"BAKER, Leighton James",Conservative Party,522,.0186328752
"BRITNELL, Michael Allan",Aotearoa Legalise Cannabis Party,254,.0090665715
"DALZIEL, Lianne Audrey",Labour Party,15559,.5553810459
"GILMORE, Aaron Wayne",National Party,10225,.3649830448
"MATHERS, Mojo Celeste",Green Party,1347,.048081385
"MILLER, Johnny Isaac",United Future,108,.0038550776
