Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waikato 54","Candidate Vote Details"
,,"BOOM, Robin Cornelius","DOBBS, Brian","HARPER, Cameron John Ora","PEMBERTON, John Stuart","STEWART, Barbara Joy","SUTTON, Kate Anna","TISCH, William Lindsay","Total Valid Candidate Votes","Informal Candidate Votes"
"Cambridge","Cambridge East School, corner Bowen & Williams Streets",0,1,2,0,5,7,36,51,2
,"Cambridge Middle School, corner Clare & Grey Streets",0,1,0,0,1,0,24,26,0
,"Cambridge Primary School, corner Wilson & Duke Streets",1,1,11,1,3,5,52,74,0
"Fencourt","Goodwood School, 517 Fencourt Road",3,7,17,1,23,31,172,254,1
"Flagstaff","Alandale Retirement Village, 1199 River Road",0,2,6,0,0,4,37,49,3
"Glen Massey","Glen Massey School, 897 Waingaro Road",2,7,20,3,14,46,85,177,2
"Glen Murray","Glen Murray Hall, 2400 State Highway 22",0,6,10,0,3,14,103,136,0
"Gordonton","Gordonton School, 50 Woodlands Road",6,42,27,4,17,54,375,525,13
"Hamilton City","Hamilton City Council, Garden Place",0,1,14,0,1,9,27,52,1
"Hamilton West","Waikato Hospital, Fracture Clinic reception, Pembroke Street",0,0,3,0,5,12,16,36,0
"Hautapu","Hautapu School, corner Forrest & Hautapu Roads",3,6,11,2,10,23,132,187,5
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",1,6,17,0,6,33,159,222,5
,"Knighton Normal School, Knighton Road",0,1,12,0,4,15,45,77,1
"Hinuera","Hinuera School, corner Highway 29 & Hinuera Road",2,21,12,0,8,29,190,262,1
"Horotiu","Horotiu School, Horotiu Bridge Road",3,24,30,2,33,99,279,470,11
"Horsham Downs","Horsham Downs School, 4 Martin Lane",1,23,5,0,3,35,284,351,3
"Huntly","Civic Centre, Riverside Room, 148 Main Street",7,6,21,0,22,139,141,336,12
,"Huntly West Primary School, Paki Street",0,11,11,1,10,84,58,175,14
,"Kimihia School, Tamihana Avenue",1,13,15,2,32,92,119,274,5
,"Red Cross Hall, Hakanoa Street",5,20,45,2,56,244,262,634,26
,"St Anthonys Catholic School, 102 Bailey Street",1,5,13,1,22,129,110,281,18
,"Te Whare Oranga, 147 Harris Street",2,1,6,0,2,30,11,52,3
,"West Kindergarten, 26 Smith Avenue",3,12,16,0,27,104,118,280,16
"Kaiaua","Kaiaua School, 1061 East Coast Road",1,8,21,2,28,59,149,268,8
"Karapiro","Karapiro School, 705 State Highway 1",3,4,12,1,10,12,172,214,3
"Kereone","Kereone School, 779 Hutchinson Road",2,2,4,0,1,8,87,104,1
"Kiwitahi","Kiwitahi School, 8 Chepmell Road",6,11,11,0,4,14,134,180,5
"Mangatangi","Mangatangi School, 2047 Mangatangi Road",5,10,19,1,12,27,146,220,4
"Mangatawhiri","Mangatawhiri School, 15 McKenzie Road",0,13,15,0,12,36,158,234,6
"Maramarua","Maramarua School, 2200 State Highway 2",4,10,12,0,14,32,152,224,5
"Matamata","Matamata College, 121 Firth Street",11,27,27,2,35,93,452,647,18
,"Matamata Primary School, 115a  Broadway",5,40,53,8,70,226,1036,1438,37
,"Memorial Centre, Tainui Street",14,54,59,10,94,225,982,1438,40
"Matangi","Matangi School, 599 Matangi Road",3,23,59,2,23,169,644,923,18
"Mercer","Mercer School, 15 Glass Road",0,4,7,1,13,17,63,105,1
"Meremere","Meremere School, Meremere Lane",1,5,3,1,7,23,48,88,6
"Morrinsville","David Street School, 45 David Street",14,53,77,2,62,211,671,1090,35
,"Kai-a-te-mata Marae, Kereone Road",0,0,1,0,2,14,19,36,1
,"Methodist Church Hall, 318 Thames Street",25,42,68,4,79,241,839,1298,54
,"Morrinsville College, Alexandra Avenue",8,29,52,3,35,132,427,686,19
"Motumaoho","Motumaoho School, 2085 Hamilton Road",3,16,10,1,9,22,197,258,0
"Naike","Naike Community Hall (old school), State Highway 22",1,2,2,0,1,7,44,57,2
"Newstead","Newstead School, 429 Morrinsville Road",8,17,42,1,15,94,393,570,9
"Ngaruawahia","Ngaruawahia Primary School, Galileo Street",5,31,70,0,67,278,360,811,30
,"Turangawaewae Marae, River Road",2,0,10,0,13,44,58,127,4
,"Waipa School, Kia Toa Road",4,15,48,4,43,198,166,478,22
"Ohinewai","Ohinewai School, 39 Ohinewai South Road",1,1,6,0,2,15,82,107,3
"Okauia","Okauia Hall, 375 Okauia Springs Road",1,15,7,3,8,16,127,177,3
"Onewhero","Onewhero Area School, Hall Road",8,32,39,0,25,64,204,372,5
"Orini","Orini Combined School, 1389 Orini Road ",7,8,12,2,8,17,148,202,1
"Pokeno","Pokeno School, 54 Pokeno Road",3,21,39,0,28,68,347,506,12
"Port Waikato","Port Waikato Community Hall, Sunset Beach Car Park",0,6,16,0,16,51,78,167,10
"Pukekawa","Pukekawa School, 803 Highway 22",5,20,35,2,22,64,363,511,11
"Pukemiro","Pukemiro School, 4 John Avenue",0,4,8,0,12,40,30,94,4
"Puketaha","Puketaha School, 395 Puketaha Road",5,8,29,0,9,38,303,392,1
"Raglan","Raglan Town Hall, 41 Bow Street",0,0,15,1,4,11,19,50,1
"Rangiriri","Rangiriri School, 39 Rangiriri Road",0,2,1,1,3,14,49,70,2
"Rototuna","Rototuna Primary School, 23 Strathmore Drive",0,4,4,1,0,9,45,63,1
"Rototuna North","Te Totara Primary School, 31 Hector Drive",0,1,1,0,0,2,12,16,0
"Ruawaro","Central Districts Memorial Hall, corner Hetherington & Waikokawa Roads",4,7,7,0,8,18,139,183,7
"Silverdale","Hillcrest High School, Masters Avenue",1,1,9,2,5,9,42,69,1
"Tamahere","Tamahere School, 37 Devine Road",5,26,72,2,22,145,928,1200,15
"Tauhei","Tauhei Combined School, 860 Tauhei Road",2,4,4,1,2,9,117,139,3
"Taupiri","Taupiri School, Green Lane Road",5,13,18,0,41,52,246,375,16
"Tauwhare","Tauwhare School, 20 Scotmans Valley Road ",9,5,31,1,12,60,275,393,7
"Te Akau","Te Akau School, 953 Te Akau Road",1,4,2,0,2,4,73,86,1
"Te Kauwhata","Te Kauwhata College, Waerenga Road",6,36,37,1,33,130,490,733,19
"Te Kohanga","Te Kohanga School, 976 Tuakau-Port Waikato Main Road",4,9,6,0,4,21,72,116,1
"Te Kowhai","Te Kowhai School, 605 Horotiu Road",0,7,8,0,9,18,124,166,0
"Te Miro","Te Miro School, 443 Te Miro Road",3,6,13,0,6,19,107,154,0
"Te Poi","Te Poi School, 3 Stopford Road",4,10,9,3,9,22,142,199,0
"Te Uku","Te Uku School, 3436 State Highway 23",0,8,18,0,5,25,72,128,2
"Tuakau","Tuakau Town Hall, George Street",0,5,10,0,6,19,56,96,1
"Waerenga","Waerenga School, 1066 Taniwha Road",4,10,11,0,9,11,169,214,3
"Waharoa","Waharoa School, 32 Ward Street",0,3,9,2,9,20,77,120,5
"Waikaretu","Waikaretu School, 1448 Waikaretu Valley Road",0,1,4,0,3,5,44,57,1
"Waingaro","Waingaro School, 5844 Highway 22",3,3,2,0,1,15,58,82,0
"Waiterimu","Waiterimu School, 166 Waiu Road",0,4,2,0,3,12,87,108,4
"Walton","Walton School, Main Road",5,10,15,1,10,18,195,254,3
"Wardville","Wairere School, Wardville Road",0,4,4,0,4,7,104,123,5
"Whangamata ","Whangamata Memorial Hall, 328 Port Road",2,0,4,0,3,2,68,79,2
"Whatawhata","Whatawhata School, 9 Kura Street ",1,13,21,2,6,27,105,175,2
"Whitehall","Whitehall School, 12 Brunskill Road",0,6,6,0,0,17,53,82,2
"Whitikahu","Whitikahu School, 763 Whitikahu Road",0,12,12,0,13,26,155,218,7
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Hamilton East",5,15,29,0,8,52,296,405,5
,"Ordinary Votes BEFORE polling day - Taken in Hamilton West",1,1,21,0,8,36,163,230,1
,"Ordinary Votes BEFORE polling day - Taken in Hunua",2,13,8,0,12,20,114,169,1
,"Ordinary Votes BEFORE polling day - Taken in Taranaki-King Country",1,1,6,0,0,3,11,22,1
,"Ordinary Votes BEFORE polling day - Taken in Taupō",3,4,9,0,5,21,183,225,5
,"Ordinary Votes BEFORE polling day - Taken in Waikato",16,49,78,8,109,397,1283,1940,80
,"Special Votes BEFORE polling day",5,7,29,2,14,82,196,335,3
,"Special Votes On polling day",18,89,231,10,93,437,1449,2327,48
,"Overseas Special Votes including Defence Force",1,1,7,0,4,31,85,129,0
,"Waikato Total",307,1142,1970,107,1571,5619,19817,30533,775
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31308
"Electorate Candidate Valid Votes","Party",,"TISCH, William Lindsay - majority 14198"
"BOOM, Robin Cornelius",ACT New Zealand,307,.0100546949
"DOBBS, Brian",Conservative Party,1142,.037402155
"HARPER, Cameron John Ora",Green Party,1970,.064520355
"PEMBERTON, John Stuart",Democrats for Social Credit,107,.0035044051
"STEWART, Barbara Joy",New Zealand First Party,1571,.0514525268
"SUTTON, Kate Anna",Labour Party,5619,.1840303933
"TISCH, William Lindsay",National Party,19817,.6490354698
