Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wairarapa 56","Candidate Vote Details"
,,"ATKINSON, Shane Whitford","BOTT, Michael Robin","HAYES, John Bernard","McGRATH, Richard Graham","REID, Brent Allan","ROTMANN, Sea","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfredton","Alfredton School, corner Alfredton Road & Route 52",3,7,121,6,8,6,151,4
"Carterton","Carterton Kindergarten, 3 Victoria Street",5,320,374,15,30,75,819,29
,"Carterton School Hall, corner Holloway & Dixon Streets",20,373,389,11,40,100,933,28
,"Dalefield School, corner Dalefield & Thomas Roads",1,82,134,8,9,23,257,6
,"Parkvale Hall, corner Nix & Para Roads",4,89,240,7,11,25,376,11
,"South End School, 275 High Street South",10,280,336,9,40,72,747,24
,"West Taratahi Hall, Chester Road",2,70,141,3,19,20,255,6
"Dannevirke","Dannevirke High School Canteen, Grant Street",2,61,182,1,7,15,268,9
,"Dannevirke South School Hall, corner Stairs & Hunter Streets",9,167,334,3,17,44,574,21
,"Dannevirke Sports Centre, Anderson Street",2,103,153,1,10,13,282,13
,"Huia Range School, corner Cole & High Streets",4,226,320,6,23,39,618,26
,"Ruahine School, 333 Maharahara Road",2,14,156,3,13,5,193,5
,"The Hub, Allardice Street",7,176,306,2,22,39,552,34
,"Totara College, 3 Ruahine Street",3,81,192,2,17,16,311,6
"Eketahuna","Eketahuna School, Albert Street",4,115,234,10,13,31,407,18
"Featherston","Featherston School Hall, corner Lyons & Revans Streets",12,621,371,13,36,124,1177,29
,"South Featherston School, South Featherston Road",3,52,85,3,8,12,163,4
"Gladstone","Gladstone School Hall, Te Whiti Road",7,35,217,9,13,26,307,4
"Greytown","Greytown School Hall, 76 East Street",15,397,719,17,44,151,1343,42
,"Kuranui College Student Centre, Bidwells Cutting Road",3,59,152,2,5,24,245,6
"Kahutara","Kahutara School Sports Centre, Kahutara Road",2,34,107,2,9,10,164,4
"Mangamaire","Mangamaire School, 192 Tutaekara Road",2,28,146,2,7,12,197,4
"Mangatainoka","Mangatainoka School, corner State Highway 2 & Makuri Street",0,44,134,0,10,15,203,6
"Martinborough","Martinborough School Hall, 14 Dublin Street",17,261,732,13,30,126,1179,35
"Masterton","Chanel College Hall, 26 Herbert Street",5,309,275,20,30,40,679,24
,"Courthouse, 41 Dixon Street",3,245,293,22,22,59,644,24
,"Douglas Park School Hall, 136 Cole Street",5,184,194,12,21,47,463,14
,"Fernridge School Hall, 264 Upper Plain Road",2,130,311,24,29,48,544,8
,"IDEA Services (IHC Centre), 46 Bentley Street",3,77,42,8,6,23,159,11
,"Lakeview School Hall, corner Te Ore Ore & Colombo Roads",21,554,856,59,106,138,1734,55
,"Makoura College Hall Foyer, corner Makora Road & Johnstone Street",4,206,122,12,12,52,408,22
,"Masterton Intermediate School Hall, 38 Intermediate Street",7,448,473,56,59,94,1137,29
,"Solway School Hall, 318 Ngaumutawa Road",7,202,387,37,27,51,711,24
,"Town Hall, 64 Chapel Street",13,555,692,60,58,143,1521,55
,"Westside Playcentre, corner Renall Street & Ngaumutawa Road",5,237,255,27,26,47,597,22
,"Young Citizens Hall, 205 Chapel Street",2,257,240,25,23,44,591,28
"Mauriceville","Mauriceville School, 1378 Opaki-Kaiparoro Road",1,31,66,8,6,12,124,6
"Norsewood","Norsewood School, Coronation Street",6,88,239,1,17,21,372,15
"Omakere","Omakere School, Long Range Road",1,3,80,1,5,8,98,1
"Opaki","Opaki School Hall, 36 Waipipi Road",4,68,263,16,14,26,391,14
"Pahiatua","Pahiatua School Hall, corner Albert Street & Mangahao Road",5,168,302,1,45,34,555,23
,"Tararua District Council Chambers, 136 Main Street",8,235,426,9,42,47,767,28
"Pirinoa","Pirinoa School, Lake Ferry Road",3,52,109,1,8,12,185,4
"Pongaroa","Pongaroa School, 9 Makomako Street",4,14,136,0,15,11,180,5
"Porangahau","Porangahau School, Keppel Street",5,34,183,0,7,11,240,3
"Takapau","Takapau School Hall (Nancy Street entrance)",7,69,174,5,23,23,301,10
"Tinui","Tinui School, 25 Charles Street",1,26,138,5,7,12,189,4
"Wainuioru","Wainuioru School, Stronvar Road",2,14,83,4,2,8,113,0
"Waipawa","Central Hawkes Bay District Council Chambers, 28-32 Ruataniwha Street",2,127,227,1,32,45,434,12
,"Waipawa School, Technology Block, 6 Harker Street",3,156,187,1,19,38,404,14
"Waipukurau","Central Hawkes Bay College Library, 45 Tavistock Road",4,137,313,1,22,41,518,26
,"The Terrace School Staffroom, 164 Porangahau Road",6,121,323,1,17,39,507,22
,"Waipukurau School Hall, St Marys Road",9,247,616,2,56,72,1002,33
"Weber","Weber School, Dannevirke-Weber Road",2,7,105,0,4,3,121,4
"Whareama","Whareama School, 82 Langdale Road",2,29,128,3,5,7,174,4
"Woodville","Woodville School Hall, Vogel Street",4,378,387,4,65,47,885,23
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Wairarapa",34,969,1836,39,139,249,3266,127
,"Special Votes BEFORE polling day",3,149,221,9,10,42,434,13
,"Special Votes On polling day",17,471,801,28,56,223,1596,35
,"Overseas Special Votes including Defence Force",3,54,123,2,0,16,198,0
,"Wairarapa Total",352,10746,17881,652,1476,2856,33963,1116
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35079
"Electorate Candidate Valid Votes","Party",,"HAYES, John Bernard - majority 7135"
"ATKINSON, Shane Whitford",ACT New Zealand,352,.0103642199
"BOTT, Michael Robin",Labour Party,10746,.3164031446
"HAYES, John Bernard",National Party,17881,.5264847039
"McGRATH, Richard Graham",Libertarianz,652,.0191973618
"REID, Brent Allan",Conservative Party,1476,.0434590584
"ROTMANN, Sea",Green Party,2856,.0840915114
