Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waitakere 57","Candidate Vote Details"
,,"BENNETT, Paula Lee","BRADFORD, Susan","LYE, Jeffrey Eric","MOUNTAIN, Daniel Luke","OSBORNE, Peter Christopher","SEPULONI, Carmel Jean","TOLLESTRUP, Stephen Rome","Total Valid Candidate Votes","Informal Candidate Votes"
"Avondale","Rosebank School Hall, 217 Rosebank Road",9,0,0,0,0,14,4,27,0
"Glen Eden","Catholic Church Hall, 7 Glendale Road",331,6,13,22,1,451,37,861,29
,"Glen Eden Baptist Church Hall, 97 Glendale Road",339,8,10,18,2,271,47,695,17
,"Glen Eden Primary School, 3 Glenview Road",358,3,15,17,1,541,57,992,20
,"Prospect School Hall, 76 Rosier Road",518,14,11,27,4,887,93,1554,20
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, 441 West Coast Road",184,6,7,10,0,375,34,616,9
"Glendene","Glendene School, 60 Barrys Road",12,2,0,4,0,17,2,37,0
,"Tirimoana School, 34 Kokiri Street",48,0,0,2,0,23,7,80,2
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",382,14,14,24,1,830,42,1307,51
,"Henderson High School, 31 Henderson Valley Road",315,10,13,14,1,313,44,710,16
,"Henderson North School, 14 Norval Road",60,1,4,2,0,49,5,121,8
,"Henderson Primary School, 13 Montel Avenue",165,9,2,18,2,215,20,431,16
,"Henderson South School, 24 Garelja Road",113,4,9,8,1,242,11,388,15
,"Henderson Valley Primary School, 389 Henderson Valley Road",415,3,9,18,2,195,78,720,12
,"Montessori at the Children's House, 1 Clover Drive",27,0,1,0,1,31,8,68,0
,"The Church of Jesus Christ of Latter-Day Saints, 7 Harvest Drive",509,2,7,25,1,281,33,858,22
,"The Trusts Stadium (Ukulele Festival), Central Park Drive",27,0,1,1,2,27,9,67,3
,"Waitakere College, 42 Rathgar Road",138,1,5,3,1,123,18,289,6
,"Western Heights School, 126 Sturges Road",1992,16,17,66,7,973,111,3182,49
"Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads (Gate 3)",8,0,0,3,1,28,4,44,0
,"Kelston Girls College, 1 Archibald Road",61,3,0,5,0,139,12,220,9
"Lincoln","Pomaria Primary School, 33a Pomaria Road",43,3,4,2,0,59,4,115,1
"Massey","Lincoln Heights School, 16 Keegan Drive",10,0,0,3,0,16,1,30,1
,"Royal Road School, 112 Royal Road",15,2,0,0,0,12,4,33,2
"Massey West","Don Buck School, 124 Don Buck Road",101,3,2,2,1,103,10,222,7
,"Massey High School, 274 Don Buck Road",187,3,2,9,0,88,13,302,4
"Muriwai","Muriwai Fire Station, corner Coast & Motutara Roads",29,0,1,1,0,9,12,52,0
"New Lynn","Fruitvale School, 9 Croydon Road",58,1,2,1,0,54,10,126,1
"Oratia","Oratia District School, 1 Shaw Road",851,10,7,29,1,418,89,1405,11
"Piha","Barnett Hall, 2 North Piha Road",153,10,5,4,2,186,80,440,5
"Ranui","Birdwood School, 23 Karepo Crescent",118,4,7,13,0,323,20,485,13
,"Ranui Community House, 474 Swanson Road",237,22,7,11,2,520,47,846,38
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",66,5,4,4,0,224,14,317,10
,"Ranui Primary School, 16a Ranui Station Road",276,17,7,16,2,497,27,842,15
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road ",289,5,5,20,0,278,28,625,23
,"Sunnyvale Community Hall, 18 Sunnyside Road",174,8,8,12,0,270,26,498,14
,"Sunnyvale Primary School, 34 Ribblesdale Road",300,13,10,22,0,389,48,782,29
"Swanson","Swanson School, 703 Swanson Road",1065,19,16,39,4,515,137,1795,30
"Te Atatu South","Edmonton Primary School, corner School & Edmonton Roads",14,2,1,2,1,22,2,44,1
,"Flanshaw Road School, 51 Flanshaw Road",13,1,0,2,0,23,2,41,2
,"Freyberg Community School, 60 Roberts Road",8,0,0,2,0,7,3,20,0
,"Rangeview Intermediate School, Keru Place",25,0,1,1,0,17,0,44,0
"Titirangi","Glen Eden Intermediate School, 23 Kaurilands Road",37,2,0,0,1,34,2,76,1
,"Kaurilands School, 109 Atkinson Road",109,0,0,3,0,69,11,192,2
,"Titirangi War Memorial Hall, 500 South Titirangi Road",36,1,1,1,0,16,11,66,1
"Waiatarua","Waiatarua Community Hall, 911 West Coast Road",222,2,6,3,1,150,49,433,1
"Waitakere","Waitakere Primary School, 10 Bethells Road",614,15,17,28,2,355,105,1136,12
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",53,2,1,2,1,32,9,100,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Helensville",7,0,0,0,0,8,1,16,0
,"Ordinary Votes BEFORE polling day - Taken in North Shore",5,0,0,0,0,9,1,15,2
,"Ordinary Votes BEFORE polling day - Taken in Te Atatū",490,5,10,17,0,294,50,866,15
,"Ordinary Votes BEFORE polling day - Taken in Waitakere",676,13,12,27,1,902,91,1722,53
,"Special Votes BEFORE polling day",164,8,5,9,2,239,26,453,9
,"Special Votes On polling day",939,40,52,36,6,1216,218,2507,42
,"Overseas Special Votes including Defence Force",70,4,0,3,0,77,28,182,3
,"Waitakere Total",13465,322,331,611,55,13456,1855,30095,652
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",30747
"Electorate Candidate Valid Votes","Party",,"BENNETT, Paula Lee - majority 9"
"BENNETT, Paula Lee",National Party,13465,.4474165144
"BRADFORD, Susan",Mana,322,.0106994517
"LYE, Jeffrey Eric",Aotearoa Legalise Cannabis Party,331,.0109985047
"MOUNTAIN, Daniel Luke",Conservative Party,611,.0203023758
"OSBORNE, Peter Christopher",Libertarianz,55,.0018275461
"SEPULONI, Carmel Jean",Labour Party,13456,.4471174614
"TOLLESTRUP, Stephen Rome",Green Party,1855,.0616381459
