Electorate Candidate and Party Votes Recorded at Each Polling Place
"Whanganui 61","Candidate Vote Details"
,,"BORROWS, Kerry James","BROUGHAM, Ian Wallace","DAVIDSON, Alan Daniel","McDOUALL, Hamish Crichton","MILNES, John Ingham","SMITH, Heather Marion","Total Valid Candidate Votes","Informal Candidate Votes"
"Alton","Alton Hall, Ball Road",108,0,0,3,0,0,111,1
"Aramoho","Aramoho School, 2 Mitchell Street",231,29,2,400,47,2,711,14
,"Churton School, Burmah Street",202,17,3,193,42,1,458,7
,"Cullinane College, 15 Peat Street",235,16,0,280,24,2,557,9
"Auroa","Auroa School, 734 Auroa Road",164,1,2,14,6,2,189,2
"Brunswick","Brunswick School, Campbell Road",109,8,2,75,4,1,199,2
"Castlecliff","Aranui School, 14 Aranui Avenue",80,11,0,123,14,1,229,11
,"Castlecliff School, 25 Polson Street",136,30,1,330,35,2,534,13
,"St Luke's Church Hall, 34 Manuka Street",80,19,1,196,11,2,309,11
,"Te Kura O Kokohuia, 36 Matipo Street",20,5,1,59,4,2,91,4
"Eltham","Eltham School, 69 Conway Road",219,21,3,130,17,5,395,11
,"Rawhitiroa School, 596 Rawhitiroa Road",81,0,2,7,1,0,91,2
,"St Mark's Parish Hall, 235 High Street",262,24,2,148,20,3,459,10
"Fordell","Fordell School, Budge Street",116,2,0,56,11,1,186,5
"Gonville","Baden Powell Scout Hall, 13 Swiss Avenue",222,32,1,413,46,8,722,22
,"St Peters Parish Hall, 72 Koromiko Road",261,29,6,358,33,3,690,14
"Hawera","Hawera High School, 13 Camberwell Road",347,8,2,136,25,2,520,6
,"Hawera Primary School, Manawapou Road entrance",352,7,0,120,6,0,485,8
,"Highland Pipe Band Hall, Collins Street",319,10,0,96,17,1,443,7
,"Presbyterian Centre, 35 Argyle Street",403,15,3,201,31,1,654,21
,"Public Hospital, 37 Hunter Street",105,10,1,52,8,0,176,2
,"Ramanui School, 85 Fairfield Road",221,10,1,93,13,2,340,10
,"Tawhiti School, Perth Street ",215,4,2,65,7,1,294,7
,"Turuturu School, 194 Glover Road",654,4,3,118,14,1,794,5
"Kai Iwi","Kai Iwi School, 908 State Highway 3",78,8,3,39,4,1,133,2
"Kaitoke","Kaitoke School, Concord Line",112,3,1,53,10,0,179,4
"Kakaramea","Kakaramea School, 2193 Main South Road ",86,4,0,14,5,0,109,1
"Kakatahi","Kakatahi School, 4315 Parapara Road (State Highway 4)",24,0,1,7,1,0,33,0
"Kaponga","Kaponga School, 30 Egmont Street",242,20,0,39,9,0,310,8
"Manaia","Manaia School, Patukukupa Street ",275,19,4,113,26,3,440,5
"Mangamahu","Mangamahu School, Kowhai Street",33,1,1,6,1,0,42,1
"Matapu","Matapu School, 495 Hastings Road",151,4,1,14,5,1,176,2
"Maxwell","Maxwell Pre-School,1655 Main South Road (State Highway 3)",93,3,1,29,7,0,133,1
"Mokoia","Mokoia School, 969 Main South Road ",70,1,0,10,1,0,82,3
"Mosston","Mosston School, 211 Mosston Road",190,11,0,147,12,1,361,3
"Ngaere","Ngaere School, 4355 Mountain Road",27,0,0,7,1,0,35,0
"Normanby","Normanby School, 3 Hunter Street",276,7,4,94,13,3,397,7
"Ohangai","Ohangai School, 34 Ohangai Road East",62,4,0,9,6,0,81,2
"Okato","Coastal Taranaki School, 88 Carthew Street",55,0,1,12,9,0,77,1
"Okoia","Okoia School, No. 3 Line",81,9,3,29,9,0,131,2
"Opunake","Opunake Primary School, Longfellow Road",393,42,2,112,45,2,596,15
"Patea","Patea Old Folks Hall, 137 Egmont Street",151,19,1,146,15,1,333,9
"Pihama","Pihama Hall, Main South Road (State Highway 45)",86,2,0,9,0,0,97,5
"Pungarehu","Pungarehu Hall, Main South Road ",73,8,2,22,10,1,116,1
"Putiki","Te Kura Kaupapa Māori O Te Atihaunui A Paparangi, 25 Anaua Street",113,10,2,82,11,1,219,2
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",4,0,0,5,0,0,9,0
"Rahotu","Rahotu School, Main South Road (Surf Highway 45)",127,10,0,29,13,0,179,1
"Rapanui","Rapanui-Mowhanau Community Centre, 4-6 Mowhanau Drive",68,0,0,33,4,1,106,1
"Springvale","Faith City Church, 127 Springvale Road",523,36,4,418,29,1,1011,22
,"Springvale Stadium, Springvale Park",303,16,1,261,30,4,615,12
"Tawhero","Tawhero School, 27 Totara Street",309,30,0,501,38,2,880,16
"Te Kiri","Te Kiri Hall, Eltham Road",94,0,0,7,2,0,103,1
"Turakina","Turakina School, State Highway 3",16,0,0,5,1,0,22,0
"Upokongaro","Upokongaro School, State Highway 4",98,6,0,67,6,0,177,2
"Waitotara","Waitotara School, Severn Street",106,8,0,21,8,1,144,4
"Warea","Warea Hall, Main South Road ",107,2,2,13,7,0,131,3
"Waverley","Waverley Primary School, Gloag Street",299,22,5,117,21,3,467,9
"Westmere","Westmere School, corner Francis & Rapanui Roads",354,6,3,140,21,2,526,5
"Whangaehu","Whangaehu School, Ruatangata Street",5,0,0,1,0,0,6,0
"Whanganui","Carlton School, 99 Carlton Avenue",339,31,7,508,41,2,928,17
,"City College, 84 Ingestre Street",374,23,4,342,18,3,764,12
,"Durie Hill School, 109 Portal Street",365,13,0,305,38,0,721,11
,"Keith Street School, 38-46 Keith Street",277,34,4,491,42,2,850,25
,"St Andrew's Pipe Band Hall, 9 Bell Street",164,9,0,233,21,3,430,6
,"St Andrew's Presbyterian Church, 42 Glasgow Street",133,13,2,177,23,3,351,3
,"St John's Hill School, 71 Parkes Avenue",752,21,3,378,36,3,1193,19
"Whanganui East","Baptist Church Hall, Moana Street",341,25,3,362,53,4,788,14
,"St Anne's School, Raine Street",160,10,2,154,24,1,351,5
,"Wanganui East School, Patapu Street",395,43,3,518,52,3,1014,18
"Whenuakura","Whenuakura School, Kaharoa Road",77,1,0,8,1,0,87,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Taranaki-King Country",26,1,0,4,1,0,32,0
