Electorate Candidate and Party Votes Recorded at Each Polling Place
"Whangarei 62","Candidate Vote Details"
,,"BAZELEY, Andrew Patrick","CRAIG, Ross Graham Winston","GOODHUE, Edgar Kenneth","GRIEVE, Robin Barrie","HEATLEY, Philip Reeve","HUGHES, Helen Kay","NEWMAN, Patrick William","PARAONE, Rewiti Pomare Kingi","Total Valid Candidate Votes","Informal Candidate Votes"
"Glenbervie","Glenbervie School, 151 Ngunguru Road",63,19,8,11,500,2,101,17,721,9
"Hikurangi","Hikurangi School, Swan Avenue",45,17,0,0,191,3,141,40,437,13
"Kamo","Jane Mander Retirement Village, 262 Fairway Drive",27,9,1,6,279,3,61,18,404,18
,"Kamo Intermediate School, Hailes Road",55,26,8,2,457,2,197,27,774,10
,"Kamo Primary School, 6 Three Mile Bush Road",110,57,7,18,1123,3,402,70,1790,27
"Kauri","Kaurihohore Hall, corner Apotu & Crane Roads",25,14,1,11,327,1,69,11,459,6
"Kensington","Kensington Croquet Club, 41 Mill Road",50,33,4,6,447,1,164,41,746,27
,"St Johns Church Centre, 149 Kamo Road",60,21,2,8,407,1,202,33,734,17
,"Table Tennis Centre, Western Hills Drive",51,8,1,4,281,0,113,14,472,9
,"Whau Valley School, 17 Moodys Avenue",53,21,4,9,365,0,141,25,618,9
"Kokopu","Kokopu School, Kokopu Road",9,4,1,8,73,0,14,1,110,0
"Mangapai","Mangapai Hall, corner McAlister & Mangapai Roads ",25,12,2,4,194,0,61,7,305,7
"Mangawhai","Mangawhai Hall, Mangawhai Road",3,0,0,0,16,0,2,0,21,0
"Mata","Mata Hall, Salmon Road  ",17,6,0,4,116,1,31,8,183,1
"Matapouri","Matapouri Public Hall, Matapouri Road",37,7,0,0,87,1,40,3,175,1
"Maungakaramea","Maungakaramea School, Tangihua Road",21,15,1,4,282,0,72,20,415,14
"Maungatapere","Maungatapere School, Mangakahia Road",52,19,3,14,641,0,112,24,865,8
"Maunu","Maunu Health Camp, 436 Maunu Road",38,22,2,6,336,0,71,30,505,12
,"Maunu Primary School, 13 Austins Road",55,50,2,7,821,3,172,28,1138,23
,"Whangarei Area Hospital, Maunu Road",34,15,2,1,199,3,115,25,394,14
"Morningside","Morningside School, 53A Morningside Road",41,18,4,2,189,2,126,15,397,8
"Ngararatanua","Regent Training Centre, Pipiwai Road",23,7,1,5,195,0,53,8,292,6
"Ngunguru","Ngunguru Community Hall, Ngunguru Road",143,22,1,11,511,2,160,23,873,10
"Oakura","Oakura Hall, Oakura Road",3,1,0,1,48,0,5,3,61,1
