Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hauraki-Waikato 64","Candidate Vote Details"
,,"GREENSILL, Angeline Ngahina","KARAMAENE, Te Ariki Derek","MAHUTA, Nanaia Cybele","TE MATAKI, Tau Huia","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
"Waiheke Island","Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Road",11,0,13,8,32,2
,"Omiha Memorial Hall, 2 Glenbrooke Road",3,0,7,0,10,0
,"Onetangi Residents Association Hall, corner Waiheke Road & Third Avenue",5,0,8,4,17,3
,"Palm Beach Hall, 64 Palm Road",4,0,7,4,15,2
,"Surfdale Community Hall, 6 Hamilton Road",0,0,11,5,16,2
,"Te Huruhi School, 7 Donald Bruce Road",1,0,10,3,14,0
,"Waiheke Primary School, 26 Seaview Road",6,0,17,4,27,0
,Botany
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",0,1,10,1,12,0
,Coromandel
"Cooks Beach","Cooks Beach Community Centre, corner Purangi Road & Rees Avenue",1,0,4,4,9,0
"Coroglen"," Coroglen School, 10 Rangihau Road",2,0,2,3,7,0
"Coromandel","Coromandel Area School, 120 Woollams Avenue",15,0,21,14,50,3
"Hikutaia","Hikutaia Public Hall, State Highway 26",1,1,2,3,7,0
"Kennedy Bay","Te Kura Kaupapa Māori O Harataunga, 1416 Kennedy Bay Road",10,0,10,8,28,2
"Kerepehi","Kerepehi School, McGowan Avenue ",12,3,25,3,43,3
"Kopuarahi","Kopuarahi School, corner State Highway 25 & Bush Road ",2,0,4,0,6,0
"Manaia","Manaia School, 22 Goldfields Road",27,0,27,9,63,6
"Netherton","Netherton School, 7 School Road",1,0,4,1,6,0
"Ngatea","Ngatea School, 52 Orchard West Road",4,1,13,7,25,2
"Opoutere","Opoutere School, State Highway 25 ",1,0,7,3,11,0
"Paeroa","Miller Avenue School, 30 Miller Avenue",6,3,26,4,39,2
,"Paeroa Memorial Hall, 144 Normanby Road",52,1,114,34,201,15
"Puriri","Puriri School, 12 Puriri Valley Road",2,1,4,1,8,2
"Tahuna","Tahuna School, 43 Tahuna Road",2,0,9,2,13,1
"Tairua","Tairua School, 110 Main Road",3,1,11,1,16,2
"Tapu","Tapu Primary School, 719 Thames Coast Road",1,1,10,6,18,1
"Te Aroha","Matamata-Piako District Council Conference Room, 35 Kenrick Street",1,1,10,4,16,2
,"Stanley Avenue School, 61 Stanley Avenue",2,0,11,1,14,1
,"Te Aroha Primary School, corner Whitaker Street & Jubilee Avenue",3,0,28,7,38,8
"Te Puru","Te Puru Primary School, 507 Thames Coast Road",6,1,11,5,23,2
"Thames","Moanataiari School, 101 Kuranui Street",7,0,21,1,29,1
,"Parawai School, 106 Lowe Avenue",2,0,13,6,21,1
,"Tararu Cultural Centre, 604 Tararu Road",5,0,14,6,25,4
,"Thames High School, 300 Sealey Street",8,1,34,4,47,3
,"Thames South School, corner Grey & Rolleston Streets",10,0,36,21,67,9
,"Thames-Hauraki Disability Resource Centre Building, 609 Mackay Street",3,0,8,6,17,4
,"Waitakaruru School, Canal West Road ",3,0,6,3,12,1
"Turua","Turua School, 523 Hauraki Road",3,1,5,2,11,5
"Waihi","Waihi Central School, Moresby Avenue",5,0,31,6,42,2
,"Waihi East School, 6-8 Donnelly Street",7,0,12,6,25,3
,"Waihi Memorial Hall, 41 Seddon Street",12,1,37,21,71,8
"Waihi Beach","Waihi Beach School, 100 Beach Road",3,0,17,4,24,0
"Waikino","Victoria Hall, State Highway 2",3,0,6,4,13,1
"Waitoa","Waitoa School, 3932 State Highway 26",2,0,4,4,10,4
"Whangamata ","Whangamata Memorial Hall, 328 Port Road",11,2,41,8,62,4
"Whiritoa","Whiritoa Emergency Management Centre,  Whiritoa Beach Road",0,0,2,5,7,0
"Whitianga","Mercury Bay Area School, 20 South Highway",2,0,12,5,19,2
,"St Andrews by the Sea Community Church, corner Albert & Owens Streets",2,0,15,7,24,0
,"Whitianga Memorial Hall, 24 Monk Street",3,0,13,3,19,1
,Hamilton East
"Chartwell","Chartwell Cooperating Parish Hall, corner Comries Road & Belmont Avenue",28,1,69,19,117,6
,"Hukanui School, corner Hukanui Road & Pickering Crescent",10,1,38,11,60,1
"Claudelands","Peachgrove Intermediate School, 72 Peachgrove Road",8,0,45,7,60,4
,"Southwell School, 200 Peachgrove Road",10,1,30,6,47,3
,"St Aidans Parish Hall, 24 Thames Street",11,0,44,14,69,1
"Enderley","Te Kura Kaupapa Māori O Te Ara Rima School, 31 Fifth Avenue",72,3,166,28,269,12
"Fairfield","Fairfield Baptist Church, 1101 Heaphy Terrace",9,2,51,10,72,7
,"Fairfield College, 25 Bankwood Road",11,0,43,4,58,1
,"Fairfield Intermediate School, 261 Clarkin Road",22,0,65,13,100,7
,"Insoll Avenue School, 95 Insoll Avenue",56,1,131,18,206,15
,"Wesley Methodist Hall, 955 Heaphy Terrace",19,2,68,5,94,7
,"Woodstock Primary School, Fairfield Road",10,0,39,13,62,2
"Flagstaff","Alandale Retirement Village, 1199 River Road",7,0,21,12,40,4
"Hamilton East","Air Training Corps Hall, corner Naylor & Dey Streets",14,2,30,9,55,1
,"Graceways Church, 69 Grey Street",11,0,8,9,28,1
,"Hamilton East Primary School, Dawson Street",17,1,39,8,65,1
,"Knox Presbyterian Hall, 48 Albert Street",17,1,41,12,71,3
,"Marian Catholic School, 119 Firth Street",25,1,31,11,68,2
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",7,0,19,15,41,1
,"Knighton Normal School, Knighton Road",68,2,80,23,173,6
"Rototuna","Chapel Hill Community Church, 2 Cate Road",3,0,27,7,37,0
,"Rototuna Primary School, 23 Strathmore Drive",13,3,47,9,72,6
"Rototuna North","Te Totara Primary School, 31 Hector Drive",4,2,13,1,20,1
"Silverdale","Hillcrest High School, Masters Avenue",32,1,41,8,82,8
,Hamilton West
"Deanwell","Deanwell School, 49 Deanwell Avenue",24,0,81,18,123,7
"Dinsdale","Aberdeen School, 48-62 Aberdeen Drive",24,1,76,19,120,3
,"St Clare's Co-operating Parish Hall, 97 Tuhikaramea Road",13,0,26,11,50,3
"Forest Lake","Forest Lake School, 59 Storey Avenue",17,1,53,16,87,4
"Frankton","Frankton School Hall, 206 Massey Street",83,3,144,32,262,12
,"Rhode Street School, 7 Rhode Street",37,2,108,22,169,8
,"St Columba Parish Hall, 50 Rifle Range Road",25,0,63,19,107,3
,"Westside Presbyterian Church Hall, 11 King Street",10,0,17,6,33,4
"Glenview","Glenview Primary School, Bruce Avenue",23,2,47,10,82,4
"Hamilton City","Hamilton City Council, Garden Place",18,1,39,13,71,2
"Hamilton West","Hamilton West School, 36 Hammond Street",15,1,30,5,51,2
,"Waikato Hospital, Fracture Clinic reception, Pembroke Street",7,1,28,5,41,1
"Maeroa","Maeroa Intermediate School, 57 Churchill Avenue",17,1,60,13,91,1
"Melville","Melville Intermediate, 29 Mountview Road",13,0,27,8,48,3
,"Melville Methodist Church Hall, corner Bader Street & Normandy Avenue",47,1,99,18,165,5
,"Melville Primary School, 101 Ohaupo Road",18,0,45,8,71,5
