Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tāmaki Makaurau 66","Candidate Vote Details"
,,"CURTIS, Michael James","JONES, Shane Geoffrey","PENE, Kereama","SHARPLES, Pita Russell","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",5,12,6,24,47,0
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",5,9,5,24,43,0
,"Liston House, 30-32 Hobson Street",3,8,8,16,35,0
,"Methodist Church Hall, 78 Pitt Street",8,18,10,19,55,1
"Freemans Bay","Freemans Bay Community Centre Auditorium, 52 Hepburn Street",3,7,3,17,30,2
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",9,14,5,34,62,3
,"Grey Lynn Primary School, 44 Surrey Crescent",2,9,6,14,31,0
,"Mata'aga Hall, 18 Leighton Street",3,2,0,4,9,0
,"Richmond Road School, 113 Richmond Road ",8,11,4,16,39,1
,"St Joseph's School Hall, 456 Great North Road",4,11,9,20,44,1
,"St Paul's College (Library), 183 Richmond Road",1,2,0,7,10,0
"Herne Bay","Bayfield School, 2 Clifton Road ",3,4,1,6,14,0
,"Marist School, 82 Kelmarna Avenue",0,1,0,4,5,1
,"St Stephen's Presbyterian Church, 65 Jervois Road",2,6,0,9,17,0
"Newton","Newton Central School, Monmouth Street",3,4,1,10,18,0
,"Unitarian Church Hall, 1a Ponsonby Road",3,7,1,9,20,1
"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",4,10,2,27,43,1
,"Sacred Heart Parish Hall, 24 Vermont Street",2,4,0,6,12,0
,"St Mary's College (Stella Maris Old School Hall), 11 New Street",0,5,0,1,6,1
"Westmere","Hawke Sea Scouts Hall, 55 West End Road",2,2,0,6,10,0
,"Westmere School, corner Larchwood Avenue & Garnet Street",5,16,3,25,49,0
,Botany
"Botany Downs","Botany Downs Primary School, 35 Mirrabooka Avenue",3,10,0,8,21,1
,"Botany Downs Secondary College, 575 Chapel Road",1,4,1,17,23,0
,"Elim Christian Centre, 159 Botany Road",0,4,0,9,13,0
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",1,2,2,6,11,0
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",2,9,5,10,26,0
"Burswood","East City Wesleyan Church, 219 Burswood Drive",2,3,2,3,10,0
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",4,27,12,35,78,4
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",0,4,0,4,8,1
"Dannemora","Point View Primary School, 25 Kilkenny Drive",1,2,0,5,8,0
"Flat Bush","Dawson Road Primary School, Haumia Way",5,46,15,34,100,4
,"Kia Aroha College, 51 Othello Drive",7,49,19,37,112,0
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",2,5,0,9,16,1
"Howick","Cockle Bay School, 24 Sandspit Road",0,5,5,10,20,1
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",2,3,0,9,14,2
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",2,2,0,3,7,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",0,4,0,6,10,1
,Epsom
"Epsom","Auckland Grammar School, 85 Mountain Road",1,1,1,15,18,0
,"Epsom Girls Grammar School, 14 Silver Road",2,4,0,8,14,0
,"Epsom Normal School, 41 The Drive",2,4,2,10,18,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",0,0,1,6,7,0
,"St George's Church Hall, 19 Ranfurly Road",0,4,0,9,13,0
"Grafton","Auckland City Hospital, Park Road",1,6,7,5,19,3
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",1,6,1,20,28,1
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",2,2,0,7,11,0
"Mt Eden","Auckland Normal Intermediate, 24 Poronui Street",1,1,1,5,8,0
,"Auckland Provincial Guide Centre, 132 Grange Road",2,4,2,10,18,0
,"Ficino School, 27 Esplanade Road",1,0,1,11,13,0
,"Mt Eden Normal Primary School, 73 Valley Road",4,8,1,15,28,1
,"Valley Road International Church Hall, 393 Mt Eden Road",5,10,3,7,25,0
"Parnell","Jubilee Hall, Parnell Community Centre, 545 Parnell Road",1,10,1,17,29,0
,"Parnell District School, 48 St Stephens Avenue",2,8,2,21,33,0
,"Selwyn Library, 10 St Stephens Avenue",1,4,1,6,12,0
"Remuera","Remuera Intermediate School, 36 Ascot Avenue",0,5,0,8,13,1
,"Somervell Presbyterian Church and Community Centre, 497 Remuera Road",3,0,0,8,11,0
,"St Aidan's Parish Hall, 5 Ascot Avenue",2,0,0,5,7,0
,"St Joseph of Cluny Kindergarten, 74 Victoria Avenue",1,1,0,4,6,0
,"St Mark's Church Hall, 95 Remuera Road",2,2,1,6,11,0
,"Victoria Avenue School, 250 Victoria Avenue",1,3,0,5,9,0
,Māngere
"Favona","Favona School, Cadrona Place entrance",5,39,24,34,102,4
,"Koru School, 71 Robertson Road",2,33,13,22,70,3
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",3,27,15,30,75,6
"Mangere","Jean Batten School, 6 Imrie Avenue",7,27,19,40,93,6
,"Mangere Central School, 254 Kirkbride Road",1,26,12,25,64,3
,"Mangere College, 23 Bader Drive",4,20,26,20,70,3
,"Martin Hautus Pacific Peoples Learning Institute, 55-57 Plumley Crescent",0,13,8,7,28,2
,"Nga Iwi School, 60 Mascot Avenue",8,50,20,32,110,7
,"Robertson Road School, 205 Robertson Road",3,28,34,42,107,3
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",0,8,1,3,12,1
