Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauāuru 67","Candidate Vote Details"
,,"McDONALD, Jack Tautokai Baxter","PEKE-MASON, Soraya Waiata","TIMUTIMU, Frederick","TURIA, Tariana","WAITAI-RAPANA, Jennifer","WILSON, Robert Piriniha","Total Valid Candidate Votes","Informal Candidate Votes"
,Mana
"Aotea","Summerset Aotea Village, 15 Aotea Drive",6,9,0,20,0,0,35,0
"Ascot Park","Rangikura School, 95 Conclusion Street",7,34,10,34,1,0,86,9
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",11,50,10,40,0,1,112,14
,"Glenview School, 106 Bedford Street",2,10,4,8,0,0,24,1
,"Maraeroa School, 47 Driver Crescent",5,21,4,18,0,0,48,6
,"Russell School, 18 Fantame Street",6,20,5,15,0,1,47,4
"Elsdon","Porirua School, 1 Awarua Street",14,40,19,91,0,1,165,6
"Kenepuru","Kenepuru Community Hospital, Hospital Drive (off Raiha Street)",3,6,3,8,0,0,20,0
"Linden","Greenacres School, 60 Raroa Terrace",2,1,0,4,0,0,7,0
,"Linden School, 60 Ranui Terrace",2,7,2,4,0,0,15,1
,"Linden Social Centre, 10 Linden Avenue",2,12,1,17,0,0,32,1
,"Tui Park Kindergarten, 12b Mexted Terrace",2,9,3,9,1,0,24,1
"Mana","St Barnabas' Church Hall, 106a Mana Esplanade",7,9,3,21,0,0,40,2
"Paekakariki","Paekakariki School, Wellington Road",18,6,2,11,1,0,38,0
,"St Peters Village Hall, corner Beach Road & Ames Street",14,9,1,9,0,0,33,1
"Papakowhai","Papakowhai School, 17 Spey Place",0,8,0,18,1,0,27,1
"Paraparaumu","Paraparaumu School, Ruapehu Street",9,15,0,12,0,0,36,3
"Paremata","Paremata School, 35 Paremata Crescent",7,5,2,21,0,0,35,0
"Pauatahanui","Pauatahanui School, 12 Paekakariki Hill Road",0,0,0,6,0,0,6,0
"Plimmerton","Plimmerton School, School Road",9,9,2,22,1,0,43,2
,"St Theresa's School, 5 James Street",1,3,0,5,0,0,9,0
"Porirua","5 Lydney Place South (North City Plaza side entrance)",1,20,4,21,0,0,46,3
,"Whitireia Community Polytechnic, Block E, 2 Wineera Drive",11,20,7,51,0,0,89,5
"Porirua East","Porirua East School, 8 Martin Street",16,42,15,61,1,1,136,4
,"Windley School, 146 Mungavin Avenue",6,22,8,18,2,0,56,1
