Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waiariki 70","Candidate Vote Details"
,,"FLAVELL, Te Ururoa James William Ben","SYKES, Annette Te Imaima","TE KANI, Louis Te Whakaotinga","Total Valid Candidate Votes","Informal Candidate Votes"
,Bay of Plenty
"Kaimai","Kaimai School, 1853 State Highway 29",4,3,3,10,3
"Matakana Island","Te Kura O Te Moutere O Matakana, 183 Opureora Road ",45,14,5,64,3
"Matapihi","Te Kura o Matapihi, 398 Matapihi Road",73,19,79,171,2
"Maungatapu","Maungatapu Free Kindergarten, 187 Te Hono Street",18,12,23,53,2
,"Maungatapu School, 164 Maungatapu Road",60,43,64,167,5
"Mt Maunganui","Arataki Community Centre, Zambuk Way (off Grenada Street)",51,17,34,102,6
,"Arataki School, 4 Kaimanawa Street",54,24,59,137,6
"Ohauiti","Ohauiti Settlers Hall, 459 Ohauiti Road",20,4,3,27,1
"Omokoroa","Omokoroa No. 1 School, 11 Emeny Road",7,3,1,11,0
,"Omokoroa Point School, 37 Hamurana Road",5,5,6,16,1
"Oropi","Oropi School, 1334 Oropi Road",8,4,4,16,1
"Pahoia","Pahoia School, 29 Esdaile Road",7,0,3,10,1
"Papamoa","Golden Sands Primary School, 26 Golden Sands Drive",23,4,5,32,3
,"Papamoa Community Centre and Library - Tohora, Tamure and Mako Rooms, 15 Gravatt Road",59,25,45,129,4
,"Papamoa Primary School, 312 Dickson Road",28,21,18,67,6
,"Shop 7, Fashion Island, Gravatt Road",21,18,28,67,11
,"Tahatai Coast School, 45 Evans Road",27,16,27,70,2
"Pyes Pa","Pyes Pa School, 978 Pyes Pa Road",9,4,8,21,3
"Te Puke","Te Puke Memorial Hall, 130 Jellicoe Street",91,56,78,225,22
,"Te Puke Primary School, corner Cameron Road & Kowhai Avenue",34,7,9,50,4
"Te Puna","Te Puna Memorial Hall, Te Puna Road",15,9,9,33,3
,"Te Puna School, 225 Te Puna Road",58,15,29,102,3
"Waitangi","Te Kura Kaupapa Māori o Te Matai, 309 State Highway 2",46,37,21,104,11
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",38,24,26,88,9
,"Selwyn Ridge School, 20 Holmburn Street",10,6,11,27,3
,"Welcome Bay School, 309 Welcome Bay Road",71,32,59,162,6
"Whakamarama","Whakamarama Public Hall, 469 Whakamarama Road",5,1,1,7,0
,Coromandel
"Athenree","Athenree Fire Brigade Hall, 43 Roretana Drive",5,6,5,16,4
"Katikati","Katikati Memorial Hall, 36 Main Road",16,13,10,39,7
,"Katikati Primary School, 24 Beach Road",12,10,12,34,2
,East Coast
"Awakeri","Awakeri School, Room 2, 974 State Highway 30",27,17,9,53,3
"Cape Runaway","Te Kura Mana Māori o Whangaparaoa, State Highway 35",22,14,4,40,3
"Coastlands","Rangitaiki Independent School, 33 Meadow Vale",16,11,8,35,1
"Edgecumbe","All Saints Anglican Church Hall, 73 Main Street",20,19,22,61,4
,"Rangitaiki Presbyterian (St David’s) Church, 51 College Street",45,22,17,84,6
"Kutarere","Kutarere School, 461 State Highway 2",28,24,15,67,6
"Matata","Matata Public School, 43 Pollen Street",29,45,23,97,3
"Ohope","Ohope Beach School, 170 Pohutukawa Avenue",14,9,7,30,1
,"Ohope Community Hall, Bluett Road",21,7,7,35,3
"Omaio","Te Kura o Omaio, School Road",25,34,15,74,11
"Omarumutu","Omarumutu School, 141 Omarumutu Road",21,21,8,50,4
"Opotiki","Opotiki College Hall, St John Street",77,69,64,210,13
,"Opotiki Senior Citizens Hall, 1 King Street",90,89,83,262,20
"Otakiri","Otakiri School, Staff Room, 571 Otakiri Road",7,3,5,15,0
"Raukokore","Raukokore School, State Highway 35, RD3",15,28,11,54,2
"Ruatoki North","Te Kura o Tawera, 164 Ngahina Road",29,32,16,77,4
"Taneatua","Taneatua School, 44 McKenzie Street",53,67,25,145,10
"Te Kaha","Te Whanau-a-Apanui Area School, State Highway 35",50,55,27,132,11
"Te Teko","Te Kura o Te Teko School Hall, 6 Te Teko Road",93,88,39,220,9
"Torere","Te Kura o Torere, 2276 State Highway 35",11,34,4,49,4
"Waimana","Nukuhou North School, State Highway 2",6,7,3,16,0
,"Waimana School, 6 Raroa Road",27,55,16,98,1
"Whakatane","Allandale School, 167 King Street",68,74,63,205,13
,"District Council, 9 Commerce Street",94,79,46,219,9
,"Reads Auction Hall, 17 King Street",90,111,58,259,14
,"Salvation Army Hall, 87 King Street",36,37,33,106,13
,"Te Whare Kura o Ruatoki, 18 Mission Road, RD1",55,41,29,125,9
,"Whakatane Intermediate School Hall, 101 James Street",51,58,38,147,4
"Woodlands","Woodlands School, 168 Dip Road",9,1,3,13,0
,Rotorua
"Broadlands","Broadlands School, 2986 Broadlands Road",5,2,9,16,0
"Galatea","Galatea School, Mangamate Road",7,1,2,10,0
"Hamurana","Country Life, 659 Hamurana Road",16,1,2,19,3
"Horohoro","Horohoro School, 69 Apirana Road",7,6,6,19,1
"Kaingaroa Forest","Administration Building, Dunn Road",18,42,36,96,2
"Kawerau","District Council, Town Hall, Ranfurly Court",147,200,96,443,25
,"Putauaki School Hall, Fenton Mill Road",73,91,40,204,9
"Lake Okareka","Lake Okareka Community Hall, 75 Loop Road",4,0,2,6,1
"Lake Rerewhakaaitu","Lake Rerewhakaaitu School, 9 Ash Pit Road",11,2,2,15,0
"Lake Rotoma","Rotoma and Rotoehu Community Hall, 167 State Highway 30",6,5,2,13,0
"Lynmore","Lynmore School Hall, Iles Road",69,28,25,122,4
,"Lynmore Scout Hall, Lewis Road",19,2,3,24,0
"Maketu","Maketu School, School Road",85,52,38,175,4
"Mamaku","Mamaku School, 54 Tarena Street",13,14,15,42,2
"Minginui","Minginui Kokiri Centre, 66 Rimu Street",9,39,5,53,5
"Murupara","Murupara Municipal Hall, Pine Drive",131,98,51,280,12
"Ngakuru","Ngakuru School, 913 Whirinaki Valley Road",6,0,1,7,1
"Ngapuna","Hurunga Marae, 15 Hurunga Street",59,89,21,169,9
"Ngongotaha","Ngongotaha Community Hall, 5 School Road",219,85,62,366,14
"Okere Falls","Whangamarino School, 637 State Highway 33",50,46,13,109,6
"Otamarakau","Otamarakau School, Room 2, 2216 Old Coach Road, RD6",2,6,2,10,1
"Owhata","Owhata School Hall, Brent Road",82,61,37,180,8
,"St Marks Anglican Hall, corner Sunrise Avenue & Te Ngae Road",82,64,47,193,5
"Paengaroa","Paengaroa School, Multi Purpose Room, Old Coach Road",30,9,14,53,5
"Pongakawa","Pongakawa School Library, 956 Old Coach Road",7,1,3,11,3
